Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6
Albania,1996,3138866.0,,,,,
Albania,2002,,3003083.0,,,,
Albania,2005,,2985572.0,,,,
Albania,2008,,2938070.0,,,,
Albania,2012,,2875755.0,,,,
Albania,2014,,,2843430.0,,,
Albania,2015,,,2873642.0,,,
Albania,2016,,,2864299.0,,,
Albania,2017,,,2861145.0,,,
Albania,2018,,,,2862914.0,,
Albania,2019,,,,2854191.0,,
Algeria,1988,22915532.0,,,,,
Algeria,1995,,27140418.0,,,,
Algeria,2011,,,36496694.0,,,
Angola,2000,10431708.0,,,,,
Angola,2008,,14222171.0,,,,
Angola,2018,,,15434793.0,,,
Armenia,1999,,2711798.0,,,,
Armenia,2001,,2612574.0,,,,
Armenia,2002,,2714968.0,,,,
Armenia,2003,,2780985.0,,,,
Armenia,2004,,2836406.0,,,,
Armenia,2005,,2901188.0,,,,
Armenia,2006,,2894934.0,,,,
Armenia,2007,,2884857.0,,,,
Armenia,2008,,2881656.0,,,,
Armenia,2009,,2849546.0,,,,
Armenia,2010,,2849276.0,,,,
Armenia,2011,,2841762.0,,,,
Armenia,2012,,2857791.0,,,,
Armenia,2013,,2846390.0,,,,
Armenia,2014,,2867503.0,,,,
Armenia,2015,,2888677.0,,,,
Armenia,2016,,2902000.0,,,,
Armenia,2017,,2918851.0,,,,
Armenia,2018,,2910135.0,,,,
Armenia,2019,,,2925814.0,,,
Armenia,2020,,,2951733.0,,,
Azerbaijan,1995,7140698.0,,,,,
Azerbaijan,2001,,7901709.0,,,,
Azerbaijan,2002,,8168449.0,,,,
Azerbaijan,2003,,8234100.0,,,,
Azerbaijan,2004,,8306500.0,,,,
Azerbaijan,2005,,8391850.0,,,,
Bangladesh,1983,52714967.0,,,,,
Bangladesh,1985,59738395.0,,,,,
Bangladesh,1988,55745762.0,,,,,
Bangladesh,1991,,59695184.0,,,,
Bangladesh,1995,,74816539.0,,,,
Bangladesh,2000,,,83970919.0,,,
Bangladesh,2005,,,104112786.0,,,
Bangladesh,2010,,,119274041.0,,,
Bangladesh,2016,,,135347641.0,,,
Belarus,1998,,8883834.0,,,,
Belarus,1999,,8963626.0,,,,
Belarus,2000,,9247916.0,,,,
Belarus,2001,,9608528.0,,,,
Belarus,2002,,9655967.0,,,,
Belarus,2003,,9655267.0,,,,
Belarus,2004,,9698926.0,,,,
Belarus,2005,,9627960.0,,,,
Belarus,2006,,9594576.0,,,,
Belarus,2007,,9552945.0,,,,
Belarus,2008,,9527985.0,,,,
Belarus,2009,,9501839.0,,,,
Belarus,2010,,9483836.0,,,,
Belarus,2011,,9461643.0,,,,
Belarus,2012,,9446836.0,,,,
Belarus,2013,,9443211.0,,,,
