Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6
Albania,1996,426318.0,,,,,
Albania,2002,,388751.0,,,,
Albania,2005,,529705.0,,,,
Albania,2008,,626268.0,,,,
Albania,2012,,600464.0,,,,
Albania,2014,,,681726.0,,,
Albania,2015,,,867556.0,,,
Albania,2016,,,905610.0,,,
Albania,2017,,,898159.0,,,
Albania,2018,,,,1097103.0,,
Albania,2019,,,,1193052.0,,
Algeria,1988,2577249.0,,,,,
Algeria,1995,,3518586.0,,,,
Algeria,2011,,,7486621.0,,,
Angola,2000,807497.0,,,,,
Angola,2008,,786976.0,,,,
Angola,2018,,,755957.0,,,
Armenia,1999,,123372.0,,,,
Armenia,2001,,139825.0,,,,
Armenia,2002,,134886.0,,,,
Armenia,2003,,100587.0,,,,
Armenia,2004,,201886.0,,,,
Armenia,2005,,234927.0,,,,
Armenia,2006,,251002.0,,,,
Armenia,2007,,376821.0,,,,
Armenia,2008,,395798.0,,,,
Armenia,2009,,282511.0,,,,
Armenia,2010,,274273.0,,,,
Armenia,2011,,310769.0,,,,
Armenia,2012,,307001.0,,,,
Armenia,2013,,402209.0,,,,
Armenia,2014,,369635.0,,,,
Armenia,2015,,409270.0,,,,
Armenia,2016,,615736.0,,,,
Armenia,2017,,443060.0,,,,
Armenia,2018,,402882.0,,,,
Armenia,2019,,,328970.0,,,
Armenia,2020,,,300697.0,,,
Azerbaijan,1995,666378.0,,,,,
Azerbaijan,2001,,1027920.0,,,,
Azerbaijan,2002,,1704586.0,,,,
Azerbaijan,2003,,2043503.0,,,,
Azerbaijan,2004,,2001882.0,,,,
Azerbaijan,2005,,2665335.0,,,,
Bangladesh,1983,214751.0,,,,,
Bangladesh,1985,694770.0,,,,,
Bangladesh,1988,677878.0,,,,,
Bangladesh,1991,,321634.0,,,,
Bangladesh,1995,,1851284.0,,,,
Bangladesh,2000,,,2139056.0,,,
Bangladesh,2005,,,3079555.0,,,
Bangladesh,2010,,,3383724.0,,,
Bangladesh,2016,,,4218829.0,,,
Belarus,1998,,382630.0,,,,
Belarus,1999,,433340.0,,,,
Belarus,2000,,588261.0,,,,
Belarus,2001,,1160111.0,,,,
Belarus,2002,,1435185.0,,,,
Belarus,2003,,1698934.0,,,,
Belarus,2004,,2182667.0,,,,
Belarus,2005,,3407670.0,,,,
Belarus,2006,,4134961.0,,,,
Belarus,2007,,4511537.0,,,,
Belarus,2008,,4881855.0,,,,
Belarus,2009,,4987266.0,,,,
Belarus,2010,,4865072.0,,,,
Belarus,2011,,5082095.0,,,,
Belarus,2012,,5081587.0,,,,
Belarus,2013,,4722785.0,,,,
Belarus,2014,,4528540.0,,,,
Belarus,2015,,5042313.0,,,,
Belarus,2016,,5386436.0,,,,
Belarus,2017,,5220563.0,,,,
Belarus,2018,,4979566.0,,,,
Belarus,2019,,4561252.0,,,,
Belarus,2020,,4595431.0,,,,
Belize,1995,,43129.0,,,,
Benin,2003,86330.0,,,,,
Benin,2011,,227341.0,,,,
Benin,2015,,266426.0,,,,
Benin,2018,,,503578.0,,,
Bhutan,2003,41199.0,,,,,
Bhutan,2007,,66919.0,,,,
Bhutan,2012,,120053.0,,,,
Bhutan,2017,,168515.0,,,,
Bosnia and Herzegovina,2001,1696332.0,,,,,
Bosnia and Herzegovina,2004,1675577.0,,,,,
Bosnia and Herzegovina,2007,,1595875.0,,,,
Bosnia and Herzegovina,2011,,1583348.0,,,,
Botswana,1985,58095.0,,,,,
Botswana,1993,108223.0,,,,,
Botswana,2002,,182786.0,,,,
Botswana,2009,,267204.0,,,,
Botswana,2015,,311515.0,,,,
Bulgaria,1989,3825478.0,,,,,
Bulgaria,1994,4716872.0,,,,,
Bulgaria,1995,,,,3308185.0,,
Bulgaria,1997,,,920089.0,,,
Bulgaria,2001,,,,2451383.0,,
Bulgaria,2003,,,,,1957159.0,
Bulgaria,2007,,,,,3545296.0,
Burkina Faso,1994,52879.0,,,,,
Burkina Faso,1998,,122774.0,,,,
Burkina Faso,2003,,166868.0,,,,
Burkina Faso,2009,,,193023.0,,,
Burkina Faso,2014,,,,271902.0,,
Burkina Faso,2018,,,,,1112368.0,
Burundi,1992,0.0,,,,,
Burundi,1998,,22595.0,,,,
Burundi,2006,,22311.0,,,,
Burundi,2013,,49951.0,,,,
Cameroon,1996,403441.0,,,,,
Cameroon,2001,,731507.0,,,,
Cameroon,2007,,872486.0,,,,
Cameroon,2014,,1893866.0,,,,
Cape Verde,2001,45421.0,,,,,
Cape Verde,2007,,71034.0,,,,
Cape Verde,2015,,,106036.0,,,
Central African Republic,1992,26599.0,,,,,
Central African Republic,2008,,79051.0,,,,
Chad,2003,81567.0,,,,,
Chad,2011,370026.0,,,,,
Chad,2018,,404706.0,,,,
China,1990,,1958727.0,,,,
China,1993,,6659680.0,,,,
China,1996,,16537437.0,,,,
China,1999,,26709934.0,,,,
China,2002,,51980950.0,,,,
China,2005,,101139382.0,,,,
China,2008,,161485824.0,,,,
China,2010,,213647522.0,,,,
China,2011,,240170385.0,,,,
China,2012,,279317345.0,,,,
China,2013,,,322967842.0,,,
China,2014,,,362834519.0,,,
China,2015,,,397023575.0,,,
China,2016,,,423295473.0,,,
China,2017,,,439369149.0,,,
China,2018,,,469097197.0,,,
China,2019,,,492876777.0,,,
China - rural,1990,,1958726.0,,,,
China - rural,1993,,1937368.0,,,,
China - rural,1996,,6681496.0,,,,
China - rural,1999,,7197137.0,,,,
China - rural,2002,,10759498.0,,,,
China - rural,2005,,17141579.0,,,,
China - rural,2008,,24701701.0,,,,
China - rural,2010,,30999174.0,,,,
China - rural,2011,,35591081.0,,,,
China - rural,2012,,44673908.0,,,,
China - rural,2013,,,66993266.0,,,
China - rural,2014,,,81889844.0,,,
China - rural,2015,,,95514398.0,,,
China - rural,2016,,,107014711.0,,,
China - rural,2017,,,116948936.0,,,
China - rural,2018,,,136920046.0,,,
China - rural,2019,,,149731102.0,,,
China - urban,1990,,0.0,,,,
China - urban,1993,,4722312.0,,,,
China - urban,1996,,9855941.0,,,,
China - urban,1999,,19512798.0,,,,
China - urban,2002,,41221451.0,,,,
China - urban,2005,,83997802.0,,,,
China - urban,2008,,136784124.0,,,,
China - urban,2010,,182648348.0,,,,
China - urban,2011,,204579302.0,,,,
China - urban,2012,,234643438.0,,,,
China - urban,2013,,,255974576.0,,,
China - urban,2014,,,280944676.0,,,
China - urban,2015,,,301509177.0,,,
China - urban,2016,,,316280762.0,,,
China - urban,2017,,,322420213.0,,,
China - urban,2018,,,332177151.0,,,
China - urban,2019,,,343145674.0,,,
Comoros,2004,56181.0,,,,,
Comoros,2014,,75594.0,,,,
Congo,2005,84888.0,,,,,
Congo,2011,159921.0,,,,,
Cote d'Ivoire,1985,1719070.0,,,,,
Cote d'Ivoire,1986,1569288.0,,,,,
Cote d'Ivoire,1987,1202093.0,,,,,
Cote d'Ivoire,1988,765091.0,,,,,
Cote d'Ivoire,1992,,622211.0,,,,
Cote d'Ivoire,1995,,813011.0,,,,
Cote d'Ivoire,1998,,718066.0,,,,
Cote d'Ivoire,2002,,,742603.0,,,
Cote d'Ivoire,2008,,,884117.0,,,
Cote d'Ivoire,2015,,,906277.0,,,
Cote d'Ivoire,2018,,,,2201768.0,,
Croatia,1998,,888058.0,,,,
Croatia,1999,,,2485508.0,,,
Croatia,2000,,,2132772.0,,,
Croatia,2001,,,2048040.0,,,
Croatia,2004,,1336371.0,,,,
Croatia,2008,,1532473.0,,,,
Croatia,2009,,1496017.0,,,,
Croatia,2010,,1819080.0,,,,
Democratic Republic of Congo,2004,22316.0,,,,,
Democratic Republic of Congo,2012,236418.0,,,,,
Djibouti,2002,37856.0,,,,,
Djibouti,2012,,72216.0,,,,
Djibouti,2013,,,58251.0,,,
Djibouti,2017,,,,66938.0,,
Egypt,1990,2161800.0,,,,,
Egypt,1995,1902718.0,,,,,
Egypt,1999,,3563976.0,,,,
Egypt,2004,,,3284009.0,,,
Egypt,2008,,,3293172.0,,,
Egypt,2010,,,,4582929.0,,
Egypt,2012,,,,4842939.0,,
Egypt,2015,,,,6350807.0,,
Egypt,2017,,,,4768575.0,,
Estonia,1995,,448311.0,,,,
Estonia,1998,,458547.0,,,,
Estonia,2000,,,457811.0,,,
Estonia,2001,,,428437.0,,,
Estonia,2002,,,434525.0,,,
Estonia,2003,,,481857.0,,,
Estonia,2004,,,525332.0,,,
Eswatini,1994,6872.0,,,,,
Eswatini,2000,,43519.0,,,,
Eswatini,2009,,56069.0,,,,
Eswatini,2016,,110871.0,,,,
Ethiopia,1995,,443736.0,,,,
Ethiopia,1999,,304391.0,,,,
Ethiopia,2004,,622033.0,,,,
Ethiopia,2010,,1014769.0,,,,
Ethiopia,2015,,1963920.0,,,,
Ethiopia - rural,1981,107191.0,,,,,
Fiji,2002,147600.0,,,,,
Fiji,2008,165296.0,,,,,
Fiji,2013,182310.0,,,,,
Fiji,2019,,120054.0,,,,
Gabon,2005,177398.0,,,,,
Gabon,2017,,550455.0,,,,
Gambia,1998,12819.0,,,,,
Gambia,2003,,46826.0,,,,
Gambia,2010,,,73774.0,,,
Gambia,2015,,,,105683.0,,
Georgia,1996,864081.0,,,,,
Georgia,1997,,384014.0,,,,
Georgia,1998,,,369820.0,,,
Georgia,1999,,,261641.0,,,
Georgia,2000,,,250814.0,,,
Georgia,2001,,,214329.0,,,
Georgia,2002,,,383066.0,,,
Georgia,2003,,,399281.0,,,
Georgia,2004,,,428054.0,,,
Georgia,2005,,,407357.0,,,
Georgia,2006,,,378672.0,,,
Georgia,2007,,,338226.0,,,
Georgia,2008,,,425659.0,,,
Georgia,2009,,,403881.0,,,
Georgia,2010,,,394407.0,,,
Georgia,2011,,,430139.0,,,
Georgia,2012,,,501888.0,,,
Georgia,2013,,,608291.0,,,
Georgia,2014,,,641798.0,,,
Georgia,2015,,,671453.0,,,
Georgia,2016,,,652910.0,,,
Georgia,2017,,,691709.0,,,
Georgia,2018,,,703726.0,,,
Georgia,2019,,,692755.0,,,
Georgia,2020,,,554679.0,,,
Ghana,1987,197550.0,,,,,
Ghana,1988,218135.0,,,,,
Ghana,1991,,215646.0,,,,
Ghana,1998,,571124.0,,,,
Ghana,2005,,1330155.0,,,,
Ghana,2012,,3491936.0,,,,
Ghana,2016,,4055114.0,,,,
Guinea,1991,0.0,,,,,
Guinea,1994,,173346.0,,,,
Guinea,2002,,,78952.0,,,
Guinea,2007,,,,76566.0,,
Guinea,2012,,,,115444.0,,
Guinea,2018,,,,,128042.0,
Guinea-Bissau,1993,,23245.0,,,,
Guinea-Bissau,2002,,,7824.0,,,
Guinea-Bissau,2010,,,,22672.0,,
Guinea-Bissau,2018,,,,,47554.0,
Haiti,2012,,480887.0,,,,
Hungary,1998,,,,4992914.0,,
Hungary,1999,,,,4872513.0,,
Hungary,2000,,,,4973519.0,,
Hungary,2001,,,,5524055.0,,
Hungary,2002,,,,5554070.0,,
Hungary,2003,,,,5031159.0,,
Hungary,2004,,,,5183915.0,,
Hungary,2005,,,,5084738.0,,
Hungary,2006,,,,5225799.0,,
Hungary,2007,,,,5177382.0,,
India,1977,3684931.0,,,,,
India,1983,,4740486.0,,,,
India,1987,,,6800543.0,,,
India,1993,,,,5763318.0,,
India,2004,,,,14977425.0,,
India,2009,,,,20567409.0,,
India,2011,,,,31038971.0,,
India - rural,1977,1909308.0,,,,,
India - rural,1983,,2148523.0,,,,
India - rural,1987,,,3300111.0,,,
India - rural,1993,,,,1922324.0,,
India - rural,2004,,,,5449866.0,,
India - rural,2009,,,,5366886.0,,
India - rural,2011,,,,9534758.0,,
India - urban,1977,1775623.0,,,,,
India - urban,1983,,2591962.0,,,,
India - urban,1987,,,3500432.0,,,
India - urban,1993,,,,3840994.0,,
India - urban,2004,,,,9527560.0,,
India - urban,2009,,,,15200523.0,,
India - urban,2011,,,,21504212.0,,
Indonesia,1984,435473.0,,,,,
Indonesia,1987,576915.0,,,,,
Indonesia,1990,970126.0,,,,,
Indonesia,1993,,1349935.0,,,,
Indonesia,1996,,2413673.0,,,,
