Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,86.17520773919996,,,,,,,,,,,,
Albania,2002,,85.33831702536492,,,,,,,,,,,
Albania,2005,,79.98712716476295,,,,,,,,,,,
Albania,2008,,75.8510209751488,,,,,,,,,,,
Albania,2012,,77.06983967714693,,,,,,,,,,,
Albania,2014,,,71.58568545345165,,,,,,,,,,
Albania,2015,,,62.1753802690021,,,,,,,,,,
Albania,2016,,,59.79901278008186,,,,,,,,,,
Albania,2017,,,60.48042945830944,,,,,,,,,,
Albania,2018,,,,52.74689711240698,,,,,,,,,
Albania,2019,,,,43.84404639324294,,,,,,,,,
Algeria,1988,86.91691091509529,,,,,,,,,,,,
Algeria,1995,,85.50964482226026,,,,,,,,,,,
Algeria,2011,,,76.68977908288103,,,,,,,,,,
Angola,2000,93.06696461079224,,,,,,,,,,,,
Angola,2008,,95.6014835943098,,,,,,,,,,,
Angola,2018,,,96.8535109099324,,,,,,,,,,
Argentina - urban,1980,,,,,,,23.93099609375,,,,,,
Argentina - urban,1986,,,,,,,21.89160386526767,,,,,,
Argentina - urban,1987,,,,,,,27.96050867254296,,,,,,
Argentina - urban,1991,,,,,,,,46.06502035567348,,,,,
Argentina - urban,1992,,,,,,,,44.65561229585742,,,,,
Argentina - urban,1993,,,,,,,,42.72729349676151,,,,,
Argentina - urban,1994,,,,,,,,44.55991610895106,,,,,
Argentina - urban,1995,,,,,,,,49.30150857123335,,,,,
Argentina - urban,1996,,,,,,,,50.50961009634234,,,,,
Argentina - urban,1997,,,,,,,,48.29465459396622,,,,,
Argentina - urban,1998,,,,,,,,51.46563253739858,,,,,
Argentina - urban,1999,,,,,,,,52.31900862863876,,,,,
Argentina - urban,2000,,,,,,,,54.1514931478068,,,,,
Argentina - urban,2001,,,,,,,,59.24978875185886,,,,,
Argentina - urban,2002,,,,,,,,73.16669287248556,,,,,
Argentina - urban,2003,,,,,,,,,58.01442169001968,,,,
Argentina - urban,2004,,,,,,,,,52.44940174900451,,,,
Argentina - urban,2005,,,,,,,,,47.69241061212162,,,,
Argentina - urban,2006,,,,,,,,,41.68389089733857,,,,
Argentina - urban,2007,,,,,,,,,40.36661400186452,,,,
Argentina - urban,2008,,,,,,,,,37.93586687984807,,,,
Argentina - urban,2009,,,,,,,,,35.358127309302674,,,,
Argentina - urban,2010,,,,,,,,,34.25303756471397,,,,
Argentina - urban,2011,,,,,,,,,30.65767446129938,,,,
Argentina - urban,2012,,,,,,,,,29.74384289022156,,,,
Argentina - urban,2013,,,,,,,,,29.400837070612862,,,,
Argentina - urban,2014,,,,,,,,,33.46549680772491,,,,
Argentina - urban,2016,,,,,,,,,31.33052697407333,,,,
Argentina - urban,2017,,,,,,,,,28.39226096208012,,,,
Argentina - urban,2018,,,,,,,,,32.62386808202463,,,,
Argentina - urban,2019,,,,,,,,,35.61925916711832,,,,
Argentina - urban,2020,,,,,,,,,41.47348571227359,,,,
Armenia,1996,,,,,,,87.77918523184256,,,,,,
Armenia,1999,,94.82276885991344,,,,,,,,,,,
Armenia,2001,,94.59328675222513,,,,,,,,,,,
Armenia,2002,,94.57315800459196,,,,,,,,,,,
Armenia,2003,,95.43469217970048,,,,,,,,,,,
Armenia,2004,,91.00603339413496,,,,,,,,,,,
Armenia,2005,,89.51670357154858,,,,,,,,,,,
Armenia,2006,,90.29555873415686,,,,,,,,,,,
Armenia,2007,,85.20439430663109,,,,,,,,,,,
Armenia,2008,,85.07230734364532,,,,,,,,,,,
Armenia,2009,,89.37475551242187,,,,,,,,,,,
Armenia,2010,,89.28008990896234,,,,,,,,,,,
Armenia,2011,,87.99869689463974,,,,,,,,,,,
Armenia,2012,,87.84504972710134,,,,,,,,,,,
Armenia,2013,,84.71046633584771,,,,,,,,,,,
Armenia,2014,,85.14582729737013,,,,,,,,,,,
Armenia,2015,,83.03680120434181,,,,,,,,,,,
Armenia,2016,,77.05049751936095,,,,,,,,,,,
Armenia,2017,,82.04486098056708,,,,,,,,,,,
Armenia,2018,,82.9063764732738,,,,,,,,,,,
Armenia,2019,,,86.84385152776713,,,,,,,,,,
Armenia,2020,,,89.05458138807548,,,,,,,,,,
Australia,1981,,,,,,,4.2487563772355,,,,,,
Australia,1985,,,,,,,,4.00993266578948,,,,,
Australia,1989,,,,,,,,,4.4922044176390905,,,,
Australia,1995,,,,,,,,,3.9394670213915,,,,
Australia,2001,,,,,,,,,3.2447571997086104,,,,
Australia,2003,,,,,,,,,2.99947962984982,,,,
Australia,2004,,,,,,,,,,1.99135232744236,,,
Australia,2008,,,,,,,,,1.33510868297205,,,,
Australia,2010,,,,,,,,,,1.67572071550058,,,
Australia,2014,,,,,,,,,1.47818787094211,,,,
