Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6
Albania,1996,9.35490252453835,,,,,
Albania,2002,,8.83945948667871,,,,
Albania,2005,,9.0370685301544,,,,
Albania,2008,,8.92413264193258,,,,
Albania,2012,,9.25694260687266,,,,
Albania,2014,,,8.932859602769689,,,
Albania,2015,,,8.88623649491796,,,
Albania,2016,,,8.896662927744769,,,
Albania,2017,,,8.90839714576123,,,
Albania,2018,,,,9.34527834400207,,
Albania,2019,,,,9.01354097324365,,
Algeria,1988,8.03499264412895,,,,,
Algeria,1995,,8.756290801615469,,,,
Algeria,2011,,,9.23191432628605,,,
Angola,2000,7.048757987921859,,,,,
Angola,2008,,7.92035649958277,,,,
Angola,2018,,,6.98136252592568,,,
Armenia,1999,,8.27161161547727,,,,
Armenia,2001,,8.31066077774482,,,,
Armenia,2002,,8.284556856787379,,,,
Armenia,2003,,8.45375042602176,,,,
Armenia,2004,,7.968309626948419,,,,
Armenia,2005,,8.10336718888332,,,,
Armenia,2006,,9.04443843869572,,,,
Armenia,2007,,8.84788323973449,,,,
Armenia,2008,,9.06279444193991,,,,
Armenia,2009,,9.1062863939818,,,,
Armenia,2010,,8.85994699806773,,,,
Armenia,2011,,9.00212097850592,,,,
Armenia,2012,,9.05352045345845,,,,
Armenia,2013,,8.988271341837201,,,,
Armenia,2014,,9.00618530515088,,,,
Armenia,2015,,8.920353385176941,,,,
Armenia,2016,,9.14783127206537,,,,
Armenia,2017,,8.450450424922549,,,,
Armenia,2018,,8.457292354786649,,,,
Armenia,2019,,,8.96606367658243,,,
Armenia,2020,,,9.33272210734712,,,
Azerbaijan,1995,8.79027734477077,,,,,
Azerbaijan,2001,,8.231841911751669,,,,
Azerbaijan,2002,,8.89204529775964,,,,
Azerbaijan,2003,,8.97227501521741,,,,
Azerbaijan,2004,,8.71721658077603,,,,
Azerbaijan,2005,,8.706817834031751,,,,
Bangladesh,1983,9.40946840542589,,,,,
Bangladesh,1985,9.07330636609105,,,,,
Bangladesh,1988,8.95520591861964,,,,,
Bangladesh,1991,,9.16211052879649,,,,
Bangladesh,1995,,8.31439114328935,,,,
Bangladesh,2000,,,8.29177612580699,,,
Bangladesh,2005,,,8.28903742867484,,,
Bangladesh,2010,,,8.48175126357538,,,
Bangladesh,2016,,,8.53921021560586,,,
Belarus,1998,,9.01753014351743,,,,
Belarus,1999,,9.22060671730446,,,,
