Entity,Year,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,2016,,,,,2841209.0,,
Albania,2017,,,,,2841014.0,,
Albania,2018,,,,,2830619.0,,
Argentina - urban,1980,17859218.0,,,,,,
Argentina - urban,1986,19720912.0,,,,,,
Argentina - urban,1987,21159994.0,,,,,,
Argentina - urban,1991,,25847052.0,,,,,
Argentina - urban,1992,,25731858.0,,,,,
Argentina - urban,1993,,26275160.0,,,,,
Argentina - urban,1994,,26753609.0,,,,,
Argentina - urban,1995,,27236194.0,,,,,
Argentina - urban,1996,,27610580.0,,,,,
Argentina - urban,1997,,27691983.0,,,,,
Argentina - urban,1998,,28268968.0,,,,,
Argentina - urban,1999,,28970782.0,,,,,
Argentina - urban,2000,,29401295.0,,,,,
Argentina - urban,2001,,30167610.0,,,,,
Argentina - urban,2002,,32046926.0,,,,,
Argentina - urban,2003,,,31243357.0,,,,
Argentina - urban,2004,,,31145059.0,,,,
Argentina - urban,2005,,,31048099.0,,,,
Argentina - urban,2006,,,30543251.0,,,,
Argentina - urban,2007,,,30674884.0,,,,
Argentina - urban,2008,,,30656624.0,,,,
Argentina - urban,2009,,,30598451.0,,,,
Argentina - urban,2010,,,30697812.0,,,,
Argentina - urban,2011,,,30321431.0,,,,
Argentina - urban,2012,,,30717945.0,,,,
Argentina - urban,2013,,,31115307.0,,,,
Argentina - urban,2014,,,32306070.0,,,,
Argentina - urban,2016,,,32640326.0,,,,
Argentina - urban,2017,,,32255741.0,,,,
Argentina - urban,2018,,,34199715.0,,,,
Argentina - urban,2019,,,34800751.0,,,,
Argentina - urban,2020,,,36765616.0,,,,
Armenia,1996,3128082.0,,,,,,
Australia,1981,7835759.0,,,,,,
Australia,1985,,8089749.0,,,,,
Australia,1989,,,8364592.0,,,,
Australia,1995,,,9984668.0,,,,
Australia,2001,,,9071781.0,,,,
Australia,2003,,,8852381.0,,,,
Australia,2004,,,,7798902.0,,,
Australia,2008,,,5596151.0,,,,
Australia,2010,,,,5508800.0,,,
Australia,2014,,,4750977.0,,,,
Australia,2016,,,5139231.0,,,,
Australia,2018,,,5057909.0,,,,
Austria,1987,1912384.0,,,,,,
Austria,1994,,2296003.0,,,,,
Austria,1995,3000460.0,,,,,,
Austria,1997,,2390329.0,,,,,
Austria,2000,,2055924.0,,,,,
Austria,2003,,,1985225.0,,,,
Austria,2004,,,1775078.0,,,,
Austria,2005,,,1889999.0,,,,
Austria,2006,,,1844128.0,,,,
Austria,2007,,,1799120.0,,,,
Austria,2008,,,1680800.0,,,,
Austria,2009,,,1647981.0,,,,
Austria,2010,,,1533541.0,,,,
Austria,2011,,,1691678.0,,,,
Austria,2012,,,1684388.0,,,,
Austria,2013,,,1540155.0,,,,
Austria,2014,,,1652905.0,,,,
Austria,2015,,,1692995.0,,,,
Austria,2016,,,1499900.0,,,,
Austria,2017,,,1512404.0,,,,
Austria,2018,,,1551459.0,,,,
Austria,2019,,,1389204.0,,,,
Belarus,1993,10238948.0,,,,,,
Belarus,1995,10081463.0,,,,,,
Belgium,1985,5717808.0,,,,,,
Belgium,1988,5393835.0,,,,,,
Belgium,1992,4616928.0,,,,,,
Belgium,1995,,3415499.0,,,,,
Belgium,1997,3408715.0,,,,,,
Belgium,2000,,2792793.0,,,,,
Belgium,2003,,,3049244.0,,,,
Belgium,2004,,,2805783.0,,,,
Belgium,2005,,,2686344.0,,,,
Belgium,2006,,,2705113.0,,,,
Belgium,2007,,,2697438.0,,,,
Belgium,2008,,,2474731.0,,,,
Belgium,2009,,,2431366.0,,,,
