Entity,Year,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,2016,,,,,1.696002475321745,,
Albania,2017,,,,,1.5670770128739482,,
Albania,2018,,,,,1.4825721199291506,,
Argentina - urban,1980,1.9484149126930903,,,,,,
Argentina - urban,1986,2.1475780896849423,,,,,,
Argentina - urban,1987,2.466213827506205,,,,,,
Argentina - urban,1991,,2.641738109759326,,,,,
Argentina - urban,1992,,2.4856212129627653,,,,,
Argentina - urban,1993,,2.4120695740462166,,,,,
Argentina - urban,1994,,2.570416375341276,,,,,
Argentina - urban,1995,,3.035128959958036,,,,,
Argentina - urban,1996,,3.1488144469483164,,,,,
Argentina - urban,1997,,3.095311922235168,,,,,
Argentina - urban,1998,,3.3949977195014456,,,,,
Argentina - urban,1999,,3.2285290493813386,,,,,
Argentina - urban,2000,,3.5029140051946155,,,,,
Argentina - urban,2001,,4.080833067290425,,,,,
Argentina - urban,2002,,4.174926877981482,,,,,
Argentina - urban,2003,,,3.45602010906912,,,,
Argentina - urban,2004,,,3.002307964394131,,,,
Argentina - urban,2005,,,2.877192040694661,,,,
Argentina - urban,2006,,,2.6680393728035035,,,,
Argentina - urban,2007,,,2.639581174076414,,,,
Argentina - urban,2008,,,2.4334530645044223,,,,
Argentina - urban,2009,,,2.2749539176674647,,,,
Argentina - urban,2010,,,2.26855553158835,,,,
Argentina - urban,2011,,,2.1459832027507475,,,,
Argentina - urban,2012,,,1.9881079532206083,,,,
Argentina - urban,2013,,,1.953262570433808,,,,
Argentina - urban,2014,,,2.020423112265338,,,,
Argentina - urban,2016,,,2.070854213703921,,,,
Argentina - urban,2017,,,1.96866040446022,,,,
Argentina - urban,2018,,,1.9944896930445573,,,,
Argentina - urban,2019,,,2.1798240892703427,,,,
Argentina - urban,2020,,,2.1137035945885487,,,,
Armenia,1996,2.3630497612231127,,,,,,
Australia,1981,1.1324514698804744,,,,,,
Australia,1985,,1.209931291904495,,,,,
Australia,1989,,,1.2559119617334018,,,,
Australia,1995,,,1.2270993000902728,,,,
Australia,2001,,,1.2841068568949332,,,,
Australia,2003,,,1.2862929910846903,,,,
Australia,2004,,,,1.2707464397732338,,,
Australia,2008,,,1.4556008722346516,,,,
Australia,2010,,,,1.3857150641743592,,,
Australia,2014,,,1.375924674954526,,,,
Australia,2016,,,1.315912393829992,,,,
Australia,2018,,,1.3693596877010992,,,,
Austria,1987,0.7649532395977526,,,,,,
Austria,1994,,1.173580096318076,,,,,
Austria,1995,1.1135417888413257,,,,,,
Austria,1997,,1.0994078875258098,,,,,
Austria,2000,,1.0293895929681305,,,,,
Austria,2003,,,1.071093721842581,,,,
Austria,2004,,,1.0942217626500512,,,,
Austria,2005,,,1.029272768587692,,,,
Austria,2006,,,1.0812538835706458,,,,
Austria,2007,,,1.128906201610866,,,,
Austria,2008,,,1.132479734543354,,,,
Austria,2009,,,1.192447603952744,,,,
Austria,2010,,,1.1090400951264976,,,,
Austria,2011,,,1.133317628927739,,,,
Austria,2012,,,1.112135136808247,,,,
Austria,2013,,,1.14645527310179,,,,
Austria,2014,,,1.1356505811730837,,,,
Austria,2015,,,1.1316746985884552,,,,
Austria,2016,,,1.1404171031054198,,,,
Austria,2017,,,1.077777857815564,,,,
Austria,2018,,,1.1461101648486045,,,,
Austria,2019,,,1.096517488002482,,,,
Belarus,1993,0.7344788086206734,,,,,,
Belarus,1995,1.0261575234811788,,,,,,
Belgium,1985,0.8581215495325978,,,,,,
Belgium,1988,0.8815205153065111,,,,,,
Belgium,1992,0.8348324778463442,,,,,,
Belgium,1995,,1.0135862396994555,,,,,
Belgium,1997,0.9263742994017398,,,,,,
Belgium,2000,,1.3327158558628702,,,,,
Belgium,2003,,,0.989994822793832,,,,
Belgium,2004,,,1.1504587822642856,,,,
Belgium,2005,,,1.0706634992560993,,,,
Belgium,2006,,,0.99124594349381,,,,
Belgium,2007,,,1.0598492835006086,,,,
Belgium,2008,,,1.0079240039067163,,,,
Belgium,2009,,,1.0138566996410925,,,,
Belgium,2010,,,1.010812922083227,,,,
Belgium,2011,,,0.9925837459458118,,,,
Belgium,2012,,,0.9604883075745512,,,,
Belgium,2013,,,0.9647378605820328,,,,
Belgium,2014,,,0.9965853767659796,,,,
Belgium,2015,,,0.981491210590616,,,,
Belgium,2016,,,0.9728845543801216,,,,
Belgium,2017,,,0.95852082732172,,,,
Belgium,2018,,,0.9585581898317396,,,,
Belgium,2019,,,0.959278396133976,,,,
Belize,1993,5.392905819583658,,,,,,
Belize,1994,5.46651610846632,,,,,,
Belize,1996,,,4.4469731493219005,,,,
Belize,1997,5.579804879996384,,,,,,
Belize,1998,4.224072725188186,,,,,,
Belize,1999,3.8927766592467976,,,,,,
Bolivia,1997,,5.411802462654019,,,,,
Bolivia,1999,,,6.078983628901819,,,,
Bolivia,2000,,,7.540501180590877,,,,
Bolivia,2001,,,,5.287316141083039,,,
Bolivia,2002,,,,,6.019576684002344,,
Bolivia,2004,,,,,4.277195901490002,,
Bolivia,2005,,,,,5.591226437605187,,
Bolivia,2006,,,,,4.992257495158673,,
Bolivia,2007,,,,,4.312566065524847,,
Bolivia,2008,,,,,3.4523365821747887,,
Bolivia,2009,,,,,3.155720757776863,,
Bolivia,2011,,,,,2.5988385465000463,,
Bolivia,2012,,,,,2.7056019526131765,,
Bolivia,2013,,,,,2.855093186975597,,
Bolivia,2014,,,,,2.864009460693259,,
Bolivia,2015,,,,,2.6975079934306616,,
Bolivia,2016,,,,,2.487737619022115,,
Bolivia,2017,,,,,2.404329980185317,,
Bolivia,2018,,,,,2.1180704107434645,,
Bolivia,2019,,,,,2.009610658563842,,
Bolivia,2020,,,,,2.239830786448405,,
Bolivia - urban,1990,2.077082726619403,,,,,,
Bolivia - urban,1992,3.0024807315152984,,,,,,
Brazil,1981,5.1900884190019285,,,,,,
Brazil,1982,5.368461394225749,,,,,,
Brazil,1983,5.515663395055099,,,,,,
Brazil,1984,5.296428727753012,,,,,,
Brazil,1985,4.556938764513432,,,,,,
Brazil,1986,5.351624098062818,,,,,,
Brazil,1987,5.8693253054413175,,,,,,
Brazil,1988,6.5835010237144775,,,,,,
Brazil,1989,7.360964181977626,,,,,,
Brazil,1990,6.171998263091785,,,,,,
Brazil,1992,4.010325713087756,,,,,,
Brazil,1993,5.936723770582423,,,,,,
Brazil,1995,5.767758431761627,,,,,,
Brazil,1996,5.973194216717749,,,,,,
Brazil,1997,5.926486300242018,,,,,,
Brazil,1998,5.7797347531243,,,,,,
Brazil,1999,5.558670740888126,,,,,,
Brazil,2001,5.437459887463245,,,,,,
Brazil,2002,5.299530078350531,,,,,,
Brazil,2003,5.137215476190689,,,,,,
Brazil,2004,4.770563685765255,,,,,,
Brazil,2005,4.716166954149782,,,,,,
Brazil,2006,4.511603890013009,,,,,,
Brazil,2007,4.357786085567273,,,,,,
Brazil,2008,4.114628368881798,,,,,,
Brazil,2009,4.031017958949303,,,,,,
Brazil,2011,3.859769241694399,,,,,,
Brazil,2012,,3.957351126732648,,,,,
Brazil,2013,,3.788442450188946,,,,,
Brazil,2014,,3.636960293654784,,,,,
Brazil,2015,,3.625357794246947,,,,,
Brazil,2016,,3.945211827599085,,,,,
Brazil,2017,,3.960509673575301,,,,,
Brazil,2018,,4.087548170835806,,,,,
Brazil,2019,,4.013316490204388,,,,,
Brazil,2020,,2.9939810113162126,,,,,
Bulgaria,1992,,1.160409396093551,,,,,
Bulgaria,2006,,,,,,1.4579617419366626,
Bulgaria,2007,,,,,,1.5168378820132211,
Bulgaria,2008,,,,,,1.3120831783119242,
Bulgaria,2009,,,,,,1.3292670745579416,
Bulgaria,2010,,,,,,1.4656787614429945,
Bulgaria,2011,,,,,,1.360840196104484,
Bulgaria,2012,,,,,,1.4919721222067563,
Bulgaria,2013,,,,,,1.5419864819260918,
Bulgaria,2014,,,,,,1.6195859865569917,
Bulgaria,2015,,,,,,,1.7001938111856434
Bulgaria,2016,,,,,,,1.916405742407748
Bulgaria,2017,,,,,,,1.9008629904039551
Bulgaria,2018,,,,,,,1.9797201596624852
Bulgaria,2019,,,,,,,1.877525523300403
Canada,1971,1.561832680449769,,,,,,
Canada,1975,1.269224966407435,,,,,,
Canada,1981,1.2165375331450028,,,,,,
Canada,1987,1.1605154575010534,,,,,,
Canada,1991,1.1358305349871192,,,,,,
Canada,1994,1.146393478101439,,,,,,
Canada,1997,1.174124739431787,,,,,,
Canada,1998,,1.2832700720425616,,,,,
Canada,2000,,1.3011969239109018,,,,,
Canada,2004,,1.3219060869885555,,,,,
Canada,2007,,1.3339025817463053,,,,,
Canada,2010,,1.316089502329673,,,,,
Canada,2012,,1.3066591231774918,,,,,
Canada,2013,,1.3177046519582143,,,,,
Canada,2014,,1.284274343277727,,,,,
Canada,2015,,1.3207598127251658,,,,,
Canada,2016,,1.256946305772979,,,,,
Canada,2017,,1.298022371694184,,,,,
Chile,1987,4.518078611768993,,,,,,
Chile,1990,4.741024838521469,,,,,,
Chile,1992,4.10282071716014,,,,,,
Chile,1994,4.505547107753319,,,,,,
Chile,1996,4.151221651343005,,,,,,
Chile,1998,4.304646308338068,,,,,,
Chile,2000,3.701896983143712,,,,,,
Chile,2003,3.458019600183923,,,,,,
Chile,2006,,2.727741859264179,,,,,
Chile,2009,,2.683533420356529,,,,,
Chile,2011,,2.550939624550704,,,,,
Chile,2013,,2.5232215882328246,,,,,
Chile,2015,,2.3391710720244485,,,,,
Chile,2017,,2.3533727950547974,,,,,
Chile,2020,,2.38918354945832,,,,,
China,1981,0.974049364676414,,,,,,
China,1984,0.9342482680696228,,,,,,
China,1987,1.0482360465544829,,,,,,
China - rural,1981,0.8430640080948093,,,,,,
China - rural,1984,0.9435195918883532,,,,,,
China - rural,1987,1.0792393196585233,,,,,,
China - urban,1981,0.6131082326038817,,,,,,
China - urban,1984,0.5964078787156999,,,,,,
China - urban,1987,0.6695648681038678,,,,,,
Colombia,1992,,3.464996982438536,,,,,
Colombia,1996,,4.846436716307065,,,,,
Colombia,1999,,5.496258474798504,,,,,
Colombia,2000,,5.437551126000582,,,,,
Colombia,2001,,,5.00320055439323,,,,
Colombia,2002,,,4.5028832850573535,,,,
Colombia,2003,,,3.910105907221452,,,,
Colombia,2004,,,4.190375597273959,,,,
Colombia,2005,,,3.9628444332256407,,,,
Colombia,2008,,,,4.412383365107411,,,
Colombia,2009,,,,4.127072501501672,,,
Colombia,2010,,,,4.18216491597406,,,
Colombia,2011,,,,3.914515042146151,,,
Colombia,2012,,,,3.75146491894588,,,
Colombia,2013,,,,3.7470487000414985,,,
Colombia,2014,,,,3.722757428190156,,,
Colombia,2015,,,,3.4075242413352926,,,
Colombia,2016,,,,3.323952763970179,,,
Colombia,2017,,,,3.160300745156272,,,
Colombia,2018,,,,3.287686026978961,,,
Colombia,2019,,,,3.477018637654096,,,
Colombia,2020,,,,4.135305896923497,,,
Colombia - urban,1980,5.535302046955222,,,,,,
Colombia - urban,1988,,3.909962298089144,,,,,
Colombia - urban,1989,,3.962286794592481,,,,,
Colombia - urban,1991,,3.524892138686268,,,,,
Costa Rica,1981,2.889604381632799,,,,,,
Costa Rica,1986,1.321282154038259,,,,,,
Costa Rica,1989,,2.536134380668204,,,,,
Costa Rica,1990,,2.487772035861013,,,,,
Costa Rica,1991,,2.706647208633026,,,,,
Costa Rica,1992,,2.5324580410829878,,,,,
Costa Rica,1993,,2.5776333684825694,,,,,
Costa Rica,1994,,2.6918852778152877,,,,,
Costa Rica,1995,,2.5361542043838843,,,,,
Costa Rica,1996,,2.6599652630513253,,,,,
Costa Rica,1997,,2.521983981466284,,,,,
Costa Rica,1998,,2.522753464795228,,,,,
Costa Rica,1999,,2.820512664271888,,,,,
Costa Rica,2000,,2.8051385924487686,,,,,
Costa Rica,2001,,3.514366734582877,,,,,
Costa Rica,2002,,3.5635914490430194,,,,,
Costa Rica,2003,,3.1079471373057994,,,,,
Costa Rica,2004,,2.9384198861135045,,,,,
Costa Rica,2005,,2.780039466335742,,,,,
Costa Rica,2006,,3.074603661709351,,,,,
Costa Rica,2007,,3.051126545612569,,,,,
Costa Rica,2008,,2.944275232242387,,,,,
Costa Rica,2009,,3.3080565575412404,,,,,
Costa Rica,2010,,,2.8403339378633645,,,,
Costa Rica,2011,,,2.974446311253345,,,,
Costa Rica,2012,,,2.9148823628613525,,,,
Costa Rica,2013,,,3.0273589871030304,,,,
Costa Rica,2014,,,2.9610289427726784,,,,
Costa Rica,2015,,,2.8997731516187955,,,,
Costa Rica,2016,,,2.977589000274808,,,,
Costa Rica,2017,,,2.8884096960063084,,,,
Costa Rica,2018,,,2.8434786499206166,,,,
Costa Rica,2019,,,2.870183672979452,,,,
Costa Rica,2020,,,3.056649758523474,,,,
Croatia,2009,,,,1.232588954706438,,,
Croatia,2010,,,,1.2116401643745316,,,
Croatia,2011,,,,1.2089329443206722,,,
Croatia,2012,,,,1.2170291922708354,,,
Croatia,2013,,,,1.1950036232703591,,,
Croatia,2014,,,,1.2068880159717934,,,
Croatia,2015,,,,1.142815388733086,,,
Croatia,2016,,,,1.1329584754997266,,,
Croatia,2017,,,,1.1011459052148689,,,
