Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,4.459418857499854,,,,,,,,,,,,
Albania,2002,,4.719031367518954,,,,,,,,,,,
Albania,2005,,4.228461288899035,,,,,,,,,,,
Albania,2008,,3.8812218108743086,,,,,,,,,,,
Albania,2012,,4.0304690181163085,,,,,,,,,,,
Albania,2014,,,4.431035630419365,,,,,,,,,,
Albania,2015,,,3.818629361742992,,,,,,,,,,
Albania,2016,,,3.85195304987187,,,,,,,,,,
Albania,2017,,,3.793536361053494,,,,,,,,,,
Albania,2018,,,,3.3997594319043416,,,,,,,,,
Albania,2019,,,,2.9688372712136597,,,,,,,,,
Algeria,1988,5.240247969881349,,,,,,,,,,,,
Algeria,1995,,5.154614372363886,,,,,,,,,,,
Algeria,2011,,,3.722321414605412,,,,,,,,,,
Angola,2000,7.071809953980589,,,,,,,,,,,,
Angola,2008,,6.947355958618508,,,,,,,,,,,
Angola,2018,,,7.571297423704387,,,,,,,,,,
Argentina - urban,1980,,,,,,,3.418651534629686,,,,,,
Argentina - urban,1986,,,,,,,3.349928713367442,,,,,,
Argentina - urban,1987,,,,,,,3.687215626832858,,,,,,
Argentina - urban,1991,,,,,,,,3.9097762208926583,,,,,
Argentina - urban,1992,,,,,,,,3.991015933901801,,,,,
Argentina - urban,1993,,,,,,,,4.13503864727842,,,,,
Argentina - urban,1994,,,,,,,,4.180572709703417,,,,,
Argentina - urban,1995,,,,,,,,4.533035666704012,,,,,
Argentina - urban,1996,,,,,,,,4.698636452271018,,,,,
Argentina - urban,1997,,,,,,,,4.616318304636792,,,,,
Argentina - urban,1998,,,,,,,,4.735063995224848,,,,,
Argentina - urban,1999,,,,,,,,4.775045619341912,,,,,
Argentina - urban,2000,,,,,,,,4.978236732158426,,,,,
Argentina - urban,2001,,,,,,,,5.285396141868558,,,,,
Argentina - urban,2002,,,,,,,,5.745683969715103,,,,,
Argentina - urban,2003,,,,,,,,,5.056808440039795,,,,
Argentina - urban,2004,,,,,,,,,4.80169756843806,,,,
Argentina - urban,2005,,,,,,,,,4.6047184846428815,,,,
Argentina - urban,2006,,,,,,,,,4.425243740684476,,,,
Argentina - urban,2007,,,,,,,,,4.344344709787171,,,,
Argentina - urban,2008,,,,,,,,,4.229429428237678,,,,
Argentina - urban,2009,,,,,,,,,4.144287153176067,,,,
Argentina - urban,2010,,,,,,,,,3.9616636653419057,,,,
Argentina - urban,2011,,,,,,,,,3.78536430180592,,,,
Argentina - urban,2012,,,,,,,,,3.7134910573344206,,,,
Argentina - urban,2013,,,,,,,,,3.689243479616653,,,,
Argentina - urban,2014,,,,,,,,,3.677940147368208,,,,
Argentina - urban,2016,,,,,,,,,3.739702382611805,,,,
Argentina - urban,2017,,,,,,,,,3.5995883663273784,,,,
Argentina - urban,2018,,,,,,,,,3.783447850691605,,,,
Argentina - urban,2019,,,,,,,,,3.930599436975695,,,,
Argentina - urban,2020,,,,,,,,,4.072257557550088,,,,
Armenia,1996,,,,,,,5.892945835341911,,,,,,
Armenia,1999,,6.248342560723442,,,,,,,,,,,
Armenia,2001,,6.400531538075755,,,,,,,,,,,
Armenia,2002,,6.236769194870701,,,,,,,,,,,
Armenia,2003,,6.077073255444117,,,,,,,,,,,
Armenia,2004,,5.63454770751324,,,,,,,,,,,
Armenia,2005,,5.222006518305209,,,,,,,,,,,
