Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,78.19719916592975,,,,,,,,,,,,
Albania,2002,,78.07466668991768,,,,,,,,,,,
Albania,2005,,75.37195435628946,,,,,,,,,,,
Albania,2008,,73.56582393135461,,,,,,,,,,,
Albania,2012,,74.15439763891331,,,,,,,,,,,
Albania,2014,,,72.82645693859399,,,,,,,,,,
Albania,2015,,,68.17303485222133,,,,,,,,,,
Albania,2016,,,67.27458739647015,,,,,,,,,,
Albania,2017,,,67.26749386964423,,,,,,,,,,
Albania,2018,,,,64.61182001597581,,,,,,,,,
Albania,2019,,,,60.55549950010598,,,,,,,,,
Algeria,1988,80.13952963449739,,,,,,,,,,,,
Algeria,1995,,79.19938264940518,,,,,,,,,,,
Algeria,2011,,,73.16113122752263,,,,,,,,,,
Angola,2000,87.7589741304528,,,,,,,,,,,,
Angola,2008,,88.27229725069581,,,,,,,,,,,
Angola,2018,,,90.76301767883874,,,,,,,,,,
Argentina - urban,1980,,,,,,,50.78624113290964,,,,,,
Argentina - urban,1986,,,,,,,50.13787478173426,,,,,,
Argentina - urban,1987,,,,,,,53.90093689260652,,,,,,
Argentina - urban,1991,,,,,,,,62.53507560865243,,,,,
Argentina - urban,1992,,,,,,,,62.19092307914688,,,,,
Argentina - urban,1993,,,,,,,,61.05538302905601,,,,,
Argentina - urban,1994,,,,,,,,62.10726145128314,,,,,
Argentina - urban,1995,,,,,,,,65.33713959390911,,,,,
Argentina - urban,1996,,,,,,,,66.02928568425013,,,,,
Argentina - urban,1997,,,,,,,,64.85298436109842,,,,,
Argentina - urban,1998,,,,,,,,66.3605891576389,,,,,
Argentina - urban,1999,,,,,,,,66.6680565111291,,,,,
Argentina - urban,2000,,,,,,,,67.64316929466257,,,,,
Argentina - urban,2001,,,,,,,,70.22134789183488,,,,,
Argentina - urban,2002,,,,,,,,76.57143042044598,,,,,
Argentina - urban,2003,,,,,,,,,68.93591628403321,,,,
Argentina - urban,2004,,,,,,,,,66.34737246564036,,,,
