Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,0.6228292308601799,,,,,,,,,,,,
Albania,2002,,0.6253408711037811,,,,,,,,,,,
Albania,2005,,0.5838855773882433,,,,,,,,,,,
Albania,2008,,0.5543825242830268,,,,,,,,,,,
Albania,2012,,0.5669369069569282,,,,,,,,,,,
Albania,2014,,,0.5544830611577551,,,,,,,,,,
Albania,2015,,,0.4900422661483872,,,,,,,,,,
Albania,2016,,,0.4781583345504467,,,,,,,,,,
Albania,2017,,,0.4796084411616257,,,,,,,,,,
Albania,2018,,,,0.4436013419721796,,,,,,,,,
Albania,2019,,,,0.3871725619058481,,,,,,,,,
Algeria,1988,0.6544646238765686,,,,,,,,,,,,
Algeria,1995,,0.6458580872476802,,,,,,,,,,,
Algeria,2011,,,0.5511165552312256,,,,,,,,,,
Angola,2000,0.7788798235744383,,,,,,,,,,,,
Angola,2008,,0.7877862530345866,,,,,,,,,,,
Angola,2018,,,0.8301002336635936,,,,,,,,,,
Argentina - urban,1980,,,,,,,0.243577954747297,,,,,,
Argentina - urban,1986,,,,,,,0.2319464403321021,,,,,,
Argentina - urban,1987,,,,,,,0.2757338551048539,,,,,,
Argentina - urban,1991,,,,,,,,0.3952456897409123,,,,,
Argentina - urban,1992,,,,,,,,0.3835536578547592,,,,,
Argentina - urban,1993,,,,,,,,0.3776003408174238,,,,,
Argentina - urban,1994,,,,,,,,0.3884787744137136,,,,,
Argentina - urban,1995,,,,,,,,0.4244093543061668,,,,,
Argentina - urban,1996,,,,,,,,0.4334085343649656,,,,,
Argentina - urban,1997,,,,,,,,0.4169730477180774,,,,,
Argentina - urban,1998,,,,,,,,0.4361384407486892,,,,,
Argentina - urban,1999,,,,,,,,0.4443587340623528,,,,,
Argentina - urban,2000,,,,,,,,0.4584139329385616,,,,,
Argentina - urban,2001,,,,,,,,0.4953768812159075,,,,,
Argentina - urban,2002,,,,,,,,0.5962351057565064,,,,,
Argentina - urban,2003,,,,,,,,,0.4829360086923708,,,,
Argentina - urban,2004,,,,,,,,,0.4453603806769226,,,,
Argentina - urban,2005,,,,,,,,,0.412111195360285,,,,
Argentina - urban,2006,,,,,,,,,0.3713406519610703,,,,
Argentina - urban,2007,,,,,,,,,0.3608366498107381,,,,
Argentina - urban,2008,,,,,,,,,0.3452715806080524,,,,
Argentina - urban,2009,,,,,,,,,0.326855306386567,,,,
Argentina - urban,2010,,,,,,,,,0.3168631913082765,,,,
Argentina - urban,2011,,,,,,,,,0.2918197548335436,,,,
Argentina - urban,2012,,,,,,,,,0.2859942815791029,,,,
Argentina - urban,2013,,,,,,,,,0.2821529725774816,,,,
Argentina - urban,2014,,,,,,,,,0.3074423562028603,,,,
Argentina - urban,2016,,,,,,,,,0.2962506683707073,,,,
Argentina - urban,2017,,,,,,,,,0.2752876151079514,,,,
Argentina - urban,2018,,,,,,,,,0.3068882610288307,,,,
Argentina - urban,2019,,,,,,,,,0.3254495458216618,,,,
Argentina - urban,2020,,,,,,,,,0.3646630462818649,,,,
Armenia,1996,,,,,,,0.6886619701316563,,,,,,
Armenia,1999,,0.7425402970185404,,,,,,,,,,,
Armenia,2001,,0.7511421308420281,,,,,,,,,,,
Armenia,2002,,0.7414066855325945,,,,,,,,,,,
Armenia,2003,,0.7355967249579987,,,,,,,,,,,
Armenia,2004,,0.6907412541584919,,,,,,,,,,,
Armenia,2005,,0.6625125507644715,,,,,,,,,,,
Armenia,2006,,0.6557139126203781,,,,,,,,,,,
Armenia,2007,,0.6242948120767202,,,,,,,,,,,
Armenia,2008,,0.6146145032425887,,,,,,,,,,,
Armenia,2009,,0.6487304713151705,,,,,,,,,,,
Armenia,2010,,0.6481845224443893,,,,,,,,,,,
Armenia,2011,,0.6394248617774728,,,,,,,,,,,
Armenia,2012,,0.6302411596490594,,,,,,,,,,,
Armenia,2013,,0.6194603548508505,,,,,,,,,,,
Armenia,2014,,0.6145253639729391,,,,,,,,,,,
Armenia,2015,,0.5959011857017971,,,,,,,,,,,
Armenia,2016,,0.576672741744439,,,,,,,,,,,
Armenia,2017,,0.5940275137571932,,,,,,,,,,,
Armenia,2018,,0.5965480256943538,,,,,,,,,,,
Armenia,2019,,,0.6177049336286816,,,,,,,,,,
Armenia,2020,,,0.6250403465781924,,,,,,,,,,
Australia,1981,,,,,,,0.0835689839658132,,,,,,
Australia,1985,,,,,,,,0.0820727332061253,,,,,
Australia,1989,,,,,,,,,0.081219489164999,,,,
Australia,1995,,,,,,,,,0.0916854220167858,,,,
Australia,2001,,,,,,,,,0.0708624740036673,,,,
Australia,2003,,,,,,,,,0.0666888720008746,,,,
Australia,2004,,,,,,,,,,0.0488298505420609,,,
Australia,2008,,,,,,,,,0.0309695477063906,,,,
Australia,2010,,,,,,,,,,0.0317010602917827,,,
Australia,2014,,,,,,,,,0.0257190344541533,,,,
Australia,2016,,,,,,,,,0.0273666971968301,,,,
Australia,2018,,,,,,,,,0.0292525316545056,,,,
Austria,1987,,,,,,,0.0178013010998738,,,,,,
Austria,1994,,,,,,,,0.0367826528608859,,,,,
Austria,1995,,,,,,,0.0702409696540658,,,,,,
Austria,1997,,,,,,,,0.0387702398097953,,,,,
Austria,2000,,,,,,,,0.0274756410002758,,,,,
Austria,2003,,,,,,,,,0.0273802816660316,,,,
Austria,2004,,,,,,,,,0.0215051193172566,,,,
Austria,2005,,,,,,,,,0.0233320277182558,,,,
Austria,2006,,,,,,,,,0.0230693403623825,,,,
Austria,2007,,,,,,,,,0.0274396477631854,,,,
Austria,2008,,,,,,,,,0.0273147300519431,,,,
Austria,2009,,,,,,,,,0.0292211575847307,,,,
Austria,2010,,,,,,,,,0.0234208352824728,,,,
Austria,2011,,,,,,,,,0.0276270480786351,,,,
Austria,2012,,,,,,,,,0.0303582273178351,,,,
Austria,2013,,,,,,,,,0.0222014647966124,,,,
Austria,2014,,,,,,,,,0.0233387229805916,,,,
Austria,2015,,,,,,,,,0.027075163931072,,,,
Austria,2016,,,,,,,,,0.028022095677126,,,,
Austria,2017,,,,,,,,,0.0230291756853224,,,,
Austria,2018,,,,,,,,,0.0248401153511107,,,,
Austria,2019,,,,,,,,,0.0244825467152028,,,,
Azerbaijan,1995,0.6733487708088393,,,,,,,,,,,,
Azerbaijan,2001,,0.6239098505810272,,,,,,,,,,,
Azerbaijan,2002,,0.5248936084467939,,,,,,,,,,,
Azerbaijan,2003,,0.5117518828282539,,,,,,,,,,,
Azerbaijan,2004,,0.5037840387367254,,,,,,,,,,,
Azerbaijan,2005,,0.461805686894519,,,,,,,,,,,
Bangladesh,1983,0.99997,,,,,,,,,,,,
Bangladesh,1985,0.99997,,,,,,,,,,,,
Bangladesh,1988,0.99997,,,,,,,,,,,,
Bangladesh,1991,,0.8507126337591873,,,,,,,,,,,
Bangladesh,1995,,0.8239363606933536,,,,,,,,,,,
Bangladesh,2000,,,0.8185300750733437,,,,,,,,,,
Bangladesh,2005,,,0.7994473422035,,,,,,,,,,
Bangladesh,2010,,,0.7860651028116278,,,,,,,,,,
Bangladesh,2016,,,0.7682979176391079,,,,,,,,,,
Belarus,1993,,,,,,,0.99997,,,,,,
Belarus,1995,,,,,,,0.471874930291873,,,,,,
Belarus,1998,,0.7396340446294157,,,,,,,,,,,
Belarus,1999,,0.7239906477979424,,,,,,,,,,,
Belarus,2000,,0.6978372325237145,,,,,,,,,,,
Belarus,2001,,0.6374180461281992,,,,,,,,,,,
Belarus,2002,,0.6083143039058022,,,,,,,,,,,
Belarus,2003,,0.5938070533200475,,,,,,,,,,,
Belarus,2004,,0.5498136097632134,,,,,,,,,,,
Belarus,2005,,0.4749432829616921,,,,,,,,,,,
Belarus,2006,,0.420486025529989,,,,,,,,,,,
Belarus,2007,,0.3715032216273016,,,,,,,,,,,
Belarus,2008,,0.3480713905371037,,,,,,,,,,,
Belarus,2009,,0.3443600213151173,,,,,,,,,,,
Belarus,2010,,0.299287178335959,,,,,,,,,,,
Belarus,2011,,0.2825486882091093,,,,,,,,,,,
Belarus,2012,,0.2354635021801321,,,,,,,,,,,
Belarus,2013,,0.1948945733207404,,,,,,,,,,,
Belarus,2014,,0.1836614645251952,,,,,,,,,,,
Belarus,2015,,0.2159741192333069,,,,,,,,,,,
Belarus,2016,,0.2301228775725014,,,,,,,,,,,
Belarus,2017,,0.2203302001284318,,,,,,,,,,,
Belarus,2018,,0.1884995500380186,,,,,,,,,,,
Belarus,2019,,0.1697880366255913,,,,,,,,,,,
Belarus,2020,,0.1624647305769627,,,,,,,,,,,
Belgium,1985,,,,,,,0.0736944445539886,,,,,,
Belgium,1988,,,,,,,0.0661019316668172,,,,,,
Belgium,1992,,,,,,,0.0542910629872912,,,,,,
Belgium,1995,,,,,,,,0.0423944394981865,,,,,
Belgium,1997,,,,,,,0.0395296142364111,,,,,,
Belgium,2000,,,,,,,,0.0292814603152738,,,,,
Belgium,2003,,,,,,,,,0.0371296589954519,,,,
Belgium,2004,,,,,,,,,0.0294721830698248,,,,
Belgium,2005,,,,,,,,,0.0287031907909148,,,,
Belgium,2006,,,,,,,,,0.0294565510811644,,,,
Belgium,2007,,,,,,,,,0.0280823722053001,,,,
Belgium,2008,,,,,,,,,0.0259600645759107,,,,
Belgium,2009,,,,,,,,,0.0285331962419914,,,,
Belgium,2010,,,,,,,,,0.0280912200508121,,,,
Belgium,2011,,,,,,,,,0.029609550220403,,,,
Belgium,2012,,,,,,,,,0.0264229184665332,,,,
Belgium,2013,,,,,,,,,0.0276614247639908,,,,
Belgium,2014,,,,,,,,,0.0250005072511313,,,,
Belgium,2015,,,,,,,,,0.0237877333084861,,,,
Belgium,2016,,,,,,,,,0.0251650340287239,,,,
