Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6
Albania,1996,239127.0,,,,,
Albania,2002,,256479.0,,,,
Albania,2005,,270779.0,,,,
Albania,2008,,213023.0,,,,
Albania,2012,,224871.0,,,,
Albania,2014,,,415333.0,,,
Albania,2015,,,310489.0,,,
Albania,2016,,,365811.0,,,
Albania,2017,,,334884.0,,,
Albania,2018,,,,337481.0,,
Albania,2019,,,,263014.0,,
Algeria,1988,3387119.0,,,,,
Algeria,1995,,4074209.0,,,,
Algeria,2011,,,2294548.0,,,
Angola,2000,3844097.0,,,,,
Angola,2008,,3712685.0,,,,
Angola,2018,,,7021666.0,,,
Armenia,1999,,288036.0,,,,
Armenia,2001,,282729.0,,,,
Armenia,2002,,222751.0,,,,
Armenia,2003,,187993.0,,,,
Armenia,2004,,241358.0,,,,
Armenia,2005,,206024.0,,,,
Armenia,2006,,207144.0,,,,
Armenia,2007,,241171.0,,,,
Armenia,2008,,187023.0,,,,
Armenia,2009,,165856.0,,,,
Armenia,2010,,174943.0,,,,
Armenia,2011,,187779.0,,,,
Armenia,2012,,211677.0,,,,
Armenia,2013,,232003.0,,,,
Armenia,2014,,245238.0,,,,
Armenia,2015,,257888.0,,,,
Armenia,2016,,345495.0,,,,
Armenia,2017,,203171.0,,,,
Armenia,2018,,231286.0,,,,
Armenia,2019,,,214000.0,,,
Armenia,2020,,,142779.0,,,
Azerbaijan,1995,961357.0,,,,,
Azerbaijan,2001,,776781.0,,,,
Azerbaijan,2002,,152417.0,,,,
Azerbaijan,2003,,253862.0,,,,
Azerbaijan,2004,,85745.0,,,,
Azerbaijan,2005,,73644.0,,,,
Bangladesh,1983,4918343.0,,,,,
Bangladesh,1985,3227060.0,,,,,
Bangladesh,1988,5234512.0,,,,,
Bangladesh,1991,,5841263.0,,,,
Bangladesh,1995,,5823261.0,,,,
Bangladesh,2000,,,6650690.0,,,
