Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6
Albania,1996,5.774804976851393,,,,,
Albania,2002,,5.539607490558332,,,,
Albania,2005,,6.460357075105566,,,,
Albania,2008,,6.957659224183439,,,,
Albania,2012,,6.8252891049441375,,,,
Albania,2014,,,6.870836745603878,,,
Albania,2015,,,8.18945365730761,,,
Albania,2016,,,8.516612198302338,,,
Albania,2017,,,8.43817264466874,,,
Albania,2018,,,,9.6410791639456,,
Albania,2019,,,,10.83164622096564,,
Algeria,1988,4.942825772725843,,,,,
Algeria,1995,,5.119379112993882,,,,
Algeria,2011,,,7.15852568018615,,,
Angola,2000,2.593653331259985,,,,,
Angola,2008,,2.6101818949414426,,,,
Angola,2018,,,1.9019545359638133,,,
Armenia,1999,,3.437495545015353,,,,
Armenia,2001,,3.3021306251033256,,,,
Armenia,2002,,3.463285253091183,,,,
Armenia,2003,,3.648696005024614,,,,
Armenia,2004,,4.228687646688645,,,,
Armenia,2005,,4.760976929249398,,,,
Armenia,2006,,5.110940804756516,,,,
Armenia,2007,,5.601002709131261,,,,
Armenia,2008,,5.830244133132982,,,,
Armenia,2009,,5.21529102473289,,,,
Armenia,2010,,5.184435317013471,,,,
Armenia,2011,,5.412148043235408,,,,
Armenia,2012,,5.579519203736324,,,,
Armenia,2013,,5.77604565725007,,,,
Armenia,2014,,5.894815570178598,,,,
Armenia,2015,,6.223099831740379,,,,
Armenia,2016,,6.7513845899322655,,,,
Armenia,2017,,6.102093430094723,,,,
Armenia,2018,,6.072136426614003,,,,
Armenia,2019,,,5.870698445751575,,,
Armenia,2020,,,5.8000049451870535,,,
Azerbaijan,1995,4.684064786112666,,,,,
Azerbaijan,2001,,5.326105141782026,,,,
Azerbaijan,2002,,7.548490262645856,,,,
Azerbaijan,2003,,7.869489436448216,,,,
Azerbaijan,2004,,7.9196584834097,,,,
Azerbaijan,2005,,8.75371479287225,,,,
Bangladesh,1983,2.1366329489254263,,,,,
Bangladesh,1985,2.270637816130535,,,,,
Bangladesh,1988,2.0499473345790618,,,,,
Bangladesh,1991,,2.0447545848474027,,,,
Bangladesh,1995,,2.2506193834910166,,,,
Bangladesh,2000,,,2.312349129064144,,,
Bangladesh,2005,,,2.572128644043936,,,
Bangladesh,2010,,,2.819002327189628,,,
Bangladesh,2016,,,3.1102582643248486,,,
Belarus,1998,,3.677289808777535,,,,
Belarus,1999,,3.970642334799623,,,,
Belarus,2000,,4.421550702298889,,,,
Belarus,2001,,5.505605607211035,,,,
Belarus,2002,,6.062044737782565,,,,
Belarus,2003,,6.367484757371973,,,,
Belarus,2004,,7.288857969638736,,,,
Belarus,2005,,8.921367174601889,,,,
