Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6
Albania,1996,23.29695646886108,,,,,
Albania,2002,,22.21301379280012,,,,
Albania,2005,,22.498551647553448,,,,
Albania,2008,,22.22781052207251,,,,
Albania,2012,,22.808756322980337,,,,
Albania,2014,,,23.31824085121228,,,
Albania,2015,,,22.997377736162026,,,
Albania,2016,,,23.22448203645885,,,
Albania,2017,,,23.25714899050841,,,
Albania,2018,,,,23.34443792722608,,
Albania,2019,,,,22.96202713377494,,
Algeria,1988,20.63880785594884,,,,,
Algeria,1995,,22.62921578164794,,,,
Algeria,2011,,,22.284391370008493,,,
Angola,2000,20.1579410002856,,,,,
Angola,2008,,21.94314524478243,,,,
Angola,2018,,,20.43749949669823,,,
Armenia,1999,,21.234527027948268,,,,
Armenia,2001,,20.85550041783135,,,,
Armenia,2002,,20.81473126168017,,,,
Armenia,2003,,20.79146016380206,,,,
Armenia,2004,,20.19522640041125,,,,
Armenia,2005,,20.22120743188023,,,,
Armenia,2006,,22.13160388179668,,,,
Armenia,2007,,22.075617056350133,,,,
Armenia,2008,,22.440539851964655,,,,
Armenia,2009,,22.4116833666679,,,,
Armenia,2010,,21.70002424717645,,,,
Armenia,2011,,22.20804212676829,,,,
Armenia,2012,,22.02277494112941,,,,
Armenia,2013,,22.183518748154484,,,,
Armenia,2014,,21.9711591230159,,,,
Armenia,2015,,21.79754064690424,,,,
Armenia,2016,,22.835378802644243,,,,
Armenia,2017,,20.94354245906316,,,,
Armenia,2018,,20.777292352037968,,,,
Armenia,2019,,,21.70719081585931,,,
Armenia,2020,,,22.16933561000354,,,
Azerbaijan,1995,22.51492655678377,,,,,
Azerbaijan,2001,,21.22933479243391,,,,
Azerbaijan,2002,,20.97790964747827,,,,
Azerbaijan,2003,,21.437675053188222,,,,
Azerbaijan,2004,,20.762023589865528,,,,
Azerbaijan,2005,,20.86292075428291,,,,
Bangladesh,1983,22.25048874302502,,,,,
Bangladesh,1985,21.65370719554743,,,,,
Bangladesh,1988,21.63062361922261,,,,,
Bangladesh,1991,,22.044564152056708,,,,
Bangladesh,1995,,20.62501219723224,,,,
Bangladesh,2000,,,20.95890178622753,,,
Bangladesh,2005,,,20.94919830387935,,,
Bangladesh,2010,,,21.22483854199291,,,
Bangladesh,2016,,,21.43350392927288,,,
Belarus,1998,,22.61926932904229,,,,
Belarus,1999,,23.191056934872396,,,,
Belarus,2000,,22.97907212720589,,,,
Belarus,2001,,22.65979665007825,,,,
Belarus,2002,,22.57049131391765,,,,
Belarus,2003,,22.8440026739296,,,,
