Entity,Year,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,2016,,,,,4.48,,
Albania,2017,,,,,4.97,,
Albania,2018,,,,,5.21,,
Argentina - urban,1980,11.68,,,,,,
Argentina - urban,1986,12.26,,,,,,
Argentina - urban,1987,10.54,,,,,,
Argentina - urban,1991,,7.28,,,,,
Argentina - urban,1992,,7.58,,,,,
Argentina - urban,1993,,7.62,,,,,
Argentina - urban,1994,,7.34,,,,,
Argentina - urban,1995,,6.4,,,,,
Argentina - urban,1996,,6.12,,,,,
Argentina - urban,1997,,6.35,,,,,
Argentina - urban,1998,,5.9,,,,,
Argentina - urban,1999,,5.78,,,,,
Argentina - urban,2000,,5.35,,,,,
Argentina - urban,2001,,4.61,,,,,
Argentina - urban,2002,,3.17,,,,,
Argentina - urban,2003,,,4.91,,,,
Argentina - urban,2004,,,5.65,,,,
Argentina - urban,2005,,,6.41,,,,
Argentina - urban,2006,,,7.43,,,,
Argentina - urban,2007,,,7.6,,,,
Argentina - urban,2008,,,8.2,,,,
Argentina - urban,2009,,,8.77,,,,
Argentina - urban,2010,,,8.96,,,,
Argentina - urban,2011,,,9.76,,,,
Argentina - urban,2012,,,10.06,,,,
Argentina - urban,2013,,,10.14,,,,
Argentina - urban,2014,,,9.23,,,,
Argentina - urban,2016,,,9.67,,,,
Argentina - urban,2017,,,10.4,,,,
Argentina - urban,2018,,,9.38,,,,
Argentina - urban,2019,,,8.77,,,,
Argentina - urban,2020,,,7.67,,,,
Armenia,1996,2.79,,,,,,
Australia,1981,22.12,,,,,,
Australia,1985,,22.36,,,,,
Australia,1989,,,22.62,,,,
Australia,1995,,,20.88,,,,
Australia,2001,,,23.5,,,,
Australia,2003,,,24.42,,,,
Australia,2004,,,,26.48,,,
Australia,2008,,,31.6,,,,
Australia,2010,,,,32.3,,,
Australia,2014,,,35.8,,,,
Australia,2016,,,34.95,,,,
Australia,2018,,,35.45,,,,
Austria,1987,31.85,,,,,,
Austria,1994,,30.5,,,,,
Austria,1995,26.36,,,,,,
Austria,1997,,29.98,,,,,
Austria,2000,,31.8,,,,,
Austria,2003,,,32.7,,,,
Austria,2004,,,34.1,,,,
Austria,2005,,,33.25,,,,
Austria,2006,,,33.6,,,,
Austria,2007,,,34.35,,,,
Austria,2008,,,35.45,,,,
Austria,2009,,,35.85,,,,
Austria,2010,,,36.9,,,,
Austria,2011,,,35.75,,,,
Austria,2012,,,35.65,,,,
Austria,2013,,,36.4,,,,
Austria,2014,,,36.1,,,,
Austria,2015,,,36.25,,,,
Austria,2016,,,37.85,,,,
Austria,2017,,,37.3,,,,
Austria,2018,,,37.1,,,,
Austria,2019,,,38.9,,,,
Belarus,1993,5.25,,,,,,
Belarus,1995,6.88,,,,,,
Belgium,1985,21.48,,,,,,
Belgium,1988,22.72,,,,,,
Belgium,1992,24.92,,,,,,
Belgium,1995,,28.6,,,,,
Belgium,1997,28.7,,,,,,
Belgium,2000,,31.1,,,,,
Belgium,2003,,,30.25,,,,
Belgium,2004,,,31.4,,,,
Belgium,2005,,,31.9,,,,
Belgium,2006,,,32.0,,,,
Belgium,2007,,,32.1,,,,
Belgium,2008,,,33.25,,,,
Belgium,2009,,,33.8,,,,
Belgium,2010,,,33.25,,,,
Belgium,2011,,,32.75,,,,
Belgium,2012,,,34.2,,,,
Belgium,2013,,,33.75,,,,
Belgium,2014,,,33.7,,,,
Belgium,2015,,,34.8,,,,
Belgium,2016,,,34.65,,,,
Belgium,2017,,,34.8,,,,
Belgium,2018,,,36.15,,,,
Belgium,2019,,,37.3,,,,
Belize,1993,3.69,,,,,,
Belize,1994,3.57,,,,,,
Belize,1996,,,3.12,,,,
Belize,1997,2.88,,,,,,
Belize,1998,3.02,,,,,,
Belize,1999,3.46,,,,,,
Bolivia,1997,,3.0,,,,,
Bolivia,1999,,,2.35,,,,
Bolivia,2000,,,2.06,,,,
Bolivia,2001,,,,2.56,,,
Bolivia,2002,,,,,2.39,,
Bolivia,2004,,,,,3.29,,
Bolivia,2005,,,,,2.98,,
Bolivia,2006,,,,,3.34,,
Bolivia,2007,,,,,3.5,,
Bolivia,2008,,,,,4.31,,
Bolivia,2009,,,,,4.92,,
Bolivia,2011,,,,,5.8,,
Bolivia,2012,,,,,5.79,,
Bolivia,2013,,,,,6.25,,
Bolivia,2014,,,,,6.27,,
Bolivia,2015,,,,,6.21,,
Bolivia,2016,,,,,6.12,,
Bolivia,2017,,,,,6.25,,
Bolivia,2018,,,,,6.52,,
Bolivia,2019,,,,,6.98,,
Bolivia,2020,,,,,6.68,,
Bolivia - urban,1990,3.71,,,,,,
Bolivia - urban,1992,2.77,,,,,,
Brazil,1981,2.5,,,,,,
Brazil,1982,2.47,,,,,,
Brazil,1983,2.04,,,,,,
Brazil,1984,2.08,,,,,,
Brazil,1985,2.35,,,,,,
Brazil,1986,3.96,,,,,,
Brazil,1987,2.92,,,,,,
Brazil,1988,2.69,,,,,,
Brazil,1989,2.93,,,,,,
Brazil,1990,2.52,,,,,,
Brazil,1992,2.61,,,,,,
Brazil,1993,2.69,,,,,,
Brazil,1995,3.58,,,,,,
Brazil,1996,3.53,,,,,,
Brazil,1997,3.49,,,,,,
Brazil,1998,3.69,,,,,,
Brazil,1999,3.52,,,,,,
Brazil,2001,4.0,,,,,,
Brazil,2002,4.11,,,,,,
Brazil,2003,4.0,,,,,,
Brazil,2004,4.19,,,,,,
Brazil,2005,4.43,,,,,,
Brazil,2006,4.92,,,,,,
Brazil,2007,5.19,,,,,,
Brazil,2008,5.72,,,,,,
Brazil,2009,5.95,,,,,,
Brazil,2011,6.63,,,,,,
Brazil,2012,,6.95,,,,,
Brazil,2013,,7.47,,,,,
Brazil,2014,,7.75,,,,,
Brazil,2015,,7.58,,,,,
Brazil,2016,,7.22,,,,,
Brazil,2017,,7.21,,,,,
Brazil,2018,,7.36,,,,,
Brazil,2019,,7.52,,,,,
Brazil,2020,,8.79,,,,,
Bulgaria,1992,,12.5,,,,,
Bulgaria,2006,,,,,,6.36,
Bulgaria,2007,,,,,,8.45,
Bulgaria,2008,,,,,,9.85,
Bulgaria,2009,,,,,,10.22,
Bulgaria,2010,,,,,,9.45,
Bulgaria,2011,,,,,,9.19,
Bulgaria,2012,,,,,,9.26,
Bulgaria,2013,,,,,,10.26,
Bulgaria,2014,,,,,,10.7,
Bulgaria,2015,,,,,,,10.06
Bulgaria,2016,,,,,,,11.34
Bulgaria,2017,,,,,,,11.3
Bulgaria,2018,,,,,,,12.82
Bulgaria,2019,,,,,,,13.52
Canada,1971,17.5,,,,,,
Canada,1975,23.26,,,,,,
Canada,1981,26.78,,,,,,
Canada,1987,28.16,,,,,,
Canada,1991,28.6,,,,,,
Canada,1994,28.72,,,,,,
Canada,1997,28.64,,,,,,
Canada,1998,,28.92,,,,,
Canada,2000,,29.0,,,,,
Canada,2004,,30.95,,,,,
Canada,2007,,33.8,,,,,
Canada,2010,,34.85,,,,,
Canada,2012,,35.4,,,,,
Canada,2013,,36.2,,,,,
Canada,2014,,36.55,,,,,
Canada,2015,,36.65,,,,,
Canada,2016,,36.55,,,,,
Canada,2017,,37.35,,,,,
Chile,1987,3.33,,,,,,
Chile,1990,3.88,,,,,,
Chile,1992,4.5,,,,,,
Chile,1994,4.77,,,,,,
Chile,1996,5.4,,,,,,
Chile,1998,5.7,,,,,,
Chile,2000,5.45,,,,,,
Chile,2003,5.54,,,,,,
Chile,2006,,7.0,,,,,
Chile,2009,,7.61,,,,,
Chile,2011,,8.4,,,,,
Chile,2013,,10.16,,,,,
Chile,2015,,11.08,,,,,
Chile,2017,,12.32,,,,,
Chile,2020,,12.38,,,,,
China,1981,0.77,,,,,,
China,1984,1.05,,,,,,
China,1987,1.24,,,,,,
China - rural,1981,0.71,,,,,,
China - rural,1984,0.95,,,,,,
China - rural,1987,1.1,,,,,,
