Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,1532.0,,,,,,,,,,,,
Albania,2002,,4788.0,,,,,,,,,,,
Albania,2005,,7476.0,,,,,,,,,,,
Albania,2008,,9483.0,,,,,,,,,,,
Albania,2012,,3307.0,,,,,,,,,,,
Albania,2014,,,5207.0,,,,,,,,,,
Albania,2015,,,10444.0,,,,,,,,,,
Albania,2016,,,12796.0,,,,,,,,,,
Albania,2017,,,12289.0,,,,,,,,,,
Albania,2018,,,,7904.0,,,,,,,,,
Albania,2019,,,,33618.0,,,,,,,,,
Algeria,1988,117537.0,,,,,,,,,,,,
Algeria,1995,,288.0,,,,,,,,,,,
Algeria,2011,,,367.0,,,,,,,,,,
Angola,2000,84003.0,,,,,,,,,,,,
Angola,2008,,17480.0,,,,,,,,,,,
Angola,2018,,,68512.0,,,,,,,,,,
Argentina - urban,1980,,,,,,,2970536.0,,,,,,
Argentina - urban,1986,,,,,,,4019577.0,,,,,,
Argentina - urban,1987,,,,,,,3336650.0,,,,,,
Argentina - urban,1991,,,,,,,,1876855.0,,,,,
Argentina - urban,1992,,,,,,,,2057233.0,,,,,
Argentina - urban,1993,,,,,,,,1925885.0,,,,,
Argentina - urban,1994,,,,,,,,1975884.0,,,,,
Argentina - urban,1995,,,,,,,,1917593.0,,,,,
Argentina - urban,1996,,,,,,,,1923588.0,,,,,
Argentina - urban,1997,,,,,,,,2287347.0,,,,,
Argentina - urban,1998,,,,,,,,2134642.0,,,,,
Argentina - urban,1999,,,,,,,,1891114.0,,,,,
Argentina - urban,2000,,,,,,,,1897376.0,,,,,
Argentina - urban,2001,,,,,,,,1862516.0,,,,,
Argentina - urban,2002,,,,,,,,832562.0,,,,,
Argentina - urban,2003,,,,,,,,,1616235.0,,,,
Argentina - urban,2004,,,,,,,,,1798006.0,,,,
Argentina - urban,2005,,,,,,,,,2238086.0,,,,
Argentina - urban,2006,,,,,,,,,2709062.0,,,,
Argentina - urban,2007,,,,,,,,,2888948.0,,,,
Argentina - urban,2008,,,,,,,,,2987321.0,,,,
Argentina - urban,2009,,,,,,,,,3224396.0,,,,
Argentina - urban,2010,,,,,,,,,3485726.0,,,,
Argentina - urban,2011,,,,,,,,,3996175.0,,,,
Argentina - urban,2012,,,,,,,,,3818408.0,,,,
Argentina - urban,2013,,,,,,,,,3947082.0,,,,
Argentina - urban,2014,,,,,,,,,3474109.0,,,,
Argentina - urban,2016,,,,,,,,,3945465.0,,,,
Argentina - urban,2017,,,,,,,,,4305671.0,,,,
Argentina - urban,2018,,,,,,,,,3531547.0,,,,
Argentina - urban,2019,,,,,,,,,3458201.0,,,,
Argentina - urban,2020,,,,,,,,,2541832.0,,,,
Armenia,1996,,,,,,,21919.0,,,,,,
Armenia,1999,,5585.0,,,,,,,,,,,
Armenia,2001,,3131.0,,,,,,,,,,,
Armenia,2002,,5224.0,,,,,,,,,,,
Armenia,2003,,4865.0,,,,,,,,,,,
Armenia,2004,,13052.0,,,,,,,,,,,
Armenia,2005,,14380.0,,,,,,,,,,,
Armenia,2006,,4528.0,,,,,,,,,,,
Armenia,2007,,4526.0,,,,,,,,,,,
Armenia,2008,,3934.0,,,,,,,,,,,
Armenia,2009,,1772.0,,,,,,,,,,,
Armenia,2010,,7168.0,,,,,,,,,,,
Armenia,2011,,5822.0,,,,,,,,,,,
Armenia,2012,,9417.0,,,,,,,,,,,
Armenia,2013,,5905.0,,,,,,,,,,,
Armenia,2014,,12192.0,,,,,,,,,,,
Armenia,2015,,19611.0,,,,,,,,,,,
Armenia,2016,,8544.0,,,,,,,,,,,
Armenia,2017,,19879.0,,,,,,,,,,,
Armenia,2018,,28024.0,,,,,,,,,,,
Armenia,2019,,,8424.0,,,,,,,,,,
Armenia,2020,,,2688.0,,,,,,,,,,
Australia,1981,,,,,,,4441902.0,,,,,,
Australia,1985,,,,,,,,4776291.0,,,,,
Australia,1989,,,,,,,,,5508024.0,,,,
Australia,1995,,,,,,,,,4926670.0,,,,
Australia,2001,,,,,,,,,6846243.0,,,,
Australia,2003,,,,,,,,,7412173.0,,,,
Australia,2004,,,,,,,,,,8454595.0,,,
Australia,2008,,,,,,,,,11753278.0,,,,
Australia,2010,,,,,,,,,,12262747.0,,,
Australia,2014,,,,,,,,,14379321.0,,,,
Australia,2016,,,,,,,,,14577358.0,,,,
Australia,2018,,,,,,,,,15177291.0,,,,
Austria,1987,,,,,,,3694278.0,,,,,,
Austria,1994,,,,,,,,3891666.0,,,,,
Austria,1995,,,,,,,3338296.0,,,,,,
Austria,1997,,,,,,,,3805508.0,,,,,
Austria,2000,,,,,,,,4266984.0,,,,,
Austria,2003,,,,,,,,,4422665.0,,,,
Austria,2004,,,,,,,,,4742303.0,,,,
Austria,2005,,,,,,,,,4570885.0,,,,
Austria,2006,,,,,,,,,4628314.0,,,,
Austria,2007,,,,,,,,,4943843.0,,,,
Austria,2008,,,,,,,,,5090385.0,,,,
Austria,2009,,,,,,,,,5251380.0,,,,
Austria,2010,,,,,,,,,5406001.0,,,,
Austria,2011,,,,,,,,,5232243.0,,,,
Austria,2012,,,,,,,,,5199931.0,,,,
Austria,2013,,,,,,,,,5425570.0,,,,
Austria,2014,,,,,,,,,5451573.0,,,,
Austria,2015,,,,,,,,,5512986.0,,,,
Austria,2016,,,,,,,,,5818598.0,,,,
Austria,2017,,,,,,,,,5835627.0,,,,
Austria,2018,,,,,,,,,5797805.0,,,,
Austria,2019,,,,,,,,,6021991.0,,,,
Azerbaijan,1995,6102.0,,,,,,,,,,,,
Azerbaijan,2001,,42774.0,,,,,,,,,,,
Azerbaijan,2002,,35958.0,,,,,,,,,,,
Azerbaijan,2003,,45353.0,,,,,,,,,,,
Azerbaijan,2004,,60474.0,,,,,,,,,,,
Azerbaijan,2005,,68842.0,,,,,,,,,,,
Bangladesh,1983,861.0,,,,,,,,,,,,
Bangladesh,1985,908.0,,,,,,,,,,,,
Bangladesh,1988,982.0,,,,,,,,,,,,
Bangladesh,1991,,4446.0,,,,,,,,,,,
Bangladesh,1995,,7045.0,,,,,,,,,,,
Bangladesh,2000,,,20966.0,,,,,,,,,,
Bangladesh,2005,,,53563.0,,,,,,,,,,
Bangladesh,2010,,,80450.0,,,,,,,,,,
Bangladesh,2016,,,128210.0,,,,,,,,,,
Belarus,1993,,,,,,,102.0,,,,,,
Belarus,1995,,,,,,,41453.0,,,,,,
Belarus,1998,,6490.0,,,,,,,,,,,
Belarus,1999,,0.0,,,,,,,,,,,
Belarus,2000,,0.0,,,,,,,,,,,
Belarus,2001,,18928.0,,,,,,,,,,,
Belarus,2002,,16618.0,,,,,,,,,,,
Belarus,2003,,5938.0,,,,,,,,,,,
Belarus,2004,,6410.0,,,,,,,,,,,
Belarus,2005,,19397.0,,,,,,,,,,,
Belarus,2006,,37822.0,,,,,,,,,,,
Belarus,2007,,116993.0,,,,,,,,,,,
Belarus,2008,,105113.0,,,,,,,,,,,
Belarus,2009,,117655.0,,,,,,,,,,,
Belarus,2010,,218377.0,,,,,,,,,,,
Belarus,2011,,186557.0,,,,,,,,,,,
Belarus,2012,,269027.0,,,,,,,,,,,
Belarus,2013,,411794.0,,,,,,,,,,,
Belarus,2014,,505342.0,,,,,,,,,,,
Belarus,2015,,314402.0,,,,,,,,,,,
Belarus,2016,,268790.0,,,,,,,,,,,
Belarus,2017,,275770.0,,,,,,,,,,,
Belarus,2018,,410909.0,,,,,,,,,,,
Belarus,2019,,484172.0,,,,,,,,,,,
Belarus,2020,,427150.0,,,,,,,,,,,
Belgium,1985,,,,,,,1874365.0,,,,,,
Belgium,1988,,,,,,,2180023.0,,,,,,
Belgium,1992,,,,,,,2819030.0,,,,,,
Belgium,1995,,,,,,,,4109967.0,,,,,
Belgium,1997,,,,,,,4072880.0,,,,,,
Belgium,2000,,,,,,,,4923015.0,,,,,
Belgium,2003,,,,,,,,,4829576.0,,,,
Belgium,2004,,,,,,,,,5158511.0,,,,
Belgium,2005,,,,,,,,,5331709.0,,,,
Belgium,2006,,,,,,,,,5378277.0,,,,
Belgium,2007,,,,,,,,,5522007.0,,,,
Belgium,2008,,,,,,,,,5767146.0,,,,
Belgium,2009,,,,,,,,,6017257.0,,,,
Belgium,2010,,,,,,,,,6096971.0,,,,
