Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,74254339.98958524,,,,,,,,,,,,
Albania,2002,,71203557.30600476,,,,,,,,,,,
Albania,2005,,67709400.28617513,,,,,,,,,,,
Albania,2008,,64406319.75163908,,,,,,,,,,,
Albania,2012,,64276957.71901242,,,,,,,,,,,
Albania,2014,,,62569586.0260081,,,,,,,,,,
Albania,2015,,,57948034.04687607,,,,,,,,,,
Albania,2016,,,56817748.44958233,,,,,,,,,,
Albania,2017,,,56986821.15931305,,,,,,,,,,
Albania,2018,,,,54642138.65332672,,,,,,,,,
Albania,2019,,,,49677121.847858496,,,,,,,,,
Algeria,1988,581963102.5133624,,,,,,,,,,,,
Algeria,1995,,680939588.869785,,,,,,,,,,,
Algeria,2011,,,799740267.2585443,,,,,,,,,,
Angola,2000,427673693.6386591,,,,,,,,,,,,
Angola,2008,,572874542.0823604,,,,,,,,,,,
Angola,2018,,,835974798.3462385,,,,,,,,,,
Argentina - urban,1980,,,,,,,272100765.53796005,,,,,,
Argentina - urban,1986,,,,,,,296629384.9312802,,,,,,
Argentina - urban,1987,,,,,,,342163050.3725798,,,,,,
Argentina - urban,1991,,,,,,,,484904205.32423127,,,,,
Argentina - urban,1992,,,,,,,,480086400.4684591,,,,,
Argentina - urban,1993,,,,,,,,481271987.3849194,,,,,
Argentina - urban,1994,,,,,,,,498478016.6785205,,,,,
Argentina - urban,1995,,,,,,,,533860502.815437,,,,,
Argentina - urban,1996,,,,,,,,546932062.4183528,,,,,
Argentina - urban,1997,,,,,,,,538772322.128041,,,,,
Argentina - urban,1998,,,,,,,,562783611.4075323,,,,,
Argentina - urban,1999,,,,,,,,579427719.4642805,,,,,
Argentina - urban,2000,,,,,,,,596639032.5501949,,,,,
Argentina - urban,2001,,,,,,,,635523071.0625591,,,,,
Argentina - urban,2002,,,,,,,,736163689.3194544,,,,,
Argentina - urban,2003,,,,,,,,,646136832.7752489,,,,
Argentina - urban,2004,,,,,,,,,619917848.9812033,,,,
Argentina - urban,2005,,,,,,,,,594410267.2343575,,,,
Argentina - urban,2006,,,,,,,,,558761890.0824302,,,,
Argentina - urban,2007,,,,,,,,,553708131.9860982,,,,
Argentina - urban,2008,,,,,,,,,543416103.8690507,,,,
