Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,1.3144742733683226,,,,,,,,,,,,
Albania,2002,,1.3417573274904886,,,,,,,,,,,
Albania,2005,,1.209951447360439,,,,,,,,,,,
Albania,2008,,1.115970963383388,,,,,,,,,,,
Albania,2012,,1.155038262796585,,,,,,,,,,,
Albania,2014,,,1.1552648972324102,,,,,,,,,,
Albania,2015,,,0.9659165665082164,,,,,,,,,,
Albania,2016,,,0.9417973570379334,,,,,,,,,,
Albania,2017,,,0.9424803228952812,,,,,,,,,,
Albania,2018,,,,0.8434594531716196,,,,,,,,,
Albania,2019,,,,0.7066467698497423,,,,,,,,,
Algeria,1988,1.4847674577069303,,,,,,,,,,,,
Algeria,1995,,1.45531462822211,,,,,,,,,,,
Algeria,2011,,,1.1101237010633385,,,,,,,,,,
Angola,2000,2.186822280106841,,,,,,,,,,,,
Angola,2008,,2.104023978628482,,,,,,,,,,,
Angola,2018,,,2.4443632785044342,,,,,,,,,,
Argentina - urban,1980,,,,,,,0.4439363346085864,,,,,,
Argentina - urban,1986,,,,,,,0.3845828611400266,,,,,,
Argentina - urban,1987,,,,,,,0.4915973323526708,,,,,,
Argentina - urban,1991,,,,,,,,0.764431696687206,,,,,
Argentina - urban,1992,,,,,,,,0.7371330195850448,,,,,
Argentina - urban,1993,,,,,,,,0.7301152886974283,,,,,
Argentina - urban,1994,,,,,,,,0.7434527562451343,,,,,
Argentina - urban,1995,,,,,,,,0.8415793140844191,,,,,
Argentina - urban,1996,,,,,,,,0.864797039707332,,,,,
Argentina - urban,1997,,,,,,,,0.8329722968805661,,,,,
Argentina - urban,1998,,,,,,,,0.8950027876518263,,,,,
Argentina - urban,1999,,,,,,,,0.909369549856233,,,,,
Argentina - urban,2000,,,,,,,,0.964464613529889,,,,,
Argentina - urban,2001,,,,,,,,1.061175584548807,,,,,
Argentina - urban,2002,,,,,,,,1.4066494849530873,,,,,
Argentina - urban,2003,,,,,,,,,1.060135108908222,,,,
Argentina - urban,2004,,,,,,,,,0.9486425798561244,,,,
Argentina - urban,2005,,,,,,,,,0.8547650310688227,,,,
Argentina - urban,2006,,,,,,,,,0.7537564958543539,,,,
Argentina - urban,2007,,,,,,,,,0.7187212897156098,,,,
Argentina - urban,2008,,,,,,,,,0.6824446984778364,,,,
Argentina - urban,2009,,,,,,,,,0.6377731959934105,,,,
Argentina - urban,2010,,,,,,,,,0.6064023978797531,,,,
Argentina - urban,2011,,,,,,,,,0.5465264979783417,,,,
Argentina - urban,2012,,,,,,,,,0.5344075978190309,,,,
Argentina - urban,2013,,,,,,,,,0.5226393303416372,,,,
Argentina - urban,2014,,,,,,,,,0.576417881577312,,,,
Argentina - urban,2016,,,,,,,,,0.5543622676944658,,,,
Argentina - urban,2017,,,,,,,,,0.5064645383944848,,,,
Argentina - urban,2018,,,,,,,,,0.579457418516152,,,,
Argentina - urban,2019,,,,,,,,,0.6243762370006719,,,,
Argentina - urban,2020,,,,,,,,,0.7106153992298976,,,,
Armenia,1996,,,,,,,1.6566516668660656,,,,,,
Armenia,1999,,1.8028363167057389,,,,,,,,,,,
Armenia,2001,,1.8402103141778745,,,,,,,,,,,
Armenia,2002,,1.787094129446308,,,,,,,,,,,
Armenia,2003,,1.742492100783929,,,,,,,,,,,
Armenia,2004,,1.5878083566785972,,,,,,,,,,,
Armenia,2005,,1.4727003969760688,,,,,,,,,,,
Armenia,2006,,1.4291137738945627,,,,,,,,,,,
Armenia,2007,,1.3364115591895165,,,,,,,,,,,
Armenia,2008,,1.2933234496151853,,,,,,,,,,,
Armenia,2009,,1.3978817278404647,,,,,,,,,,,
Armenia,2010,,1.400250347314511,,,,,,,,,,,
Armenia,2011,,1.372271038433208,,,,,,,,,,,
Armenia,2012,,1.3419416279727945,,,,,,,,,,,
Armenia,2013,,1.315561927363366,,,,,,,,,,,
Armenia,2014,,1.3021725487348332,,,,,,,,,,,
Armenia,2015,,1.2475070591610111,,,,,,,,,,,
Armenia,2016,,1.1959967949163095,,,,,,,,,,,
Armenia,2017,,1.2382837803583686,,,,,,,,,,,
Armenia,2018,,1.2510658231719034,,,,,,,,,,,
Armenia,2019,,,1.3014040308552703,,,,,,,,,,
Armenia,2020,,,1.305714652620208,,,,,,,,,,
Australia,1981,,,,,,,0.1366117951436121,,,,,,
Australia,1985,,,,,,,,0.1365581810205378,,,,,
Australia,1989,,,,,,,,,0.1381926911135347,,,,
Australia,1995,,,,,,,,,0.1401361849461302,,,,
Australia,2001,,,,,,,,,0.106955541009358,,,,
Australia,2003,,,,,,,,,0.1129670013265969,,,,
Australia,2004,,,,,,,,,,0.0864851644761702,,,
Australia,2008,,,,,,,,,0.0519536410760041,,,,
Australia,2010,,,,,,,,,,0.054380741212456,,,
