Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6
Albania,1996,5.808690384232671,,,,,
Albania,2002,,5.463489421491322,,,,
Albania,2005,,6.343937667660316,,,,
Albania,2008,,7.0102393940972005,,,,
Albania,2012,,6.691303820468102,,,,
Albania,2014,,,6.400787639608976,,,
Albania,2015,,,7.931789750314538,,,
Albania,2016,,,8.0561053182304,,,
Albania,2017,,,8.077373901279735,,,
Albania,2018,,,,9.41911368033801,,
Albania,2019,,,,10.6534093201058,,
Algeria,1988,4.379785462841755,,,,,
Algeria,1995,,4.500805502407251,,,,
Algeria,2011,,,6.740572468879322,,,
Angola,2000,3.3150038909427946,,,,,
Angola,2008,,3.455265494034632,,,,
Angola,2018,,,2.380859391230695,,,
Armenia,1999,,3.1582522348940847,,,,
Armenia,2001,,3.099617523977201,,,,
Armenia,2002,,3.269219869224545,,,,
Armenia,2003,,3.456177972871016,,,,
Armenia,2004,,3.981683494342627,,,,
Armenia,2005,,4.48352316937331,,,,
Armenia,2006,,4.8290379426384185,,,,
Armenia,2007,,5.302827138754432,,,,
Armenia,2008,,5.484692435939698,,,,
Armenia,2009,,4.999742692377987,,,,
Armenia,2010,,4.964350101828814,,,,
Armenia,2011,,5.133629976042753,,,,
Armenia,2012,,5.319657168722093,,,,
Armenia,2013,,5.392429228285322,,,,
Armenia,2014,,5.455541260441641,,,,
Armenia,2015,,5.835547497819371,,,,
Armenia,2016,,5.964664753417588,,,,
Armenia,2017,,5.798382889684042,,,,
Armenia,2018,,5.747062806601116,,,,
Armenia,2019,,,5.585344082754898,,,
Armenia,2020,,,5.63969755860926,,,
Azerbaijan,1995,3.462471059783924,,,,,
Azerbaijan,2001,,4.012751821957902,,,,
Azerbaijan,2002,,6.121303741090753,,,,
Azerbaijan,2003,,6.244981589847904,,,,
Azerbaijan,2004,,6.435766069758515,,,,
Azerbaijan,2005,,7.084622035400363,,,,
Bangladesh,1983,2.0937783181188485,,,,,
Bangladesh,1988,1.985787262235888,,,,,
Bangladesh,1991,,1.9776810798373368,,,,
Bangladesh,1995,,2.18363788030329,,,,
Bangladesh,2000,,,2.202087223068093,,,
Bangladesh,2005,,,2.470438210692366,,,
Bangladesh,2010,,,2.706825341626252,,,
Bangladesh,2016,,,2.9722249288174627,,,
Belarus,1998,,2.6807194904465264,,,,
Belarus,1999,,2.871471030583846,,,,
Belarus,2000,,3.240142593705122,,,,
Belarus,2001,,4.049140409517795,,,,
Belarus,2002,,4.47777275177154,,,,
Belarus,2003,,4.726771787098813,,,,
Belarus,2004,,5.471595281913307,,,,
Belarus,2005,,6.721998667225266,,,,
Belarus,2006,,7.6092777471099105,,,,
Belarus,2007,,8.493647729885414,,,,
Belarus,2008,,9.0940891081732,,,,
Belarus,2009,,9.29169640061146,,,,
Belarus,2010,,10.26186411962974,,,,
Belarus,2011,,10.775934701270996,,,,
Belarus,2012,,12.181893866722625,,,,
Belarus,2013,,13.62120011691321,,,,
Belarus,2014,,14.181280956160874,,,,
Belarus,2015,,12.851417437994758,,,,
Belarus,2016,,12.468598996464248,,,,
Belarus,2017,,12.717142359929737,,,,
Belarus,2018,,13.845763265138082,,,,
Belarus,2019,,14.505188712913656,,,,
Belarus,2020,,14.787952934985984,,,,
Belize,1995,,4.391896369052105,,,,
Benin,2003,1.6230517482271685,,,,,
Benin,2011,,1.5621898545782744,,,,
Benin,2015,,1.611938315619036,,,,
Benin,2018,,,2.7771690078885944,,,
Bhutan,2003,3.238829255739045,,,,,
Bhutan,2007,,4.2671745619561765,,,,
Bhutan,2012,,5.801173730446456,,,,
Bhutan,2017,,6.33929294092189,,,,
Bosnia and Herzegovina,2001,9.55368744259905,,,,,
Bosnia and Herzegovina,2004,13.345172890025683,,,,,
Bosnia and Herzegovina,2007,,14.755610983373582,,,,
Bosnia and Herzegovina,2011,,14.119734656461036,,,,
Botswana,1985,1.8150636429107103,,,,,
Botswana,1993,2.2049971633495247,,,,,
Botswana,2002,,2.5010406741269358,,,,
Botswana,2009,,3.5146667590254124,,,,
Botswana,2015,,3.44374208690322,,,,
Bulgaria,1989,19.759980564314816,,,,,
Bulgaria,1994,11.357972269989904,,,,,
Bulgaria,1995,,,,9.24677347961633,,
Bulgaria,1997,,,5.596984880675385,,,
Bulgaria,2001,,,,7.454349170558281,,
Bulgaria,2003,,,,,7.35853571810262,
Bulgaria,2007,,,,,9.966235220792363,
