Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6
Albania,1996,98.70209620132306,,,,,
Albania,2002,,96.52886497398232,,,,
Albania,2005,,95.40566654445932,,,,
Albania,2008,,94.58283090767016,,,,
Albania,2012,,95.52015702024312,,,,
Albania,2014,,,91.58505200578446,,,
Albania,2015,,,86.81440229681186,,,
Albania,2016,,,84.98749903455865,,,
Albania,2017,,,85.17759927449046,,,
Albania,2018,,,,83.79992965491935,,
Albania,2019,,,,76.65422497650566,,
Algeria,1988,96.6521559178408,,,,,
Algeria,1995,,96.7699323614659,,,,
Algeria,2011,,,95.80930426912784,,,
Angola,2000,94.38659114929952,,,,,
Angola,2008,,96.57169552987476,,,,
Angola,2018,,,97.57365375887356,,,
Armenia,1999,,98.43313427929655,,,,
Armenia,2001,,98.8132672049916,,,,
Armenia,2002,,98.4815278647464,,,,
Armenia,2003,,98.5128951747088,,,,
Armenia,2004,,97.14115336046022,,,,
Armenia,2005,,96.70620792597768,,,,
Armenia,2006,,98.1163991711782,,,,
Armenia,2007,,97.21939383331292,,,,
Armenia,2008,,97.7200984804774,,,,
Armenia,2009,,98.74977769585078,,,,
Armenia,2010,,98.36148238486076,,,,
Armenia,2011,,98.35336679853572,,,,
Armenia,2012,,97.8621770301494,,,,
Armenia,2013,,97.6872338221886,,,,
Armenia,2014,,97.1677993486649,,,,
Armenia,2015,,96.22570286284927,,,,
Armenia,2016,,96.24418706819242,,,,
Armenia,2017,,95.67569557767878,,,,
Armenia,2018,,95.61018528483336,,,,
Armenia,2019,,,97.25486718440736,,,
Armenia,2020,,,98.79589837679784,,,
Azerbaijan,1995,99.01462096879423,,,,,
Azerbaijan,2001,,97.18995463071236,,,,
Azerbaijan,2002,,97.42325864607125,,,,
Azerbaijan,2003,,97.05117319457516,,,,
Azerbaijan,2004,,96.7821114480442,,,,
Azerbaijan,2005,,95.2093220395992,,,,
Bangladesh,1983,99.999,,,,,
Bangladesh,1988,99.8729597568788,,,,,
Bangladesh,1991,,99.93943528044424,,,,
Bangladesh,1995,,99.54649204876029,,,,
Bangladesh,2000,,,99.64399689764008,,,
Bangladesh,2005,,,99.47812681350555,,,
Bangladesh,2010,,,99.44806465771237,,,
Bangladesh,2016,,,99.32720215272757,,,
Belarus,1998,,99.7411358464396,,,,
Belarus,1999,,99.73927940194925,,,,
Belarus,2000,,99.58385608805452,,,,
Belarus,2001,,99.16438741194668,,,,
Belarus,2002,,98.90882221379088,,,,
Belarus,2003,,99.114559908599,,,,
Belarus,2004,,98.89663951313638,,,,
Belarus,2005,,96.65768193521248,,,,
Belarus,2006,,93.83755673256329,,,,
Belarus,2007,,89.55438742688399,,,,
Belarus,2008,,89.79397683988623,,,,
Belarus,2009,,89.02823159386716,,,,
Belarus,2010,,83.61482548615164,,,,
Belarus,2011,,82.57174552004238,,,,
Belarus,2012,,76.75349448990839,,,,
Belarus,2013,,68.9463226063113,,,,
Belarus,2014,,65.6421640602464,,,,
Belarus,2015,,73.76679113204119,,,,
Belarus,2016,,77.31289906204341,,,,
Belarus,2017,,75.43704775321936,,,,
Belarus,2018,,69.58126377299551,,,,
Belarus,2019,,65.20431082696241,,,,
Belarus,2020,,63.81974415698915,,,,
Belize,1995,,83.48127140805127,,,,
Benin,2003,99.56242016984324,,,,,
Benin,2011,,99.46807552538476,,,,
Benin,2015,,99.14767423211369,,,,
Benin,2018,,,98.77906809896824,,,
Bhutan,2003,97.10048626584988,,,,,
Bhutan,2007,,96.06151899809846,,,,
Bhutan,2012,,92.06328195065676,,,,
Bhutan,2017,,88.88479132387036,,,,
Bosnia and Herzegovina,2001,87.99306878967451,,,,,
Bosnia and Herzegovina,2004,62.464263586012855,,,,,
Bosnia and Herzegovina,2007,,55.65293613954997,,,,
Bosnia and Herzegovina,2011,,58.68493748941059,,,,
Botswana,1985,97.35763172574164,,,,,
Botswana,1993,96.23836369458988,,,,,
Botswana,2002,,88.88147214502892,,,,
Botswana,2009,,88.36971088332619,,,,
Botswana,2015,,90.86387949909388,,,,
Bulgaria,1989,36.379677734375,,,,,
Bulgaria,1994,85.10015744149487,,,,,
Bulgaria,1995,,,,85.95583160800551,,
Bulgaria,1997,,,97.83647343756344,,,
Bulgaria,2001,,,,92.02305939133932,,
Bulgaria,2003,,,,,94.27032321390418,
Bulgaria,2007,,,,,86.55420902642109,
Burkina Faso,1994,99.78372485541108,,,,,
Burkina Faso,1998,,99.50602050151278,,,,
Burkina Faso,2003,,99.59735228922251,,,,
Burkina Faso,2009,,,99.48636911022194,,,
Burkina Faso,2014,,,,99.5010597058351,,
Burkina Faso,2018,,,,,97.001604051028,
Burundi,1992,99.999,,,,,
Burundi,1998,,99.89454167222934,,,,
Burundi,2006,,99.98419820302114,,,,
Burundi,2013,,99.85753035203778,,,,
Cameroon,1996,98.972818053512,,,,,
Cameroon,2001,,98.56925722448705,,,,
Cameroon,2007,,98.61762946527574,,,,
Cameroon,2014,,96.74059404999296,,,,
Cape Verde,2001,93.96860333937416,,,,,
Cape Verde,2007,,93.19812912595988,,,,
Cape Verde,2015,,,90.64758963061306,,,
Central African Republic,1992,99.68804585696836,,,,,
Central African Republic,2008,,98.66448429755133,,,,
Chad,2003,99.82319887445804,,,,,
Chad,2011,99.2949413356049,,,,,
Chad,2018,,99.37718843900004,,,,
China,1990,,99.94787673048712,,,,
China,1993,,99.96233486177589,,,,
China,1996,,99.92678724954452,,,,
China,1999,,99.7491072853384,,,,
China,2002,,99.25642077867724,,,,
China,2005,,98.5453415666322,,,,
China,2008,,96.96717598227292,,,,
China,2010,,95.40281908975732,,,,
China,2011,,94.74487449413556,,,,
China,2012,,93.47246982733212,,,,
China,2013,,,91.61760894444753,,,
China,2014,,,90.06833719468148,,,
China,2015,,,88.61003350607871,,,
China,2016,,,86.80190011243552,,,
China,2017,,,85.1293698201587,,,
China,2018,,,83.10957413405811,,,
China,2019,,,81.43442150208668,,,
China - rural,1990,,99.92949937528036,,,,
China - rural,1993,,99.94728393554688,,,,
China - rural,1996,,99.89293579922528,,,,
China - rural,1999,,99.82178224632769,,,,
China - rural,2002,,99.624987997445,,,,
China - rural,2005,,99.50357872420746,,,,
China - rural,2008,,99.0197911385631,,,,
China - rural,2010,,98.62922910199958,,,,
China - rural,2011,,98.54064035457714,,,,
China - rural,2012,,98.06564928628582,,,,
China - rural,2013,,,97.74098082031269,,,
China - rural,2014,,,97.18865735931064,,,
China - rural,2015,,,96.61431202588628,,,
China - rural,2016,,,96.04583870054798,,,
China - rural,2017,,,95.14366980767062,,,
China - rural,2018,,,94.20040730390949,,,
China - rural,2019,,,93.35419484286317,,,
China - urban,1990,,99.999,,,,
China - urban,1993,,99.999,,,,
China - urban,1996,,99.999,,,,
China - urban,1999,,99.61333549185277,,,,
China - urban,2002,,98.66580200195312,,,,
China - urban,2005,,97.25006958007812,,,,
China - urban,2008,,94.60926414445386,,,,
China - urban,2010,,92.074948815744,,,,
China - urban,2011,,91.0259091878936,,,,
China - urban,2012,,89.19251211700636,,,,
China - urban,2013,,,86.19028216609621,,,
China - urban,2014,,,84.06582028443741,,,
China - urban,2015,,,82.19218856677351,,,
China - urban,2016,,,79.75294072957976,,,
China - urban,2017,,,77.86571951865766,,,
China - urban,2018,,,75.4506893357518,,,
China - urban,2019,,,73.58936540869117,,,
Comoros,2004,93.70540793544563,,,,,
Comoros,2014,,96.13354945756512,,,,
Congo,2005,98.99732839960988,,,,,
Congo,2011,97.72615174273048,,,,,
Cote d'Ivoire,1985,92.42522909697831,,,,,
Cote d'Ivoire,1986,95.81111799504396,,,,,
Cote d'Ivoire,1987,96.2483848899626,,,,,
Cote d'Ivoire,1988,98.53603056259875,,,,,
Cote d'Ivoire,1992,,99.20896324463791,,,,
Cote d'Ivoire,1995,,98.60094624752634,,,,
Cote d'Ivoire,1998,,99.44640624767592,,,,
Cote d'Ivoire,2002,,,98.69569174857683,,,
Cote d'Ivoire,2008,,,98.94475142694554,,,
Cote d'Ivoire,2015,,,99.03826457217336,,,
Cote d'Ivoire,2018,,,,98.25891949118576,,
Croatia,1998,,14.380458960427289,,,,
Croatia,1999,,,62.936865234375006,,,
Croatia,2000,,,55.49206542968751,,,
Croatia,2001,,,59.05580566406251,,,
Croatia,2004,,25.2823129435103,,,,
Croatia,2008,,30.09525982433724,,,,
Croatia,2009,,30.823094847343093,,,,
Croatia,2010,,36.99241328608654,,,,
Democratic Republic of Congo,2004,99.99362531621163,,,,,
Democratic Republic of Congo,2012,99.90318483273457,,,,,
Djibouti,2002,98.69568670338596,,,,,
Djibouti,2012,,97.04808957569898,,,,
Djibouti,2013,,,97.8150825137151,,,
Djibouti,2017,,,,97.94810947427924,,
Egypt,1990,98.58580626227156,,,,,
Egypt,1995,98.84739070642031,,,,,
Egypt,1999,,98.07754555705404,,,,
Egypt,2004,,,98.13447157819456,,,
Egypt,2008,,,98.30240039662614,,,
Egypt,2010,,,,97.95318708968956,,
Egypt,2012,,,,98.06967936811364,,
Egypt,2015,,,,97.3092079303502,,
Egypt,2017,,,,97.98394839826533,,
Estonia,1995,,92.77896236484897,,,,
Estonia,1998,,85.06015606831264,,,,
Estonia,2000,,,87.48964700381082,,,
Estonia,2001,,,88.30313032896984,,,
Estonia,2002,,,87.26562418214621,,,
Estonia,2003,,,87.83555896850072,,,
Estonia,2004,,,82.82340425475667,,,
Eswatini,1994,99.999,,,,,
Eswatini,2000,,98.05352129790988,,,,
Eswatini,2009,,98.31533490190928,,,,
Eswatini,2016,,95.4562490790984,,,,
Ethiopia,1995,,99.25639580293358,,,,
Ethiopia,1999,,99.87059893411204,,,,
Ethiopia,2004,,99.74141961097712,,,,
Ethiopia,2010,,99.6347267118684,,,,
Ethiopia,2015,,99.47173207042415,,,,
Ethiopia - rural,1981,99.88711331162064,,,,,
Fiji,2002,91.54615685451068,,,,,
Fiji,2008,90.28902705105848,,,,,
Fiji,2013,90.99124866989348,,,,,
Fiji,2019,,97.37384833867118,,,,
Gabon,2005,93.18975698613583,,,,,
Gabon,2017,,84.21375170787691,,,,
Gambia,1998,99.751981795029,,,,,
Gambia,2003,,99.16256340079488,,,,
Gambia,2010,,,98.46846383286376,,,
Gambia,2015,,,,98.36477285106668,,
Georgia,1996,95.09480835010793,,,,,
Georgia,1997,,98.04760651518784,,,,
Georgia,1998,,,98.33088119749937,,,
Georgia,1999,,,98.5312640726956,,,
Georgia,2000,,,98.72265816744458,,,
Georgia,2001,,,98.98997547316442,,,
Georgia,2002,,,98.31119125361944,,,
Georgia,2003,,,98.61112142190424,,,
Georgia,2004,,,98.72485623890496,,,
Georgia,2005,,,98.48528731925872,,,
Georgia,2006,,,98.42304484732368,,,
Georgia,2007,,,98.2453009918404,,,
Georgia,2008,,,97.85872359098138,,,
Georgia,2009,,,97.94523091092567,,,
Georgia,2010,,,97.65984454969266,,,
Georgia,2011,,,97.58864315401016,,,
Georgia,2012,,,97.10849349896756,,,
Georgia,2013,,,96.21734460645936,,,
Georgia,2014,,,95.7675231447546,,,
Georgia,2015,,,96.19118986530536,,,
Georgia,2016,,,95.74032735601762,,,
Georgia,2017,,,95.25914537228178,,,
Georgia,2018,,,96.19611378989622,,,
Georgia,2019,,,96.50230521779608,,,
Georgia,2020,,,97.24508730683272,,,
Ghana,1987,99.999,,,,,
Ghana,1988,99.999,,,,,
Ghana,1991,,99.9455978186276,,,,
Ghana,1998,,99.92953777361411,,,,
Ghana,2005,,99.29836584892917,,,,
Ghana,2012,,98.60679163305808,,,,
Ghana,2016,,98.30901693297052,,,,
Guinea,1991,99.999,,,,,
Guinea,1994,,98.72621592578952,,,,
Guinea,2002,,,99.29285265408312,,,
Guinea,2007,,,,99.7435741688706,,
Guinea,2012,,,,99.54937146160847,,
Guinea,2018,,,,,99.876682019669,
Guinea-Bissau,1993,,99.11766848163468,,,,
Guinea-Bissau,2002,,,99.76926900803616,,,
Guinea-Bissau,2010,,,,98.21700796526218,,
Guinea-Bissau,2018,,,,,99.40721810320493,
