Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6
Albania,1996,1718.0,,,,,
Albania,2002,,24832.0,,,,
Albania,2005,,20766.0,,,,
Albania,2008,,24617.0,,,,
Albania,2012,,19402.0,,,,
Albania,2014,,,40635.0,,,
Albania,2015,,,75617.0,,,
Albania,2016,,,80817.0,,,
Albania,2017,,,81470.0,,,
Albania,2018,,,,78092.0,,
Albania,2019,,,,142788.0,,
Algeria,1988,156293.0,,,,,
Algeria,1995,,207792.0,,,,
Algeria,2011,,,310554.0,,,
Angola,2000,135165.0,,,,,
Angola,2008,,158806.0,,,,
Angola,2018,,,177875.0,,,
Armenia,1999,,11339.0,,,,
Armenia,2001,,6656.0,,,,
Armenia,2002,,9974.0,,,,
Armenia,2003,,5335.0,,,,
Armenia,2004,,22946.0,,,,
Armenia,2005,,21993.0,,,,
Armenia,2006,,12102.0,,,,
Armenia,2007,,13824.0,,,,
Armenia,2008,,7884.0,,,,
Armenia,2009,,7185.0,,,,
Armenia,2010,,7152.0,,,,
Armenia,2011,,9968.0,,,,
Armenia,2012,,13137.0,,,,
Armenia,2013,,10759.0,,,,
Armenia,2014,,19882.0,,,,
Armenia,2015,,25761.0,,,,
Armenia,2016,,14021.0,,,,
Armenia,2017,,17443.0,,,,
Armenia,2018,,26388.0,,,,
Armenia,2019,,,12960.0,,,
Armenia,2020,,,7328.0,,,
Azerbaijan,1995,14805.0,,,,,
Azerbaijan,2001,,48245.0,,,,
Azerbaijan,2002,,34186.0,,,,
Azerbaijan,2003,,32873.0,,,,
Azerbaijan,2004,,52268.0,,,,
Azerbaijan,2005,,63122.0,,,,
Bangladesh,1983,0.0,,,,,
Bangladesh,1988,0.0,,,,,
Bangladesh,1991,,12456.0,,,,
Bangladesh,1995,,104280.0,,,,
Bangladesh,2000,,,47494.0,,,
Bangladesh,2005,,,49221.0,,,
Bangladesh,2010,,,112537.0,,,
Bangladesh,2016,,,207140.0,,,
Belarus,1998,,1810.0,,,,
Belarus,1999,,0.0,,,,
Belarus,2000,,7358.0,,,,
Belarus,2001,,11658.0,,,,
Belarus,2002,,12029.0,,,,
Belarus,2003,,8857.0,,,,
Belarus,2004,,14055.0,,,,
Belarus,2005,,45201.0,,,,
Belarus,2006,,72049.0,,,,
Belarus,2007,,165366.0,,,,
Belarus,2008,,160070.0,,,,
Belarus,2009,,141353.0,,,,
Belarus,2010,,314973.0,,,,
Belarus,2011,,273596.0,,,,
Belarus,2012,,379329.0,,,,
Belarus,2013,,521619.0,,,,
Belarus,2014,,591939.0,,,,
Belarus,2015,,395722.0,,,,
Belarus,2016,,376666.0,,,,
Belarus,2017,,400975.0,,,,
Belarus,2018,,517730.0,,,,
Belarus,2019,,616668.0,,,,
Belarus,2020,,603931.0,,,,
Belize,1995,,6319.0,,,,
Benin,2003,8415.0,,,,,
Benin,2011,,11262.0,,,,
Benin,2015,,8925.0,,,,
Benin,2018,,,22248.0,,,
Bhutan,2003,3492.0,,,,,
Bhutan,2007,,5593.0,,,,
Bhutan,2012,,11197.0,,,,
Bhutan,2017,,16617.0,,,,
Bosnia and Herzegovina,2001,78964.0,,,,,
Bosnia and Herzegovina,2004,311275.0,,,,,
Bosnia and Herzegovina,2007,,430129.0,,,,
Bosnia and Herzegovina,2011,,361405.0,,,,
Botswana,1985,5612.0,,,,,
Botswana,1993,11848.0,,,,,
Botswana,2002,,40747.0,,,,
Botswana,2009,,47215.0,,,,
Botswana,2015,,38128.0,,,,
Bulgaria,1989,1389808.0,,,,,
Bulgaria,1994,200838.0,,,,,
Bulgaria,1995,,,,200144.0,,
Bulgaria,1997,,,38175.0,,,
Bulgaria,2001,,,,98786.0,,
Bulgaria,2003,,,,,59971.0,
Bulgaria,2007,,,,,181034.0,
Burkina Faso,1994,5901.0,,,,,
Burkina Faso,1998,,8616.0,,,,
Burkina Faso,2003,,3304.0,,,,
Burkina Faso,2009,,,7934.0,,,
Burkina Faso,2014,,,,12339.0,,
Burkina Faso,2018,,,,,121179.0,
Burundi,1992,0.0,,,,,
Burundi,1998,,1231.0,,,,
Burundi,2006,,269.0,,,,
Burundi,2013,,3448.0,,,,
Cameroon,1996,22049.0,,,,,
Cameroon,2001,,31462.0,,,,
Cameroon,2007,,45864.0,,,,
Cameroon,2014,,129407.0,,,,
Cape Verde,2001,4473.0,,,,,
Cape Verde,2007,,7575.0,,,,
Cape Verde,2015,,,9576.0,,,
Central African Republic,1992,886.0,,,,,
Central African Republic,2008,,9060.0,,,,
Chad,2003,2649.0,,,,,
Chad,2011,7674.0,,,,,
Chad,2018,,17277.0,,,,
China,1990,,112918.0,,,,
China,1993,,101967.0,,,,
China,1996,,0.0,,,,
China,1999,,198357.0,,,,
China,2002,,1772020.0,,,,
China,2005,,3515410.0,,,,
China,2008,,7680314.0,,,,
China,2010,,11626804.0,,,,
China,2011,,13396507.0,,,,
China,2012,,16870717.0,,,,
China,2013,,,22683695.0,,,
China,2014,,,27185654.0,,,
China,2015,,,31382861.0,,,
China,2016,,,37086388.0,,,
China,2017,,,42297925.0,,,
China,2018,,,49080259.0,,,
China,2019,,,54265690.0,,,
China - rural,1990,,112919.0,,,,
China - rural,1993,,101967.0,,,,
China - rural,1996,,0.0,,,,
China - rural,1999,,198356.0,,,,
China - rural,2002,,631150.0,,,,
China - rural,2005,,876735.0,,,,
China - rural,2008,,1408032.0,,,,
China - rural,2010,,1793854.0,,,,
China - rural,2011,,1909644.0,,,,
China - rural,2012,,2466930.0,,,,
China - rural,2013,,,3093111.0,,,
China - rural,2014,,,3686347.0,,,
China - rural,2015,,,4300171.0,,,
China - rural,2016,,,4806825.0,,,
China - rural,2017,,,5523934.0,,,
China - rural,2018,,,6387461.0,,,
China - rural,2019,,,7091175.0,,,
China - urban,1990,,0.0,,,,
China - urban,1993,,0.0,,,,
China - urban,1996,,0.0,,,,
China - urban,1999,,0.0,,,,
China - urban,2002,,1140871.0,,,,
China - urban,2005,,2638674.0,,,,
China - urban,2008,,6272282.0,,,,
China - urban,2010,,9832949.0,,,,
China - urban,2011,,11486862.0,,,,
China - urban,2012,,14403787.0,,,,
China - urban,2013,,,19590584.0,,,
China - urban,2014,,,23499308.0,,,
China - urban,2015,,,27082690.0,,,
China - urban,2016,,,32279562.0,,,
China - urban,2017,,,36773991.0,,,
China - urban,2018,,,42692799.0,,,
China - urban,2019,,,47174514.0,,,
Comoros,2004,7195.0,,,,,
Comoros,2014,,6574.0,,,,
Congo,2005,7132.0,,,,,
Congo,2011,22767.0,,,,,
Cote d'Ivoire,1985,142622.0,,,,,
Cote d'Ivoire,1986,85257.0,,,,,
Cote d'Ivoire,1987,112855.0,,,,,
Cote d'Ivoire,1988,67088.0,,,,,
Cote d'Ivoire,1992,,11717.0,,,,
Cote d'Ivoire,1995,,50715.0,,,,
Cote d'Ivoire,1998,,25411.0,,,,
Cote d'Ivoire,2002,,,40396.0,,,
Cote d'Ivoire,2008,,,53566.0,,,
Cote d'Ivoire,2015,,,35028.0,,,
Cote d'Ivoire,2018,,,,66392.0,,
Croatia,1998,,978807.0,,,,
Croatia,1999,,,329345.0,,,
Croatia,2000,,,435816.0,,,
Croatia,2001,,,379519.0,,,
Croatia,2004,,836158.0,,,,
Croatia,2008,,807555.0,,,,
Croatia,2009,,743164.0,,,,
Croatia,2010,,705259.0,,,,
Democratic Republic of Congo,2004,1337.0,,,,,
Democratic Republic of Congo,2012,9461.0,,,,,
Djibouti,2002,2206.0,,,,,
Djibouti,2012,,5762.0,,,,
Djibouti,2013,,,5966.0,,,
Djibouti,2017,,,,4636.0,,
Egypt,1990,158453.0,,,,,
Egypt,1995,135663.0,,,,,
Egypt,1999,,243944.0,,,,
Egypt,2004,,,289208.0,,,
Egypt,2008,,,268848.0,,,
Egypt,2010,,,,251924.0,,
Egypt,2012,,,,340751.0,,
Egypt,2015,,,,433807.0,,
Egypt,2017,,,,357891.0,,
Estonia,1995,,13223.0,,,,
Estonia,1998,,41167.0,,,,
Estonia,2000,,,31877.0,,,
Estonia,2001,,,26355.0,,,
Estonia,2002,,,35774.0,,,
Estonia,2003,,,28686.0,,,
Estonia,2004,,,46817.0,,,
Eswatini,1994,0.0,,,,,
Eswatini,2000,,3066.0,,,,
Eswatini,2009,,3815.0,,,,
Eswatini,2016,,11814.0,,,,
Ethiopia,1995,,87109.0,,,,
Ethiopia,1999,,12288.0,,,,
Ethiopia,2004,,35701.0,,,,
Ethiopia,2010,,48443.0,,,,
Ethiopia,2015,,112835.0,,,,
Ethiopia - rural,1981,8548.0,,,,,
Fiji,2002,13084.0,,,,,
Fiji,2008,15459.0,,,,,
Fiji,2013,15115.0,,,,,
Fiji,2019,,4141.0,,,,
Gabon,2005,18234.0,,,,,
Gabon,2017,,64150.0,,,,
Gambia,1998,437.0,,,,,
Gambia,2003,,2398.0,,,,
Gambia,2010,,,5267.0,,,
Gambia,2015,,,,6665.0,,
Georgia,1996,45093.0,,,,,
Georgia,1997,,19353.0,,,,
Georgia,1998,,,12142.0,,,
Georgia,1999,,,10220.0,,,
Georgia,2000,,,8583.0,,,
