Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6
Albania,1996,28.927044680354296,,,,,
Albania,2002,,31.078039931212427,,,,
Albania,2005,,28.44378268167532,,,,
Albania,2008,,24.40486456882576,,,,
Albania,2012,,25.82715688256955,,,,
Albania,2014,,,32.35491517074311,,,
Albania,2015,,,25.9110004285264,,,
Albania,2016,,,27.02971789550866,,,
Albania,2017,,,25.743173011682146,,,
Albania,2018,,,,25.450990824549656,,
Albania,2019,,,,20.957184455410008,,
Algeria,1988,39.28955523286448,,,,,
Algeria,1995,,39.16379706227824,,,,
Algeria,2011,,,24.85003022503358,,,
Angola,2000,52.18995572479596,,,,,
Angola,2008,,47.44748531538246,,,,
Angola,2018,,,57.07093056411572,,,
Armenia,1999,,46.76381041949556,,,,
Armenia,2001,,48.36037772500262,,,,
Armenia,2002,,46.07605594804242,,,,
Armenia,2003,,43.544761258150416,,,,
Armenia,2004,,39.68577784380967,,,,
Armenia,2005,,35.3062296456344,,,,
Armenia,2006,,33.017553906829264,,,,
Armenia,2007,,31.5086834385166,,,,
Armenia,2008,,29.7515708502035,,,,
Armenia,2009,,31.66556217133156,,,,
Armenia,2010,,31.525568896888075,,,,
Armenia,2011,,31.02818840503473,,,,
Armenia,2012,,30.797580832773225,,,,
Armenia,2013,,31.071382856616868,,,,
Armenia,2014,,31.601650605586045,,,,
Armenia,2015,,30.43970239806854,,,,
Armenia,2016,,32.27126360069511,,,,
Armenia,2017,,28.3570663832478,,,,
Armenia,2018,,29.393128686291625,,,,
Armenia,2019,,,29.16278018636724,,,
Armenia,2020,,,26.455501996440344,,,
Azerbaijan,1995,45.33891693791847,,,,,
Azerbaijan,2001,,40.2630681127085,,,,
Azerbaijan,2002,,21.04067117021263,,,,
Azerbaijan,2003,,22.88301049305374,,,,
Azerbaijan,2004,,20.11407112230188,,,,
Azerbaijan,2005,,16.987021947085754,,,,
Bangladesh,1983,61.88535482850096,,,,,
Bangladesh,1985,59.33366551334617,,,,,
Bangladesh,1988,62.74699630858168,,,,,
Bangladesh,1991,,62.900784244109495,,,,
Bangladesh,1995,,59.37296076075713,,,,
Bangladesh,2000,,,58.32447700371516,,,
Bangladesh,2005,,,54.93088177328956,,,
Bangladesh,2010,,,51.98745832515536,,,
Bangladesh,2016,,,48.75146170339208,,,
Belarus,1998,,51.9027715203077,,,,
Belarus,1999,,49.60503442764817,,,,
Belarus,2000,,46.09226922875014,,,,
Belarus,2001,,39.30088254236706,,,,
Belarus,2002,,36.391849654216486,,,,
Belarus,2003,,34.49634850582912,,,,
Belarus,2004,,29.53538569643217,,,,
Belarus,2005,,28.4280025863586,,,,
Belarus,2006,,25.6886427668564,,,,
Belarus,2007,,23.98249538402028,,,,
Belarus,2008,,22.817833839446376,,,,
Belarus,2009,,22.743710340373667,,,,
Belarus,2010,,21.02075491793227,,,,
Belarus,2011,,19.931071895098743,,,,
Belarus,2012,,16.472214749837498,,,,
Belarus,2013,,17.04341373135127,,,,
Belarus,2014,,14.757334833592378,,,,
Belarus,2015,,18.17690502587017,,,,
Belarus,2016,,17.332103361122282,,,,
Belarus,2017,,18.515554940195383,,,,
Belarus,2018,,18.11664278212704,,,,
Belarus,2019,,13.439222291019751,,,,
Belarus,2020,,15.419337038705857,,,,
Belize,1995,,52.26192460893956,,,,
Benin,2003,66.31854318293865,,,,,
Benin,2011,,66.83093531959511,,,,
Benin,2015,,68.39125804297804,,,,
Benin,2018,,,51.67852209990903,,,
Bhutan,2003,47.73661699995735,,,,,
Bhutan,2007,,40.800241145597546,,,,
Bhutan,2012,,33.16637292397965,,,,
Bhutan,2017,,31.773173362323416,,,,
Bosnia and Herzegovina,2001,22.525758864712667,,,,,
Bosnia and Herzegovina,2004,22.385901958647764,,,,,
Bosnia and Herzegovina,2007,,21.266492870669435,,,,
