Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6
Albania,1996,0.1191043265843859,,,,,
Albania,2002,,0.1648115996389385,,,,
Albania,2005,,0.1544127564826952,,,,
Albania,2008,,0.1488933809532339,,,,
Albania,2012,,0.138417068042097,,,,
Albania,2014,,,0.1986615663134147,,,
Albania,2015,,,0.1754954700241345,,,
Albania,2016,,,0.187580582291876,,,
Albania,2017,,,0.1799084650483843,,,
Albania,2018,,,,0.1524044142302725,,
Albania,2019,,,,0.1546262875496765,,
Algeria,1988,0.2817322920908802,,,,,
Algeria,1995,,0.2085175579872219,,,,
Algeria,2011,,,0.1253313306653883,,,
Angola,2000,0.5125764608983157,,,,,
Angola,2008,,0.3116315023215391,,,,
Angola,2018,,,0.477889647575166,,,
Armenia,1999,,0.218430022682792,,,,
Armenia,2001,,0.2063373834688428,,,,
Armenia,2002,,0.2000021505553027,,,,
Armenia,2003,,0.18209466079436,,,,
Armenia,2004,,0.2373834374673204,,,,
Armenia,2005,,0.2177629881714203,,,,
Armenia,2006,,0.1458726641428381,,,,
Armenia,2007,,0.1601372164812154,,,,
Armenia,2008,,0.1397946216754774,,,,
Armenia,2009,,0.1277639796916487,,,,
Armenia,2010,,0.1487552976199838,,,,
Armenia,2011,,0.1415770596623831,,,,
Armenia,2012,,0.1451348548124421,,,,
Armenia,2013,,0.1565596730611602,,,,
Armenia,2014,,0.1651664337631553,,,,
Armenia,2015,,0.1763798462444014,,,,
Armenia,2016,,0.1807564479937513,,,,
Armenia,2017,,0.1908065473648703,,,,
Armenia,2018,,0.2001982748959891,,,,
Armenia,2019,,,0.1498667407700761,,,
Armenia,2020,,,0.1042313755320412,,,
Azerbaijan,1995,0.2078099096833012,,,,,
Azerbaijan,2001,,0.2184436090224799,,,,
Azerbaijan,2002,,0.1062966197554557,,,,
Azerbaijan,2003,,0.1182328663692095,,,,
Azerbaijan,2004,,0.1181590736056346,,,,
Azerbaijan,2005,,0.1164947509681128,,,,
Bangladesh,1983,0.1121437079004385,,,,,
Bangladesh,1985,0.1203136897633021,,,,,
Bangladesh,1988,0.1384404764081743,,,,,
Bangladesh,1991,,0.1244338209459357,,,,
Bangladesh,1995,,0.1777465740463482,,,,
Bangladesh,2000,,,0.1810651765616462,,,
Bangladesh,2005,,,0.178585157383542,,,
Bangladesh,2010,,,0.167585843592425,,,
Bangladesh,2016,,,0.1718392435101097,,,
Belarus,1998,,0.172377341142026,,,,
Belarus,1999,,0.1711599221610357,,,,
Belarus,2000,,0.1652761966157523,,,,
Belarus,2001,,0.1583320621672501,,,,
Belarus,2002,,0.1558543973995411,,,,
Belarus,2003,,0.1397379541425243,,,,
Belarus,2004,,0.1158659410915966,,,,
Belarus,2005,,0.12709279075637,,,,
Belarus,2006,,0.1335913709887178,,,,
Belarus,2007,,0.1467796287211308,,,,
Belarus,2008,,0.1294524208643544,,,,
Belarus,2009,,0.1283676468291929,,,,
Belarus,2010,,0.1340469895937086,,,,
Belarus,2011,,0.1219134862372318,,,,
Belarus,2012,,0.1164401793448485,,,,
Belarus,2013,,0.1184392087148717,,,,
Belarus,2014,,0.1226964445759091,,,,
Belarus,2015,,0.1081434218627225,,,,
Belarus,2016,,0.1053944982285799,,,,
Belarus,2017,,0.1060839261999364,,,,
Belarus,2018,,0.1046176450821566,,,,
Belarus,2019,,0.1048819885542565,,,,
Belarus,2020,,0.0973626587289086,,,,
Belize,1995,,0.6487516437901245,,,,
Benin,2003,0.2463928917422135,,,,,
Benin,2011,,0.3105427048473139,,,,
Benin,2015,,0.4460352576829249,,,,
Benin,2018,,,0.2347439303777349,,,
Bhutan,2003,0.272454962254902,,,,,
Bhutan,2007,,0.2395990476317689,,,,
Bhutan,2012,,0.2494601258581291,,,,
Bhutan,2017,,0.2323089377036195,,,,
Bosnia and Herzegovina,2001,0.1566987435083125,,,,,
Bosnia and Herzegovina,2004,0.1938177390847547,,,,,
Bosnia and Herzegovina,2007,,0.1827973393560782,,,,
Bosnia and Herzegovina,2011,,0.1839835636586729,,,,
Botswana,1985,0.5227732579784907,,,,,
Botswana,1993,0.6729668799481048,,,,,
Botswana,2002,,0.7958856997285153,,,,
Botswana,2009,,0.6686280357357643,,,,
Botswana,2015,,0.4970533142040458,,,,
Bulgaria,1989,0.08979577340222,,,,,
Bulgaria,1994,0.0988883953279049,,,,,
Bulgaria,1995,,,,0.1871834260904622,,
Bulgaria,1997,,,0.1139368425633987,,,
Bulgaria,2001,,,,0.1889924569771137,,
Bulgaria,2003,,,,,0.142875242415151,
Bulgaria,2007,,,,,0.1382251426162661,
Burkina Faso,1994,0.3852555917187711,,,,,
Burkina Faso,1998,,0.4278563791725346,,,,
Burkina Faso,2003,,0.3150192361409266,,,,
Burkina Faso,2009,,,0.2632300186812784,,,
Burkina Faso,2014,,,,0.2015106274396991,,
Burkina Faso,2018,,,,,0.37069920393473,
Burundi,1992,0.182436623186937,,,,,
Burundi,1998,,0.3261394730755892,,,,
Burundi,2006,,0.1774276209767143,,,,
Burundi,2013,,0.2467371383082949,,,,
Cameroon,1996,0.3251440455901691,,,,,
Cameroon,2001,,0.2979018303230832,,,,
Cameroon,2007,,0.3031199355032853,,,,
Cameroon,2014,,0.3788630664058795,,,,
Cape Verde,2001,0.4786266935991942,,,,,
Cape Verde,2007,,0.3790471093136924,,,,
Cape Verde,2015,,,0.3019117805965615,,,
Central African Republic,1992,0.7409221797628464,,,,,
Central African Republic,2008,,0.5706369591146395,,,,
Chad,2003,0.2676823670290656,,,,,
Chad,2011,0.3313019957350902,,,,,
Chad,2018,,0.230722449797543,,,,
China,1990,,0.1694444347851363,,,,
China,1993,,0.1852070683467004,,,,
China,1996,,0.201414360465699,,,,
China,1999,,0.2453549967171281,,,,
China,2002,,0.2944340752208249,,,,
China,2005,,0.2790129495116185,,,,
China,2008,,0.314920713644052,,,,
China,2010,,0.3277808722110978,,,,
China,2011,,0.3063563813691041,,,,
China,2012,,0.3049438364371764,,,,
China,2013,,,0.2616126083814386,,,
China,2014,,,0.2546995363369458,,,
China,2015,,,0.2460119148189071,,,
China,2016,,,0.2441773319819071,,,
China,2017,,,0.2519021335775752,,,
China,2018,,,0.2438245816982852,,,
China,2019,,,0.2378072150067879,,,
China - rural,1990,,0.1609374959568362,,,,
China - rural,1993,,0.1897890792285151,,,,
China - rural,1996,,0.1865810180615373,,,,
China - rural,1999,,0.2072723220315976,,,,
China - rural,2002,,0.2403253341197996,,,,
China - rural,2005,,0.2132842589997381,,,,
China - rural,2008,,0.259305178261407,,,,
China - rural,2010,,0.2765860351482744,,,,
