Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6
Albania,1996,13.85002062837343,,,,,
Albania,2002,,16.18885547432353,,,,
Albania,2005,,11.499375585414,,,,
Albania,2008,,8.15900106469006,,,,
Albania,2012,,9.47023920847335,,,,
Albania,2014,,,12.535527257397492,,,
Albania,2015,,,6.77684344094611,,,
Albania,2016,,,6.869282619842091,,,
Albania,2017,,,6.575066933315391,,,
Albania,2018,,,,4.622140722158711,,
Albania,2019,,,,2.29207353564819,,
Algeria,1988,25.00669776242809,,,,,
Algeria,1995,,23.93041942822504,,,,
Algeria,2011,,,9.08888638886842,,,
Angola,2000,35.07781754203446,,,,,
Angola,2008,,32.76888621583556,,,,
Angola,2018,,,44.500888776784656,,,
Armenia,1999,,38.491180905026425,,,,
Armenia,2001,,40.5256340232454,,,,
Armenia,2002,,38.19475561117356,,,,
Armenia,2003,,35.95748623193189,,,,
Armenia,2004,,29.16434474044811,,,,
Armenia,2005,,23.818964028238028,,,,
Armenia,2006,,20.73704367931638,,,,
Armenia,2007,,17.63640272064554,,,,
Armenia,2008,,15.515360063345602,,,,
Armenia,2009,,19.236049411564853,,,,
Armenia,2010,,19.57963540961436,,,,
Armenia,2011,,18.38554370503493,,,,
Armenia,2012,,17.01504358540704,,,,
Armenia,2013,,16.494680622422838,,,,
Armenia,2014,,16.13304702396847,,,,
Armenia,2015,,14.20847333516256,,,,
Armenia,2016,,13.69014533653656,,,,
Armenia,2017,,13.79664832310067,,,,
Armenia,2018,,14.36124714600086,,,,
Armenia,2019,,,15.238273600245847,,,
Armenia,2020,,,14.14153205123106,,,
Azerbaijan,1995,35.24683161314529,,,,,
Azerbaijan,2001,,28.58543314705103,,,,
Azerbaijan,2002,,10.19493956304408,,,,
Azerbaijan,2003,,10.20097434188006,,,,
Azerbaijan,2004,,8.512752415941879,,,,
Azerbaijan,2005,,5.324820114009761,,,,
Bangladesh,1983,60.50976519848437,,,,,
Bangladesh,1985,57.27404800143461,,,,,
Bangladesh,1988,60.83566542682941,,,,,
Bangladesh,1991,,61.25242396518191,,,,
Bangladesh,1995,,55.661757271099454,,,,
Bangladesh,2000,,,54.218373735831406,,,
Bangladesh,2005,,,49.92003686477404,,,
Bangladesh,2010,,,46.45430643354947,,,
Bangladesh,2016,,,42.36646655234692,,,
Belarus,1998,,46.7592353768093,,,,
Belarus,1999,,43.64488847179255,,,,
Belarus,2000,,38.90068897645317,,,,
Belarus,2001,,28.94931431788587,,,,
Belarus,2002,,24.63200727330247,,,,
Belarus,2003,,22.3545551476744,,,,
Belarus,2004,,16.04019962403731,,,,
Belarus,2005,,10.22422811762139,,,,
Belarus,2006,,7.15808662224421,,,,
Belarus,2007,,4.96349291525237,,,,
Belarus,2008,,3.7510274069031104,,,,
Belarus,2009,,3.5450780383862,,,,
Belarus,2010,,2.49048609250961,,,,
Belarus,2011,,1.98575061492983,,,,
Belarus,2012,,0.96578688416312,,,,
Belarus,2013,,0.58024641628515,,,,
Belarus,2014,,0.47274157213353,,,,
Belarus,2015,,0.74591955008068,,,,
Belarus,2016,,0.795679911116,,,,
Belarus,2017,,0.60547050814062,,,,
Belarus,2018,,0.35210312045566,,,,
Belarus,2019,,0.32803102453331,,,,
Belarus,2020,,0.1982923739514799,,,,
Belize,1995,,25.28881003221297,,,,
Benin,2003,63.06952754495631,,,,,
Benin,2011,,61.46752337392978,,,,
Benin,2015,,62.7991080086326,,,,
Benin,2018,,,43.1071804927214,,,
Bhutan,2003,34.979556586310814,,,,,
Bhutan,2007,,25.41843492799759,,,,
Bhutan,2012,,14.88180620774438,,,,
Bhutan,2017,,12.56253273042308,,,,
Bosnia and Herzegovina,2001,3.11580677304153,,,,,
Bosnia and Herzegovina,2004,1.47245732009281,,,,,
Bosnia and Herzegovina,2007,,1.02071836541965,,,,
Bosnia and Herzegovina,2011,,1.39887111423043,,,,
Botswana,1985,52.373017378784894,,,,,
Botswana,1993,46.2068035427926,,,,,
Botswana,2002,,40.761008943912806,,,,
Botswana,2009,,30.96738108443097,,,,
Botswana,2015,,31.76918691583725,,,,
Bulgaria,1989,0.13813214832059,,,,,
Bulgaria,1994,1.25010568456826,,,,,
Bulgaria,1995,,,,4.7009468199525495,,
Bulgaria,1997,,,14.28501021389562,,,
Bulgaria,2001,,,,9.769763001752969,,
Bulgaria,2003,,,,,7.79957656445933,
Bulgaria,2007,,,,,3.85340521961742,
Burkina Faso,1994,78.580779655069,,,,,
Burkina Faso,1998,,75.96149875067778,,,,
Burkina Faso,2003,,63.31990833099562,,,,
Burkina Faso,2009,,,62.56092216359973,,,
Burkina Faso,2014,,,,56.57062515688192,,
Burkina Faso,2018,,,,,46.80272074299719,
Burundi,1992,74.00337893182568,,,,,
Burundi,1998,,77.152259295884,,,,
Burundi,2006,,71.48423250121076,,,,
Burundi,2013,,68.47335578802834,,,,
Cameroon,1996,59.213622087130446,,,,,
Cameroon,2001,,45.39750735322481,,,,
Cameroon,2007,,47.46186651352143,,,,
Cameroon,2014,,39.86032814662577,,,,
Cape Verde,2001,35.95872769228356,,,,,
Cape Verde,2007,,27.81414371438176,,,,
Cape Verde,2015,,,19.67898701836486,,,
Central African Republic,1992,80.98063294881976,,,,,
Central African Republic,2008,,66.3910699737214,,,,
Chad,2003,65.72737163012849,,,,,
Chad,2011,52.50948173798737,,,,,
Chad,2018,,50.87444513056961,,,,
China,1990,,72.80581683495777,,,,
China,1993,,68.61773950878738,,,,
China,1996,,61.074198268172296,,,,
China,1999,,58.47601501394091,,,,
China,2002,,50.99974123541533,,,,
China,2005,,40.7895003165533,,,,
China,2008,,34.28281778850342,,,,
China,2010,,29.32547619589952,,,,
China,2011,,25.880911585168032,,,,
China,2012,,22.94678599225612,,,,
China,2013,,,17.06612904135485,,,
China,2014,,,14.5321560529768,,,
China,2015,,,12.18780457816867,,,
China,2016,,,10.53958899438536,,,
China,2017,,,9.65470568296821,,,
China,2018,,,7.98189150772323,,,
China,2019,,,6.399189882528971,,,
China - rural,1990,,77.0377741481644,,,,
China - rural,1993,,75.03025392583845,,,,
China - rural,1996,,67.98272802075856,,,,
China - rural,1999,,68.16441989761988,,,,
China - rural,2002,,64.25164206809453,,,,
China - rural,2005,,54.77645209617156,,,,
China - rural,2008,,50.72668067923638,,,,
China - rural,2010,,46.4835567556957,,,,
China - rural,2011,,41.96447045438339,,,,
China - rural,2012,,38.46379713866308,,,,
China - rural,2013,,,26.90891664339515,,,
China - rural,2014,,,23.04525490331235,,,
China - rural,2015,,,19.763662587651808,,,
China - rural,2016,,,17.511352035991752,,,
China - rural,2017,,,15.985517873182587,,,
China - rural,2018,,,12.9602680578507,,,
China - rural,2019,,,10.36040562991424,,,
China - urban,1990,,61.0330948161282,,,,
China - urban,1993,,52.99639342764042,,,,
China - urban,1996,,46.3367518564953,,,,
China - urban,1999,,40.376079504292925,,,,
China - urban,2002,,29.76393658291771,,,,
China - urban,2005,,21.88300449325909,,,,
China - urban,2008,,15.3931692098534,,,,
China - urban,2010,,11.627828954100847,,,,
China - urban,2011,,10.12277485210997,,,,
China - urban,2012,,8.48792321740522,,,,
China - urban,2013,,,8.34217338275301,,,
China - urban,2014,,,7.355509690701941,,,
China - urban,2015,,,6.11346797597048,,,
China - urban,2016,,,5.22327560277799,,,
China - urban,2017,,,5.06279152705702,,,
China - urban,2018,,,4.54402422615029,,,
China - urban,2019,,,3.7920967065227495,,,
Comoros,2004,32.807613472729706,,,,,
Comoros,2014,,35.049723520307616,,,,
Congo,2005,58.751380491458086,,,,,
Congo,2011,49.18446078355979,,,,,
Cote d'Ivoire,1985,23.42114246816141,,,,,
Cote d'Ivoire,1986,24.28781458371182,,,,,
Cote d'Ivoire,1987,29.31035751177683,,,,,
Cote d'Ivoire,1988,36.127951758562986,,,,,
Cote d'Ivoire,1992,,45.99380542973474,,,,
Cote d'Ivoire,1995,,46.10413051172237,,,,
Cote d'Ivoire,1998,,50.22801513928299,,,,
Cote d'Ivoire,2002,,,49.44215354367421,,,
Cote d'Ivoire,2008,,,51.01238022624219,,,
Cote d'Ivoire,2015,,,51.04054943987906,,,
Cote d'Ivoire,2018,,,,34.4367563821172,,
Croatia,1998,,0.0241656858843783,,,,
Croatia,1999,,,0.77280968382755,,,
Croatia,2000,,,0.53809630015361,,,
Croatia,2001,,,0.67431658579475,,,
Croatia,2004,,0.1538913021671,,,,
Croatia,2008,,0.14300791796111,,,,
Croatia,2009,,0.16507504565789,,,,
Croatia,2010,,0.13137784444502,,,,
Democratic Republic of Congo,2004,85.49475304521813,,,,,
Democratic Republic of Congo,2012,71.74035945007088,,,,,
Djibouti,2002,43.17452196967038,,,,,
Djibouti,2012,,38.13247058105888,,,,
Djibouti,2013,,,42.10829775481027,,,
Djibouti,2017,,,,38.37926898942477,,
Egypt,1990,32.3787691002642,,,,,
Egypt,1995,33.03931289202898,,,,,
Egypt,1999,,24.5267672588277,,,,
Egypt,2004,,,29.883467666325643,,,
Egypt,2008,,,29.072862553898588,,,
Egypt,2010,,,,23.54652881115275,,
Egypt,2012,,,,21.14350267221331,,
Egypt,2015,,,,19.96478156696331,,
Egypt,2017,,,,26.21342368581429,,
Estonia,1995,,9.21915084022678,,,,
Estonia,1998,,7.073884960342,,,,
Estonia,2000,,,8.42212684216936,,,
Estonia,2001,,,8.88460251649795,,,
Estonia,2002,,,8.64853689320403,,,
Estonia,2003,,,8.15191899985379,,,
Estonia,2004,,,5.81111537023075,,,
Eswatini,1994,82.54622691620968,,,,,
Eswatini,2000,,61.25142295932737,,,,
