Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6
Albania,1996,71.38431235331035,,,,,
Albania,2002,,620.8060700430372,,,,
Albania,2005,,0.0,,,,
Albania,2008,,0.0,,,,
Albania,2012,,118.01591759848836,,,,
Albania,2014,,,0.0,,,
Albania,2015,,,0.0,,,
Albania,2016,,,0.0,,,
Albania,2017,,,0.0,,,
Albania,2018,,,,0.0,,
Albania,2019,,,,0.0,,
Algeria,1988,0.0,,,,,
Algeria,1995,,19549.14263872808,,,,
Algeria,2011,,,26639.273917253155,,,
Angola,2000,485640.1880043235,,,,,
Angola,2008,,67113.74312994031,,,,
Angola,2018,,,848484.4189581054,,,
Armenia,1999,,2777.381038217484,,,,
Armenia,2001,,5992.823616231484,,,,
Armenia,2002,,2547.013095841728,,,,
Armenia,2003,,684.1134303539478,,,,
Armenia,2004,,2335.5614820366613,,,,
Armenia,2005,,409.3658012534041,,,,
Armenia,2006,,191.57367564766773,,,,
Armenia,2007,,438.5005038910092,,,,
Armenia,2008,,267.6435036721445,,,,
Armenia,2009,,21.81301564171972,,,,
Armenia,2010,,172.34693175079218,,,,
Armenia,2011,,20.898776372815117,,,,
Armenia,2012,,86.85255448130788,,,,
Armenia,2013,,197.1403724259943,,,,
Armenia,2014,,237.098608386874,,,,
Armenia,2015,,295.6170257493338,,,,
Armenia,2016,,302.5123279643552,,,,
Armenia,2017,,23.255246429070333,,,,
Armenia,2018,,34.834458208395084,,,,
Armenia,2019,,,0.0,,,
Armenia,2020,,,0.0,,,
Azerbaijan,1995,44541.79103486319,,,,,
Azerbaijan,2001,,3110.4477013010337,,,,
Azerbaijan,2002,,0.0,,,,
Azerbaijan,2003,,0.0,,,,
Azerbaijan,2004,,0.0,,,,
Azerbaijan,2005,,0.0,,,,
Bangladesh,1983,450639.3358897596,,,,,
Bangladesh,1988,199004.6394587784,,,,,
Bangladesh,1991,,370380.11920622265,,,,
Bangladesh,1995,,196737.7761442988,,,,
Bangladesh,2000,,,174770.52994247747,,,
Bangladesh,2005,,,63970.0581823561,,,
Bangladesh,2010,,,36392.839265954426,,,
Bangladesh,2016,,,40328.61960636886,,,
Belarus,1998,,38915.11932502752,,,,
Belarus,1999,,46017.37961856311,,,,
Belarus,2000,,29963.05887461779,,,,
Belarus,2001,,9284.86117100149,,,,
Belarus,2002,,6395.4630800384775,,,,
Belarus,2003,,5401.51729669067,,,,
Belarus,2004,,514.6260602876262,,,,
Belarus,2005,,0.0,,,,
Belarus,2006,,1357.8085701053285,,,,
Belarus,2007,,0.0,,,,
Belarus,2008,,0.0,,,,
Belarus,2009,,185.48654084961544,,,,
Belarus,2010,,0.0,,,,
Belarus,2011,,0.0,,,,
Belarus,2012,,0.0,,,,
Belarus,2013,,0.0,,,,
Belarus,2014,,0.0,,,,
Belarus,2015,,0.0,,,,
Belarus,2016,,0.0,,,,
Belarus,2017,,0.0,,,,
Belarus,2018,,0.0,,,,
Belarus,2019,,0.0,,,,
Belarus,2020,,0.0,,,,
Belize,1995,,3486.1830588744438,,,,
Benin,2003,159221.45294098472,,,,,
Benin,2011,,253796.5762754653,,,,
Benin,2015,,1087178.2424597254,,,,
Benin,2018,,,16394.78872622606,,,
Bhutan,2003,12.034902232312517,,,,,
Bhutan,2007,,158.763120177663,,,,
Bhutan,2012,,45.96879086269078,,,,
Bhutan,2017,,68.18408178396224,,,,
Bosnia and Herzegovina,2001,555.6222956377505,,,,,
Bosnia and Herzegovina,2004,611.3011162412687,,,,,
Bosnia and Herzegovina,2007,,88.96686477063396,,,,
Bosnia and Herzegovina,2011,,0.0,,,,
Botswana,1985,40279.213580560965,,,,,
Botswana,1993,29831.06885430319,,,,,
Botswana,2002,,39395.888784946415,,,,
Botswana,2009,,16870.482370735786,,,,
Botswana,2015,,7310.406500289091,,,,
Bulgaria,1989,2424.024514716796,,,,,
Bulgaria,1994,11580.232511154363,,,,,
Bulgaria,1995,,,,2931.633330110253,,
Bulgaria,1997,,,4684.441016706965,,,
Bulgaria,2001,,,,781.3121621403535,,
Bulgaria,2003,,,,,0.0,
Bulgaria,2007,,,,,1821.9026708007837,
Burkina Faso,1994,1829952.2121429404,,,,,
Burkina Faso,1998,,1456129.2802717208,,,,
Burkina Faso,2003,,511272.5417520139,,,,
Burkina Faso,2009,,,340835.0987770829,,,
Burkina Faso,2014,,,,26774.990400886814,,
Burkina Faso,2018,,,,,70997.1009635506,
Burundi,1992,337452.5287864125,,,,,
Burundi,1998,,890087.119972855,,,,
Burundi,2006,,166557.54766071547,,,,
Burundi,2013,,415202.66062819737,,,,
Cameroon,1996,252909.2029096679,,,,,
Cameroon,2001,,80757.64017680517,,,,
Cameroon,2007,,37403.85492690279,,,,
Cameroon,2014,,229072.96542343628,,,,
Cape Verde,2001,2952.330993237568,,,,,
Cape Verde,2007,,906.3862756097892,,,,
Cape Verde,2015,,,185.20863394570827,,,
Central African Republic,1992,1061580.1309021004,,,,,
Central African Republic,2008,,460105.6673774613,,,,
Chad,2003,402298.3737803954,,,,,
Chad,2011,400097.30125556776,,,,,
Chad,2018,,83176.40430907765,,,,
China,1990,,49605955.43021507,,,,
China,1993,,40531247.09857758,,,,
China,1996,,19193803.40893185,,,,
China,1999,,24536396.974996828,,,,
China,2002,,17707355.109880045,,,,
China,2005,,4336373.002938895,,,,
China,2008,,3888764.421861017,,,,
China,2010,,1800660.681940241,,,,
China,2011,,1624237.2331941596,,,,
China,2012,,1114671.151839872,,,,
China,2013,,,694926.5585779274,,,
China,2014,,,839901.8938189971,,,
China,2015,,,506285.24852322415,,,
China,2016,,,359426.0794337258,,,
China,2017,,,309769.92046167696,,,
China,2018,,,221186.52119240948,,,
China,2019,,,47035.95168793919,,,
China - rural,1990,,48097458.89092692,,,,
China - rural,1993,,39398650.443759,,,,
China - rural,1996,,18583599.834738404,,,,
China - rural,1999,,23703181.140744936,,,,
China - rural,2002,,16913883.926708788,,,,
China - rural,2005,,3477868.9282020847,,,,
China - rural,2008,,3062655.790166599,,,,
China - rural,2010,,1279582.045721482,,,,
China - rural,2011,,1213635.1382579769,,,,
China - rural,2012,,731677.1032379351,,,,
China - rural,2013,,,313872.1475276098,,,
China - rural,2014,,,382219.6849375124,,,
China - rural,2015,,,182240.6932792873,,,
China - rural,2016,,,217010.7306483309,,,
China - rural,2017,,,209726.9883067539,,,
China - rural,2018,,,221186.5211924095,,,
China - rural,2019,,,47035.95168793919,,,
China - urban,1990,,1508496.5392881285,,,,
China - urban,1993,,1132596.6548185926,,,,
China - urban,1996,,610203.5741934275,,,,
China - urban,1999,,833215.8342519122,,,,
China - urban,2002,,793471.1831713172,,,,
China - urban,2005,,858504.074736814,,,,
China - urban,2008,,826108.6316944759,,,,
China - urban,2010,,521078.6362187895,,,,
China - urban,2011,,410602.0949362276,,,,
China - urban,2012,,382994.04860189406,,,,
China - urban,2013,,,381054.4110503175,,,
China - urban,2014,,,457682.2088814848,,,
China - urban,2015,,,324044.55524393683,,,
China - urban,2016,,,142415.3487853949,,,
China - urban,2017,,,100042.93215492304,,,
China - urban,2018,,,0.0,,,
China - urban,2019,,,0.0,,,
Comoros,2004,2198.36729365144,,,,,
Comoros,2014,,7812.09930510159,,,,
Congo,2005,137271.4388893004,,,,,
Congo,2011,124650.8396212478,,,,,
Cote d'Ivoire,1985,67198.51205012487,,,,,
Cote d'Ivoire,1986,2294.479923874596,,,,,
Cote d'Ivoire,1987,8234.352311862782,,,,,
Cote d'Ivoire,1988,14443.866693440385,,,,,
Cote d'Ivoire,1992,,145906.9390371812,,,,
Cote d'Ivoire,1995,,64494.25282262064,,,,
