Entity,Year,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,2016,,,,,0.8205908025873357,,
Albania,2017,,,,,0.7333577487773024,,
Albania,2018,,,,,0.6252906678737968,,
Argentina - urban,1980,1.2460120568643265,,,,,,
Argentina - urban,1986,2.133687281693218,,,,,,
Argentina - urban,1987,1.61350689736298,,,,,,
Argentina - urban,1991,,1.418061537320786,,,,,
Argentina - urban,1992,,1.4304628429030768,,,,,
Argentina - urban,1993,,1.258152642236813,,,,,
Argentina - urban,1994,,1.5639502242407926,,,,,
Argentina - urban,1995,,1.2266894631626726,,,,,
Argentina - urban,1996,,1.396803143732572,,,,,
Argentina - urban,1997,,1.2559875368978346,,,,,
Argentina - urban,1998,,1.128676987779974,,,,,
Argentina - urban,1999,,1.215328661759392,,,,,
Argentina - urban,2000,,1.1660915427513845,,,,,
Argentina - urban,2001,,1.1832230180039405,,,,,
Argentina - urban,2002,,0.8406868309234776,,,,,
Argentina - urban,2003,,,0.7918874408747253,,,,
Argentina - urban,2004,,,0.7127372023261529,,,,
Argentina - urban,2005,,,0.7321183660573112,,,,
Argentina - urban,2006,,,0.8088899200512989,,,,
Argentina - urban,2007,,,0.8279127368522915,,,,
Argentina - urban,2008,,,0.829045767046118,,,,
Argentina - urban,2009,,,0.7538500127189831,,,,
Argentina - urban,2010,,,0.8661038488345458,,,,
Argentina - urban,2011,,,0.8856222636124137,,,,
Argentina - urban,2012,,,0.9960055526986432,,,,
Argentina - urban,2013,,,0.9788918372124552,,,,
Argentina - urban,2014,,,0.958665438097141,,,,
Argentina - urban,2016,,,0.8721198155364773,,,,
Argentina - urban,2017,,,1.0421479124333866,,,,
Argentina - urban,2018,,,0.8410500504650689,,,,
Argentina - urban,2019,,,0.8881182042038973,,,,
Argentina - urban,2020,,,0.6606241830755865,,,,
Armenia,1996,0.540593946309358,,,,,,
Australia,1981,1.0643975289544094,,,,,,
Australia,1985,,1.2465304570498026,,,,,
Australia,1989,,,1.311842430011844,,,,
Australia,1995,,,1.771869075522465,,,,
Australia,2001,,,1.774501555942611,,,,
Australia,2003,,,1.6335612855274166,,,,
Australia,2004,,,,1.34652806414408,,,
Australia,2008,,,1.839475220106941,,,,
Australia,2010,,,,1.823378758525515,,,
Australia,2014,,,1.6162305092865712,,,,
Australia,2016,,,1.3176300480610228,,,,
Australia,2018,,,1.7451175763944262,,,,
Austria,1987,,,,,,,
Austria,1994,,2.072712286997489,,,,,
Austria,1995,2.0563645517669564,,,,,,
Austria,1997,,1.904491312454203,,,,,
Austria,2000,,0.0168788553145741,,,,,
Austria,2003,,,1.712831546810407,,,,
Austria,2004,,,1.762077978980141,,,,
Austria,2005,,,1.4360039880631548,,,,
Austria,2006,,,1.104586000493725,,,,
Austria,2007,,,1.6042693269371369,,,,
Austria,2008,,,1.075368962505378,,,,
Austria,2009,,,1.5280597934806257,,,,
Austria,2010,,,1.5520882372669884,,,,
Austria,2011,,,1.6113533630618544,,,,
Austria,2012,,,1.5601963753536507,,,,
Austria,2013,,,1.4742484277703434,,,,
Austria,2014,,,1.4156416750767074,,,,
Austria,2015,,,1.8104993247181256,,,,
Austria,2016,,,1.8007813424694523,,,,
Austria,2017,,,1.6108416753282166,,,,
Austria,2018,,,1.794678218609404,,,,
Austria,2019,,,1.5748425553823289,,,,
Belarus,1993,0.3053980657538082,,,,,,
Belarus,1995,0.8284612620492057,,,,,,
Belgium,1985,1.7293713686643435,,,,,,
Belgium,1988,2.0897193851265423,,,,,,
Belgium,1992,1.701373568449524,,,,,,
Belgium,1995,,1.968468723527289,,,,,
Belgium,1997,1.220774327075475,,,,,,
Belgium,2000,,2.121662730706525,,,,,
Belgium,2003,,,1.128922913371354,,,,
Belgium,2004,,,1.0097319662941613,,,,
Belgium,2005,,,1.5368748313941278,,,,
Belgium,2006,,,1.6006184357532545,,,,
Belgium,2007,,,1.2256724505446244,,,,
Belgium,2008,,,1.4063785775173234,,,,
Belgium,2009,,,1.152418211815017,,,,
Belgium,2010,,,1.6226749263339864,,,,
Belgium,2011,,,1.1746425678453063,,,,
Belgium,2012,,,1.8663447714343893,,,,
Belgium,2013,,,1.89580018528425,,,,
Belgium,2014,,,1.5526365462538392,,,,
Belgium,2015,,,1.7022660348801415,,,,
Belgium,2016,,,2.016489031821942,,,,
Belgium,2017,,,1.7055638329629326,,,,
Belgium,2018,,,1.7047057165417363,,,,
Belgium,2019,,,1.73632136321548,,,,
Belize,1993,0.9846175192413824,,,,,,
Belize,1994,0.8430892803249156,,,,,,
Belize,1996,,,0.8612848917220792,,,,
Belize,1997,0.9589826470134494,,,,,,
Belize,1998,0.8400303841554706,,,,,,
Belize,1999,0.9235829116850524,,,,,,
Bolivia,1997,,1.113307848123872,,,,,
Bolivia,1999,,,1.2863686468120568,,,,
Bolivia,2000,,,1.339726037086964,,,,
Bolivia,2001,,,,1.1263237701423048,,,
Bolivia,2002,,,,,1.2022929971298255,,
Bolivia,2004,,,,,0.9225721539567828,,
Bolivia,2005,,,,,1.089817916931975,,
Bolivia,2006,,,,,1.0770250933021548,,
Bolivia,2007,,,,,1.0425111755968417,,
Bolivia,2008,,,,,0.9777007888818317,,
Bolivia,2009,,,,,0.9225672080960772,,
Bolivia,2011,,,,,0.8913584155269849,,
Bolivia,2012,,,,,1.0069339346273214,,
Bolivia,2013,,,,,0.9456219671252238,,
Bolivia,2014,,,,,0.9385714537418182,,
Bolivia,2015,,,,,0.964137074937234,,
Bolivia,2016,,,,,0.9852686263927826,,
Bolivia,2017,,,,,0.900788811152897,,
