Entity,Year,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,2016,,,,,19.57238352960146,,
Albania,2017,,,,,18.91858559378516,,
Albania,2018,,,,,17.6749242038351,,
Argentina - urban,1980,19.31766113281249,,,,,,
Argentina - urban,1986,17.85650705063703,,,,,,
Argentina - urban,1987,18.72449386082168,,,,,,
Argentina - urban,1991,,17.21424057398389,,,,,
Argentina - urban,1992,,19.55883620332938,,,,,
Argentina - urban,1993,,20.09194929613933,,,,,
Argentina - urban,1994,,20.7224954433599,,,,,
Argentina - urban,1995,,21.19430084422136,,,,,
Argentina - urban,1996,,22.554066267795992,,,,,
Argentina - urban,1997,,22.22956284061027,,,,,
Argentina - urban,1998,,23.020370813119868,,,,,
Argentina - urban,1999,,22.4734556445175,,,,,
Argentina - urban,2000,,24.47724366539762,,,,,
Argentina - urban,2001,,25.0666809139068,,,,,
Argentina - urban,2002,,25.93698632826069,,,,,
Argentina - urban,2003,,,24.48366124129906,,,,
Argentina - urban,2004,,,24.08317660042518,,,,
Argentina - urban,2005,,,23.620168823728648,,,,
Argentina - urban,2006,,,22.97757229862514,,,,
Argentina - urban,2007,,,23.21731266972603,,,,
Argentina - urban,2008,,,21.88611218676291,,,,
Argentina - urban,2009,,,22.14033503983347,,,,
Argentina - urban,2010,,,21.585410475262982,,,,
Argentina - urban,2011,,,20.67056278925361,,,,
Argentina - urban,2012,,,20.21813792024069,,,,
Argentina - urban,2013,,,20.17892109669326,,,,
Argentina - urban,2014,,,20.21038870924439,,,,
Argentina - urban,2016,,,20.713871916208408,,,,
Argentina - urban,2017,,,19.68046008513552,,,,
Argentina - urban,2018,,,20.23538502732417,,,,
Argentina - urban,2019,,,21.19709992980835,,,,
Argentina - urban,2020,,,21.2034271148775,,,,
Armenia,1996,16.7302880859375,,,,,,
Australia,1981,10.4789949969375,,,,,,
Australia,1985,,10.68977575972543,,,,,
Australia,1989,,,11.24973336504533,,,,
Australia,1995,,,10.23130178007954,,,,
Australia,2001,,,10.23891372789121,,,,
Australia,2003,,,10.48542274581782,,,,
Australia,2004,,,,9.74283704004498,,,
Australia,2008,,,10.33726820025498,,,,
Australia,2010,,,,10.34047083774343,,,
Australia,2014,,,9.98967477110614,,,,
Australia,2016,,,10.7351735295801,,,,
Australia,2018,,,11.742361671440053,,,,
Austria,1987,4.98850729057793,,,,,,
Austria,1994,,9.46720807058292,,,,,
Austria,1995,13.4973835073386,,,,,,
Austria,1997,,9.49896030045708,,,,,
Austria,2000,,8.96672199010532,,,,,
Austria,2003,,,8.78667487770817,,,,
Austria,2004,,,8.485132084041789,,,,
Austria,2005,,,7.94600371765442,,,,
Austria,2006,,,8.106210236992089,,,,
Austria,2007,,,10.02735437240246,,,,
Austria,2008,,,10.37750994170583,,,,
Austria,2009,,,11.25670915387778,,,,
Austria,2010,,,10.37170661916822,,,,
Austria,2011,,,10.1172433899258,,,,
Austria,2012,,,10.66854933844402,,,,
Austria,2013,,,9.57348414543928,,,,
Austria,2014,,,10.48704837651198,,,,
Austria,2015,,,11.33570412354268,,,,
Austria,2016,,,10.658500451146187,,,,
Austria,2017,,,10.73653365991959,,,,
Austria,2018,,,10.24160915917387,,,,
Austria,2019,,,10.54046936175136,,,,
Belarus,1993,3.35405761718749,,,,,,
Belarus,1995,9.57839843749999,,,,,,
Belgium,1985,5.97740051220571,,,,,,
Belgium,1988,6.74143422683606,,,,,,
Belgium,1992,6.986158696110841,,,,,,
Belgium,1995,,8.37078594930281,,,,,
Belgium,1997,7.956521932836271,,,,,,
Belgium,2000,,6.95501015507142,,,,,
Belgium,2003,,,9.31242085622381,,,,
Belgium,2004,,,9.06676947965437,,,,
Belgium,2005,,,8.53757944695333,,,,
Belgium,2006,,,9.10282198146084,,,,
Belgium,2007,,,9.06818378083625,,,,
Belgium,2008,,,8.82817467322373,,,,
Belgium,2009,,,9.439793509606249,,,,
Belgium,2010,,,9.63671837621427,,,,
Belgium,2011,,,10.153286506861493,,,,
Belgium,2012,,,9.14050564652198,,,,
Belgium,2013,,,10.05615399977067,,,,
Belgium,2014,,,9.733760787057449,,,,
Belgium,2015,,,10.51198013979734,,,,
Belgium,2016,,,10.23493830105565,,,,
Belgium,2017,,,9.93751987607654,,,,
Belgium,2018,,,9.63824196270136,,,,
Belgium,2019,,,8.55103216830503,,,,
Belize,1993,19.94609369068407,,,,,,
Belize,1994,18.13292354975028,,,,,,
Belize,1996,,,18.2710606561593,,,,
Belize,1997,20.73187190313687,,,,,,
Belize,1998,20.73299045204127,,,,,,
Belize,1999,20.52520807423706,,,,,,
Bolivia,1997,,26.40278836531691,,,,,
Bolivia,1999,,,30.29931116131795,,,,
Bolivia,2000,,,29.6454984343138,,,,
Bolivia,2001,,,,27.018280452724618,,,
Bolivia,2002,,,,,27.95072670476998,,
Bolivia,2004,,,,,21.91881699910345,,
Bolivia,2005,,,,,26.178382697480068,,
Bolivia,2006,,,,,25.492718258051266,,
Bolivia,2007,,,,,24.26019114613756,,
Bolivia,2008,,,,,22.92955257490753,,
Bolivia,2009,,,,,23.17943956280824,,
Bolivia,2011,,,,,21.84257460229024,,
Bolivia,2012,,,,,22.96479733752487,,
Bolivia,2013,,,,,22.73660674216676,,
Bolivia,2014,,,,,21.60529720007284,,
Bolivia,2015,,,,,21.31221014594056,,
Bolivia,2016,,,,,22.20537346891107,,
Bolivia,2017,,,,,21.738098323964262,,
Bolivia,2018,,,,,20.0530301258594,,
Bolivia,2019,,,,,17.8618594638664,,
Bolivia,2020,,,,,17.77257899237101,,
Bolivia - urban,1990,18.60979492187499,,,,,,
Bolivia - urban,1992,16.806687909521482,,,,,,
Brazil,1981,24.57489388369933,,,,,,
Brazil,1982,24.9989102977258,,,,,,
Brazil,1983,25.06402270687364,,,,,,
Brazil,1984,24.035694222932666,,,,,,
Brazil,1985,24.53455727384955,,,,,,
Brazil,1986,24.48988374592318,,,,,,
Brazil,1987,25.72040291541724,,,,,,
Brazil,1988,26.459245237484343,,,,,,
Brazil,1989,26.47968236423398,,,,,,
Brazil,1990,25.893448701234377,,,,,,
Brazil,1992,25.33592581187452,,,,,,
Brazil,1993,25.13319931587201,,,,,,
Brazil,1995,25.64189187291259,,,,,,
Brazil,1996,26.25924622617553,,,,,,
