Entity,Year,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,2016,,,,,9.213793256912744,,
Albania,2017,,,,,9.737260728105554,,
Albania,2018,,,,,10.689735052205291,,
Argentina - urban,1980,61.24896086503774,,,,,,
Argentina - urban,1986,63.59558045086813,,,,,,
Argentina - urban,1987,56.465781340155786,,,,,,
Argentina - urban,1991,,36.11344403345547,,,,,
Argentina - urban,1992,,38.77841406091128,,,,,
Argentina - urban,1993,,39.60433681338247,,,,,
Argentina - urban,1994,,38.78656290485829,,,,,
Argentina - urban,1995,,34.04328795900046,,,,,
Argentina - urban,1996,,33.94053319462234,,,,,
Argentina - urban,1997,,36.35925321915349,,,,,
Argentina - urban,1998,,34.15663846404877,,,,,
Argentina - urban,1999,,32.44188355007287,,,,,
Argentina - urban,2000,,31.508230124319365,,,,,
Argentina - urban,2001,,28.504481956251976,,,,,
Argentina - urban,2002,,17.55031763831925,,,,,
Argentina - urban,2003,,,28.95328863866913,,,,
Argentina - urban,2004,,,32.68545177693504,,,,
Argentina - urban,2005,,,37.01522586104834,,,,
Argentina - urban,2006,,,42.83977682734967,,,,
Argentina - urban,2007,,,44.19601598020497,,,,
Argentina - urban,2008,,,46.07997537685994,,,,
Argentina - urban,2009,,,49.23594911108477,,,,
Argentina - urban,2010,,,50.46528350598509,,,,
Argentina - urban,2011,,,53.62990936193776,,,,
Argentina - urban,2012,,,54.31425725839225,,,,
Argentina - urban,2013,,,55.27041251572719,,,,
Argentina - urban,2014,,,50.82594152275901,,,,
Argentina - urban,2016,,,52.96202510601633,,,,
Argentina - urban,2017,,,56.21992347863339,,,,
Argentina - urban,2018,,,51.251692298418725,,,,
Argentina - urban,2019,,,48.630678823444974,,,,
Argentina - urban,2020,,,42.72772752296278,,,,
Armenia,1996,3.9127735414254032,,,,,,
Australia,1981,82.75230119916928,,,,,,
Australia,1985,,82.99239116639168,,,,,
Australia,1989,,,82.75557260443429,,,,
Australia,1995,,,80.02845838866756,,,,
Australia,2001,,,85.51084324936899,,,,
Australia,2003,,,86.75379233390633,,,,
Australia,2004,,,,90.25716187883184,,,
Australia,2008,,,93.9737401878659,,,,
Australia,2010,,,,93.65085388133036,,,
Australia,2014,,,95.25325479306548,,,,
Australia,2016,,,94.75325584113072,,,,
Australia,2018,,,94.5137088531066,,,,
Austria,1987,97.00519605956022,,,,,,
Austria,1994,,93.26601494584632,,,,,
Austria,1995,86.75139445298717,,,,,,
Austria,1997,,92.79937189078218,,,,,
Austria,2000,,95.02097342766696,,,,,
Austria,2003,,,94.83118906625108,,,,
Austria,2004,,,96.27918177828934,,,,
Austria,2005,,,95.8871896827219,,,,
Austria,2006,,,95.68316002593411,,,,
Austria,2007,,,94.91795960864022,,,,
Austria,2008,,,95.13214931545964,,,,
Austria,2009,,,94.99825189555769,,,,
Austria,2010,,,95.95516371085266,,,,
Austria,2011,,,95.31710297971446,,,,
Austria,2012,,,94.68274639913614,,,,
Austria,2013,,,95.90460791457558,,,,
Austria,2014,,,95.71329581870916,,,,
Austria,2015,,,95.83532875551954,,,,
Austria,2016,,,95.32486526900186,,,,
Austria,2017,,,95.61325257463258,,,,
Austria,2018,,,95.25323224728496,,,,
Austria,2019,,,95.53036513842468,,,,
Belarus,1993,0.1638726249017243,,,,,,
Belarus,1995,3.421186794248404,,,,,,
Belgium,1985,83.51438198116756,,,,,,
Belgium,1988,86.2794374763676,,,,,,
Belgium,1992,90.01473147560247,,,,,,
Belgium,1995,,92.02867647428762,,,,,
Belgium,1997,92.51054266938866,,,,,,
Belgium,2000,,95.02483111815631,,,,,
Belgium,2003,,,92.59347388858644,,,,
Belgium,2004,,,93.5859014232324,,,,
Belgium,2005,,,94.25020496502545,,,,
Belgium,2006,,,94.16535409033672,,,,
Belgium,2007,,,94.40117827531364,,,,
Belgium,2008,,,94.7249260105511,,,,
Belgium,2009,,,93.88539408120766,,,,
Belgium,2010,,,94.0551247082993,,,,
Belgium,2011,,,93.81368302117072,,,,
Belgium,2012,,,94.53630399465848,,,,
Belgium,2013,,,94.44480338426584,,,,
Belgium,2014,,,94.7694083454121,,,,
Belgium,2015,,,95.03601853294018,,,,
Belgium,2016,,,95.02903519081718,,,,
Belgium,2017,,,94.62424170284052,,,,
Belgium,2018,,,95.80299524269334,,,,
Belgium,2019,,,96.68476226784276,,,,
Belize,1993,8.547501581277672,,,,,,
Belize,1994,7.957199311777627,,,,,,
Belize,1996,,,6.313769540391276,,,,
Belize,1997,6.413178382037684,,,,,,
Belize,1998,7.154893853583961,,,,,,
Belize,1999,7.489360989877772,,,,,,
Bolivia,1997,,16.775167046658417,,,,,
Bolivia,1999,,,16.04693483133113,,,,
Bolivia,2000,,,12.40315409223035,,,,
Bolivia,2001,,,,13.203260886287149,,,
Bolivia,2002,,,,,12.28413434472302,,
Bolivia,2004,,,,,15.035818549342135,,
Bolivia,2005,,,,,18.3311505983178,,
Bolivia,2006,,,,,20.14538102436616,,
Bolivia,2007,,,,,19.972028902630328,,
Bolivia,2008,,,,,22.3000317750724,,
Bolivia,2009,,,,,23.62867597591856,,
Bolivia,2011,,,,,29.73379584411988,,
Bolivia,2012,,,,,31.290249253277008,,
Bolivia,2013,,,,,33.8546674729366,,
Bolivia,2014,,,,,33.089603276210184,,
