Entity,Year,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,2016,,,,,56.393880369323526,,
Albania,2017,,,,,53.75163051183583,,
Albania,2018,,,,,51.74946961466584,,
Argentina - urban,1980,12.66226196289063,,,,,,
Argentina - urban,1986,9.13157401071232,,,,,,
Argentina - urban,1987,14.40492488170254,,,,,,
Argentina - urban,1991,,27.00976442844589,,,,,
Argentina - urban,1992,,25.652462511978538,,,,,
Argentina - urban,1993,,25.312588767929697,,,,,
Argentina - urban,1994,,26.83766300389348,,,,,
Argentina - urban,1995,,30.031225143759293,,,,,
Argentina - urban,1996,,31.622593429342302,,,,,
Argentina - urban,1997,,29.85750226281689,,,,,
Argentina - urban,1998,,32.470789054594086,,,,,
Argentina - urban,1999,,34.072575344913,,,,,
Argentina - urban,2000,,35.054692412219566,,,,,
Argentina - urban,2001,,37.35861016103924,,,,,
Argentina - urban,2002,,47.06313280076181,,,,,
Argentina - urban,2003,,,38.76100365404278,,,,
Argentina - urban,2004,,,34.356637310850154,,,,
Argentina - urban,2005,,,30.78723478262667,,,,
Argentina - urban,2006,,,26.12840457695029,,,,
Argentina - urban,2007,,,26.09039566570383,,,,
Argentina - urban,2008,,,23.16329511045982,,,,
Argentina - urban,2009,,,21.03547937123779,,,,
Argentina - urban,2010,,,20.20155218956754,,,,
Argentina - urban,2011,,,17.46211780329496,,,,
Argentina - urban,2012,,,16.426015686309903,,,,
Argentina - urban,2013,,,16.086012663983347,,,,
Argentina - urban,2014,,,19.15457475558057,,,,
Argentina - urban,2016,,,17.79829383929523,,,,
Argentina - urban,2017,,,15.52744804613937,,,,
Argentina - urban,2018,,,18.46771506666163,,,,
Argentina - urban,2019,,,21.283291721827823,,,,
Argentina - urban,2020,,,25.95292729876288,,,,
Armenia,1996,70.34730178484806,,,,,,
Australia,1981,2.2552081180600103,,,,,,
Australia,1985,,2.33484881919341,,,,,
Australia,1989,,,2.97881471263322,,,,
Australia,1995,,,2.4884697154239896,,,,
Australia,2001,,,1.7378544118827302,,,,
Australia,2003,,,1.4845203045592998,,,,
Australia,2004,,,,1.02915073223094,,,
Australia,2008,,,0.6453056022916199,,,,
Australia,2010,,,,0.99745990136329,,,
Australia,2014,,,0.7497343779211101,,,,
Australia,2016,,,0.75068060707649,,,,
Australia,2018,,,0.99535539848109,,,,
Austria,1987,0.2396975460027,,,,,,
Austria,1994,,1.48443337393408,,,,,
Austria,1995,3.253903721348569,,,,,,
Austria,1997,,1.41058238458523,,,,,
Austria,2000,,1.00365727202225,,,,,
Austria,2003,,,0.6429037581599999,,,,
Austria,2004,,,0.7211145512469084,,,,
Austria,2005,,,0.7761821702633299,,,,
Austria,2006,,,0.6563979125898957,,,,
Austria,2007,,,0.80345901299224,,,,
Austria,2008,,,0.94392712382861,,,,
Austria,2009,,,0.8595120646519999,,,,
Austria,2010,,,0.65756889971449,,,,
Austria,2011,,,1.16751652949683,,,,
Austria,2012,,,1.13712883707284,,,,
Austria,2013,,,0.7539894200567601,,,,
Austria,2014,,,0.8771135262663698,,,,
Austria,2015,,,1.13625315728766,,,,
Austria,2016,,,1.1052319818624698,,,,
Austria,2017,,,0.75818790861784,,,,
Austria,2018,,,0.76865962981392,,,,
Austria,2019,,,0.5567729523410199,,,,
Belarus,1993,92.3196500573131,,,,,,
Belarus,1995,65.48572862150216,,,,,,
Belgium,1985,1.00442164451659,,,,,,
Belgium,1988,0.7686370018931901,,,,,,
Belgium,1992,0.50342198856063,,,,,,
Belgium,1995,,1.0147400844879,,,,,
Belgium,1997,0.94918562270022,,,,,,
Belgium,2000,,0.85238558320475,,,,,
Belgium,2003,,,1.12091772186875,,,,
Belgium,2004,,,0.4609480430579932,,,,
Belgium,2005,,,0.6492069922709001,,,,
Belgium,2006,,,0.55867396035809,,,,
Belgium,2007,,,0.61570022451754,,,,
Belgium,2008,,,0.40767633399173,,,,
Belgium,2009,,,0.93871126564393,,,,
Belgium,2010,,,0.6846821555423199,,,,
Belgium,2011,,,0.8532079257424798,,,,
Belgium,2012,,,0.55588294150876,,,,
Belgium,2013,,,0.62030048268416,,,,
Belgium,2014,,,0.4740338312688968,,,,
Belgium,2015,,,0.3038258281674456,,,,
Belgium,2016,,,0.5602511840783516,,,,
Belgium,2017,,,0.44468207046591,,,,
Belgium,2018,,,0.2917298132908991,,,,
Belgium,2019,,,0.2740502056467916,,,,
Belize,1993,63.449244552425775,,,,,,
Belize,1994,64.24558202074529,,,,,,
Belize,1996,,,62.49825489547742,,,,
Belize,1997,59.61272742463096,,,,,,
Belize,1998,59.8443310220433,,,,,,
Belize,1999,60.341528747727935,,,,,,
Bolivia,1997,,46.3982500178801,,,,,
Bolivia,1999,,,41.18024623010111,,,,
Bolivia,2000,,,44.93059679456789,,,,
Bolivia,2001,,,,48.11147706557216,,,
Bolivia,2002,,,,,48.64690125637374,,
Bolivia,2004,,,,,52.64598948602723,,
Bolivia,2005,,,,,45.37901363952001,,
Bolivia,2006,,,,,44.40166115853951,,
Bolivia,2007,,,,,46.30474054499244,,
Bolivia,2008,,,,,41.30440265133502,,
Bolivia,2009,,,,,35.55736581785031,,
Bolivia,2011,,,,,32.042537302614384,,
Bolivia,2012,,,,,30.47112348646608,,
Bolivia,2013,,,,,28.78970391172874,,
Bolivia,2014,,,,,29.700593855668476,,
Bolivia,2015,,,,,30.110564748823265,,
