Entity,Year,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,2016,,,,,116501.0,,
Albania,2017,,,,,117598.0,,
Albania,2018,,,,,90253.0,,
Argentina - urban,1980,42331.0,,,,,,
Argentina - urban,1986,4429.0,,,,,,
Argentina - urban,1987,106563.0,,,,,,
Argentina - urban,1991,,125587.0,,,,,
Argentina - urban,1992,,179220.0,,,,,
Argentina - urban,1993,,281122.0,,,,,
Argentina - urban,1994,,187276.0,,,,,
Argentina - urban,1995,,640771.0,,,,,
Argentina - urban,1996,,519762.0,,,,,
Argentina - urban,1997,,555412.0,,,,,
Argentina - urban,1998,,744708.0,,,,,
Argentina - urban,1999,,721949.0,,,,,
Argentina - urban,2000,,883305.0,,,,,
Argentina - urban,2001,,1453559.0,,,,,
Argentina - urban,2002,,3068678.0,,,,,
Argentina - urban,2003,,,1400450.0,,,,
Argentina - urban,2004,,,1050847.0,,,,
Argentina - urban,2005,,,735982.0,,,,
Argentina - urban,2006,,,568063.0,,,,
Argentina - urban,2007,,,454042.0,,,,
Argentina - urban,2008,,,434034.0,,,,
Argentina - urban,2009,,,450598.0,,,,
Argentina - urban,2010,,,205977.0,,,,
Argentina - urban,2011,,,186228.0,,,,
Argentina - urban,2012,,,150002.0,,,,
Argentina - urban,2013,,,159491.0,,,,
Argentina - urban,2014,,,158291.0,,,,
Argentina - urban,2016,,,174954.0,,,,
Argentina - urban,2017,,,105655.0,,,,
Argentina - urban,2018,,,236564.0,,,,
Argentina - urban,2019,,,226439.0,,,,
Argentina - urban,2020,,,348008.0,,,,
Armenia,1996,408320.0,,,,,,
Australia,1981,74269.0,,,,,,
Australia,1985,,52480.0,,,,,
Australia,1989,,,41371.0,,,,
Australia,1995,,,45732.0,,,,
Australia,2001,,,0.0,,,,
Australia,2003,,,51216.0,,,,
Australia,2004,,,,42924.0,,,
Australia,2008,,,0.0,,,,
Australia,2010,,,,0.0,,,
Australia,2014,,,59758.0,,,,
Australia,2016,,,61443.0,,,,
Australia,2018,,,0.0,,,,
Austria,1987,0.0,,,,,,
Austria,1994,,0.0,,,,,
Austria,1995,0.0,,,,,,
Austria,1997,,0.0,,,,,
Austria,2000,,19357.0,,,,,
Austria,2003,,,3472.0,,,,
Austria,2004,,,826.0,,,,
Austria,2005,,,3848.0,,,,
Austria,2006,,,2717.0,,,,
Austria,2007,,,9106.0,,,,
Austria,2008,,,22233.0,,,,
Austria,2009,,,13703.0,,,,
Austria,2010,,,10311.0,,,,
Austria,2011,,,7399.0,,,,
Austria,2012,,,10751.0,,,,
Austria,2013,,,5819.0,,,,
Austria,2014,,,7754.0,,,,
Austria,2015,,,10041.0,,,,
Austria,2016,,,9440.0,,,,
Austria,2017,,,7578.0,,,,
Austria,2018,,,7725.0,,,,
Austria,2019,,,8869.0,,,,
Belarus,1993,39988.0,,,,,,
Belarus,1995,97041.0,,,,,,
Belgium,1985,0.0,,,,,,
Belgium,1988,0.0,,,,,,
Belgium,1992,28890.0,,,,,,
Belgium,1995,,0.0,,,,,
Belgium,1997,25718.0,,,,,,
Belgium,2000,,0.0,,,,,
Belgium,2003,,,15520.0,,,,
Belgium,2004,,,3696.0,,,,
Belgium,2005,,,5340.0,,,,
Belgium,2006,,,4303.0,,,,
Belgium,2007,,,8854.0,,,,
Belgium,2008,,,3767.0,,,,
Belgium,2009,,,5588.0,,,,
Belgium,2010,,,4414.0,,,,
Belgium,2011,,,10592.0,,,,
Belgium,2012,,,1814.0,,,,
Belgium,2013,,,1470.0,,,,
Belgium,2014,,,811.0,,,,
Belgium,2015,,,0.0,,,,
Belgium,2016,,,314.0,,,,
Belgium,2017,,,0.0,,,,
Belgium,2018,,,1904.0,,,,
Belgium,2019,,,3013.0,,,,
Belize,1993,16559.0,,,,,,
Belize,1994,20522.0,,,,,,
Belize,1996,,,27183.0,,,,
Belize,1997,30170.0,,,,,,
Belize,1998,31922.0,,,,,,
Belize,1999,26460.0,,,,,,
Bolivia,1997,,594914.0,,,,,
Bolivia,1999,,,723528.0,,,,
Bolivia,2000,,,680150.0,,,,
Bolivia,2001,,,,780975.0,,,
Bolivia,2002,,,,,753000.0,,
Bolivia,2004,,,,,605606.0,,
Bolivia,2005,,,,,731727.0,,
Bolivia,2006,,,,,613789.0,,
Bolivia,2007,,,,,492508.0,,
Bolivia,2008,,,,,470507.0,,
Bolivia,2009,,,,,557546.0,,
Bolivia,2011,,,,,347793.0,,
Bolivia,2012,,,,,383458.0,,
Bolivia,2013,,,,,330438.0,,
Bolivia,2014,,,,,303380.0,,
Bolivia,2015,,,,,291382.0,,
Bolivia,2016,,,,,365846.0,,
Bolivia,2017,,,,,381789.0,,
Bolivia,2018,,,,,244446.0,,
Bolivia,2019,,,,,185032.0,,
Bolivia,2020,,,,,336474.0,,
Bolivia - urban,1990,75815.0,,,,,,
