Entity,Year,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,2016,,,,,9.95197060163121,,
Albania,2017,,,,,10.411014391968283,,
Albania,2018,,,,,10.89724088746796,,
Argentina - urban,1980,32.47283363214869,,,,,,
Argentina - urban,1986,35.167551762431934,,,,,,
Argentina - urban,1987,32.14556881159724,,,,,,
Argentina - urban,1991,,22.81104021238504,,,,,
Argentina - urban,1992,,23.00445864753348,,,,,
Argentina - urban,1993,,23.05283861579658,,,,,
Argentina - urban,1994,,22.77439812512207,,,,,
Argentina - urban,1995,,21.63388689711729,,,,,
Argentina - urban,1996,,21.192957128336744,,,,,
Argentina - urban,1997,,22.20674194777844,,,,,
Argentina - urban,1998,,21.5637937551473,,,,,
Argentina - urban,1999,,20.5546854199162,,,,,
Argentina - urban,2000,,20.10494267374053,,,,,
Argentina - urban,2001,,18.51360410736107,,,,,
Argentina - urban,2002,,13.004920748939508,,,,,
Argentina - urban,2003,,,18.40442953639838,,,,
Argentina - urban,2004,,,19.8381538365751,,,,
Argentina - urban,2005,,,21.82069831105517,,,,
Argentina - urban,2006,,,24.166915526693074,,,,
Argentina - urban,2007,,,24.92478479981154,,,,
Argentina - urban,2008,,,25.51329964092185,,,,
Argentina - urban,2009,,,26.40029743239872,,,,
Argentina - urban,2010,,,27.206145522843613,,,,
Argentina - urban,2011,,,28.93932174652086,,,,
Argentina - urban,2012,,,28.67457637475568,,,,
Argentina - urban,2013,,,28.7907892949517,,,,
Argentina - urban,2014,,,26.947942230014583,,,,
Argentina - urban,2016,,,28.14445059642748,,,,
Argentina - urban,2017,,,29.55788365348206,,,,
Argentina - urban,2018,,,26.796218897069288,,,,
Argentina - urban,2019,,,26.095949008837703,,,,
Argentina - urban,2020,,,22.84354708143823,,,,
Armenia,1996,6.768340694376414,,,,,,
Australia,1981,38.33816504719713,,,,,,
Australia,1985,,39.61470312175246,,,,,
Australia,1989,,,40.71300793735792,,,,
Australia,1995,,,37.488868416916574,,,,
Australia,2001,,,43.1919198878675,,,,
Australia,2003,,,44.54256991933377,,,,
Australia,2004,,,,48.47961591857322,,,
Australia,2008,,,61.29653386474795,,,,
Australia,2010,,,,61.07591581802195,,,
Australia,2014,,,65.29173493065431,,,,
Australia,2016,,,63.78409433609232,,,,
Australia,2018,,,64.60964342099022,,,,
Austria,1987,48.44119493710311,,,,,,
Austria,1994,,52.95657519980031,,,,,
Austria,1995,45.14906942702444,,,,,,
Austria,1997,,50.68832630133659,,,,,
Austria,2000,,53.75496625723844,,,,,
Austria,2003,,,55.16432145820662,,,,
Austria,2004,,,58.215555210651935,,,,
Austria,2005,,,55.63883833122828,,,,
Austria,2006,,,56.96010875588757,,,,
Austria,2007,,,59.32458737886929,,,,
Austria,2008,,,60.316737887701215,,,,
Austria,2009,,,62.46101543814576,,,,
Austria,2010,,,63.09250231121733,,,,
Austria,2011,,,61.909379913489005,,,,
Austria,2012,,,60.494098245039744,,,,
Austria,2013,,,63.458008593743074,,,,
Austria,2014,,,62.47971936036536,,,,
Austria,2015,,,62.24562225903544,,,,
Austria,2016,,,65.06518473964739,,,,
Austria,2017,,,64.19477811315521,,,,
Austria,2018,,,64.86730604913835,,,,
Austria,2019,,,66.16818573537036,,,,
Belarus,1993,6.160662311934021,,,,,,
Belarus,1995,9.197755941498896,,,,,,
Belgium,1985,34.18008528524909,,,,,,
Belgium,1988,35.94177922834593,,,,,,
Belgium,1992,38.67516369855289,,,,,,
Belgium,1995,,46.34722740514754,,,,,
Belgium,1997,45.57291152306197,,,,,,
Belgium,2000,,54.6847791774121,,,,,
Belgium,2003,,,49.018376044785576,,,,
Belgium,2004,,,52.89336934703129,,,,
Belgium,2005,,,52.83283590392235,,,,
Belgium,2006,,,51.93823275729586,,,,
Belgium,2007,,,53.44758061824619,,,,
Belgium,2008,,,54.16453926022699,,,,
Belgium,2009,,,54.72569830925915,,,,
Belgium,2010,,,54.3217586289564,,,,
Belgium,2011,,,52.99818384869134,,,,
Belgium,2012,,,54.504012388143806,,,,
Belgium,2013,,,54.39067114513158,,,,
Belgium,2014,,,55.043016178573815,,,,
Belgium,2015,,,55.69448485193865,,,,
Belgium,2016,,,55.09243093019037,,,,
Belgium,2017,,,55.70167275150931,,,,
Belgium,2018,,,57.007874228947934,,,,
Belgium,2019,,,58.98650647000115,,,,
Belize,1993,10.529692213914744,,,,,,
Belize,1994,10.236449157565437,,,,,,
Belize,1996,,,8.193869814602335,,,,
Belize,1997,8.47829959844019,,,,,,
Belize,1998,7.960721527786778,,,,,,
Belize,1999,8.289961432176481,,,,,,
Bolivia,1997,,13.518981154186504,,,,,
Bolivia,1999,,,11.83626601025017,,,,
Bolivia,2000,,,11.052011689829015,,,,
Bolivia,2001,,,,11.46339739780351,,,
Bolivia,2002,,,,,11.457341044832177,,
Bolivia,2004,,,,,13.1819127346318,,
Bolivia,2005,,,,,14.023063406052318,,
Bolivia,2006,,,,,14.938175806659624,,
Bolivia,2007,,,,,14.881189841334766,,
Bolivia,2008,,,,,15.605116755668966,,
Bolivia,2009,,,,,16.496235424702515,,
Bolivia,2011,,,,,18.122355287854823,,
Bolivia,2012,,,,,18.546308523893,,
Bolivia,2013,,,,,20.446982880276124,,
Bolivia,2014,,,,,20.55850900004684,,
Bolivia,2015,,,,,19.816477104827715,,
Bolivia,2016,,,,,18.882017751009347,,
Bolivia,2017,,,,,19.07899825103446,,
Bolivia,2018,,,,,18.74685744151165,,
Bolivia,2019,,,,,19.60642729805217,,
Bolivia,2020,,,,,19.6432664771298,,
Bolivia - urban,1990,11.045098522100153,,,,,,
Bolivia - urban,1992,9.351042297626757,,,,,,
Brazil,1981,8.443970932128934,,,,,,
Brazil,1982,8.605181569265733,,,,,,
Brazil,1983,7.266532747849083,,,,,,
Brazil,1984,7.2208850120638575,,,,,,
Brazil,1985,7.61943830342328,,,,,,
Brazil,1986,13.626885397918482,,,,,,
Brazil,1987,10.699787252846304,,,,,,
Brazil,1988,10.548887160119603,,,,,,
Brazil,1989,12.247324153837097,,,,,,
Brazil,1990,9.604920452412586,,,,,,
Brazil,1992,7.647534646835815,,,,,,
Brazil,1993,9.620529213346815,,,,,,
Brazil,1995,12.896447355964174,,,,,,
Brazil,1996,12.966114746524728,,,,,,
Brazil,1997,12.816409255661664,,,,,,
Brazil,1998,13.207027448181272,,,,,,
Brazil,1999,12.385648556298047,,,,,,
Brazil,2001,13.874270385967698,,,,,,
Brazil,2002,14.087753845335016,,,,,,
Brazil,2003,13.399859435533092,,,,,,
Brazil,2004,13.467339866442348,,,,,,
Brazil,2005,14.147952150806727,,,,,,
Brazil,2006,15.197553435709455,,,,,,
Brazil,2007,15.71491283462174,,,,,,
Brazil,2008,16.558107228751005,,,,,,
Brazil,2009,17.066104093899472,,,,,,
Brazil,2011,18.37197081855881,,,,,,
Brazil,2012,,19.707026371092983,,,,,
Brazil,2013,,20.54420964734135,,,,,
Brazil,2014,,20.97477651059617,,,,,
Brazil,2015,,20.34713218360739,,,,,
Brazil,2016,,20.34637367430565,,,,,
Brazil,2017,,20.32995768392848,,,,,
Brazil,2018,,21.023630597110312,,,,,
Brazil,2019,,21.11512896344161,,,,,
Brazil,2020,,21.03720774716041,,,,,
Bulgaria,1992,,21.488544520052788,,,,,
Bulgaria,2006,,,,,,11.189068027893375,
Bulgaria,2007,,,,,,15.836999286883174,
Bulgaria,2008,,,,,,17.41311532997392,
Bulgaria,2009,,,,,,18.170862593391107,
Bulgaria,2010,,,,,,17.400626193793546,
Bulgaria,2011,,,,,,16.1228343334109,
Bulgaria,2012,,,,,,16.949431750566987,
Bulgaria,2013,,,,,,18.926698174335066,
Bulgaria,2014,,,,,,20.17313025299022,
Bulgaria,2015,,,,,,,19.2537927704163
Bulgaria,2016,,,,,,,23.00841963250508
Bulgaria,2017,,,,,,,22.89602843388781
Bulgaria,2018,,,,,,,26.54957878397168
Bulgaria,2019,,,,,,,27.42943194511317
Canada,1971,32.20183134035328,,,,,,
Canada,1975,40.16856540682886,,,,,,
Canada,1981,45.503767200434325,,,,,,
Canada,1987,46.819264515842974,,,,,,
Canada,1991,47.11535360637978,,,,,,
Canada,1994,47.99028504660773,,,,,,
Canada,1997,48.13693033323375,,,,,,
Canada,1998,,49.60521057596383,,,,,
Canada,2000,,50.32288727480972,,,,,
Canada,2004,,54.24025699146678,,,,,
Canada,2007,,59.49287293121316,,,,,
Canada,2010,,60.81035418433378,,,,,
