Entity,Year,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,2016,,,,,86661128.62364721,,
Albania,2017,,,,,85252082.30556892,,
Albania,2018,,,,,83633766.67763059,,
Argentina - urban,1980,341891908.5314828,,,,,,
Argentina - urban,1986,372075870.0526781,,,,,,
Argentina - urban,1987,432935955.3748429,,,,,,
Argentina - urban,1991,,623233034.23808,,,,,
Argentina - urban,1992,,616428606.5088053,,,,,
Argentina - urban,1993,,616966369.8459314,,,,,
Argentina - urban,1994,,640229817.0441383,,,,,
Argentina - urban,1995,,689073793.2251455,,,,,
Argentina - urban,1996,,706603711.1407977,,,,,
Argentina - urban,1997,,694798624.3384265,,,,,
Argentina - urban,1998,,727341401.4371554,,,,,
Argentina - urban,1999,,749233533.1805948,,,,,
Argentina - urban,2000,,772613169.0811923,,,,,
Argentina - urban,2001,,825720686.4337541,,,,,
Argentina - urban,2002,,963315235.9523568,,,,,
Argentina - urban,2003,,,838084551.9764082,,,,
Argentina - urban,2004,,,801150907.3720618,,,,
Argentina - urban,2005,,,765516801.408618,,,,
Argentina - urban,2006,,,716340000.3837361,,,,
Argentina - urban,2007,,,709013668.1130227,,,,
Argentina - urban,2008,,,694476259.2579453,,,,
Argentina - urban,2009,,,674171110.5009383,,,,
Argentina - urban,2010,,,667507280.8792075,,,,
Argentina - urban,2011,,,634650127.1172159,,,,
Argentina - urban,2012,,,633885117.8815738,,,,
Argentina - urban,2013,,,635347129.5657352,,,,
Argentina - urban,2014,,,689328617.9762441,,,,
Argentina - urban,2016,,,684868714.5670844,,,,
Argentina - urban,2017,,,654752419.126799,,,,
Argentina - urban,2018,,,722905895.6512291,,,,
Argentina - urban,2019,,,761757812.4594761,,,,
Argentina - urban,2020,,,843780913.7086834,,,,
Armenia,1996,106162303.06239638,,,,,,
Australia,1981,144588434.2309041,,,,,,
Australia,1985,,149712451.8133187,,,,,
Australia,1989,,,155386871.91053572,,,,
Australia,1995,,,187269344.82153463,,,,
Australia,2001,,,164738140.8030488,,,,
Australia,2003,,,160099749.69497082,,,,
Australia,2004,,,,134027865.43351294,,,
Australia,2008,,,95013966.46367668,,,,
Australia,2010,,,,96065995.75917192,,,
Australia,2014,,,81671461.4366193,,,,
Australia,2016,,,89485448.50762264,,,,
Australia,2018,,,91764198.53212486,,,,
Austria,1987,28705798.9459696,,,,,,
Austria,1994,,38994609.31939271,,,,,
Austria,1995,56926791.66082606,,,,,,
Austria,1997,,41748648.80897653,,,,,
Austria,2000,,33341324.78620521,,,,,
Austria,2003,,,32298778.298879784,,,,
Austria,2004,,,28281729.392135352,,,,
Austria,2005,,,30414902.48638229,,,,
Austria,2006,,,29718200.460726555,,,,
Austria,2007,,,30560923.327481657,,,,
Austria,2008,,,28831634.33961622,,,,
Austria,2009,,,28956462.66093776,,,,
Austria,2010,,,25987789.17907257,,,,
Austria,2011,,,28752045.68956861,,,,
Austria,2012,,,30117167.610547908,,,,
Austria,2013,,,25747490.22750247,,,,
Austria,2014,,,27379954.268735036,,,,
Austria,2015,,,28813819.48476861,,,,
Austria,2016,,,26940030.786910266,,,,
Austria,2017,,,26027322.37324724,,,,
Austria,2018,,,27014974.79037719,,,,
Austria,2019,,,25166643.098311044,,,,
Belarus,1993,409553808.76,,,,,,
Belarus,1995,314568312.02351266,,,,,,
Belgium,1985,97692656.47487472,,,,,,
Belgium,1988,90047151.86990102,,,,,,
Belgium,1992,76033301.70565623,,,,,,
Belgium,1995,,57746045.48445234,,,,,
Belgium,1997,56191812.51181105,,,,,,
Belgium,2000,,44955616.34503944,,,,,
Belgium,2003,,,51831050.75975508,,,,
Belgium,2004,,,46404961.91020719,,,,
Belgium,2005,,,44258088.33057451,,,,
Belgium,2006,,,45018049.71113149,,,,
Belgium,2007,,,44128456.93830881,,,,
Belgium,2008,,,41344697.39512791,,,,
Belgium,2009,,,41469080.68184931,,,,
Belgium,2010,,,42313279.305064216,,,,
Belgium,2011,,,45513514.61766324,,,,
Belgium,2012,,,41217597.18704315,,,,
Belgium,2013,,,42701818.75276249,,,,
Belgium,2014,,,42051530.04401585,,,,
Belgium,2015,,,40560091.40980702,,,,
Belgium,2016,,,41469267.37746935,,,,
Belgium,2017,,,39791850.82690559,,,,
Belgium,2018,,,35899851.79160352,,,,
Belgium,2019,,,32277039.726500742,,,,
Belize,1993,6328836.8356309775,,,,,,
Belize,1994,6523767.01072198,,,,,,
Belize,1996,,,7058060.2325954735,,,,
Belize,1997,7386832.877906227,,,,,,
Belize,1998,7561550.79386373,,,,,,
Belize,1999,7747493.521035513,,,,,,
Bolivia,1997,,229449266.5006484,,,,,
Bolivia,1999,,,244039986.1803051,,,,
Bolivia,2000,,,258811452.6206303,,,,
Bolivia,2001,,,,258560914.7847016,,,
Bolivia,2002,,,,,265961211.8862489,,
Bolivia,2004,,,,,262397764.6184093,,
Bolivia,2005,,,,,263030214.21457085,,
Bolivia,2006,,,,,260159713.6379092,,
Bolivia,2007,,,,,262875802.60394916,,
Bolivia,2008,,,,,258045056.20852804,,
Bolivia,2009,,,,,254244536.8282736,,
Bolivia,2011,,,,,245146551.8282731,,
Bolivia,2012,,,,,245999406.6443553,,
Bolivia,2013,,,,,239976815.42619345,,
Bolivia,2014,,,,,244692529.9143148,,
Bolivia,2015,,,,,250874050.2077183,,
Bolivia,2016,,,,,256489905.918638,,
Bolivia,2017,,,,,257770479.5400567,,
Bolivia,2018,,,,,261216618.56416595,,
Bolivia,2019,,,,,258457734.53063485,,
Bolivia,2020,,,,,265645931.93470335,,
Bolivia - urban,1990,111829128.26047792,,,,,,
Bolivia - urban,1992,129505336.1303645,,,,,,
Brazil,1981,4005448290.995104,,,,,,
Brazil,1982,4086444368.737038,,,,,,
Brazil,1983,4320198515.431546,,,,,,
Brazil,1984,4419320951.556639,,,,,,
Brazil,1985,4435292178.162392,,,,,,
Brazil,1986,3995003611.862497,,,,,,
Brazil,1987,4358461606.761922,,,,,,
Brazil,1988,4479353852.4105215,,,,,,
Brazil,1989,4438835917.671141,,,,,,
Brazil,1990,4727531504.154789,,,,,,
Brazil,1992,5044104433.385936,,,,,,
Brazil,1993,4989762420.457763,,,,,,
Brazil,1995,4779392997.533491,,,,,,
Brazil,1996,4844599045.8961735,,,,,,
Brazil,1997,4938458555.717561,,,,,,
Brazil,1998,4978628077.708683,,,,,,
Brazil,1999,5129029138.523273,,,,,,
Brazil,2001,5085438677.268733,,,,,,
Brazil,2002,5130751505.697489,,,,,,
Brazil,2003,5258013703.707504,,,,,,
Brazil,2004,5294946098.404531,,,,,,
Brazil,2005,5279171252.509255,,,,,,
Brazil,2006,5197673584.515877,,,,,,
Brazil,2007,5166396205.16505,,,,,,
Brazil,2008,5096340575.702636,,,,,,
Brazil,2009,5075347494.166108,,,,,,
Brazil,2011,4998524022.972137,,,,,,
Brazil,2012,,4911794964.949475,,,,,
Brazil,2013,,4832062043.834082,,,,,
