Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,0.0392437121238649,,,,,,,,,,,,
Albania,2002,,0.4387322049774114,,,,,,,,,,,
Albania,2005,,,,,,,,,,,,,
Albania,2008,,,,,,,,,,,,,
Albania,2012,,0.168835361371228,,,,,,,,,,,
Albania,2014,,,,,,,,,,,,,
Albania,2015,,,,,,,,,,,,,
Albania,2016,,,,,,,,,,,,,
Albania,2017,,,,,,,,,,,,,
Albania,2018,,,,,,,,,,,,,
Albania,2019,,,,,,,,,,,,,
Algeria,1988,,,,,,,,,,,,,
Algeria,1995,,0.2883056710771465,,,,,,,,,,,
Algeria,2011,,,0.8134129440382643,,,,,,,,,,
Angola,2000,0.3769760792176713,,,,,,,,,,,,
Angola,2008,,0.1560686727343639,,,,,,,,,,,
Angola,2018,,,0.3126687212989368,,,,,,,,,,
Argentina - urban,1980,,,,,,,0.9920746941255684,,,,,,
Argentina - urban,1986,,,,,,,0.9999984582003988,,,,,,
Argentina - urban,1987,,,,,,,0.9999994006530516,,,,,,
Argentina - urban,1991,,,,,,,,0.8774617697850158,,,,,
Argentina - urban,1992,,,,,,,,0.8307058074588074,,,,,
Argentina - urban,1993,,,,,,,,0.8397351364627916,,,,,
Argentina - urban,1994,,,,,,,,0.9058999600571268,,,,,
Argentina - urban,1995,,,,,,,,0.8849390998221716,,,,,
Argentina - urban,1996,,,,,,,,0.8528033116594298,,,,,
Argentina - urban,1997,,,,,,,,0.7999004543261906,,,,,
Argentina - urban,1998,,,,,,,,0.7885879725178951,,,,,
Argentina - urban,1999,,,,,,,,0.8306521663042837,,,,,
Argentina - urban,2000,,,,,,,,0.7314620351999213,,,,,
Argentina - urban,2001,,,,,,,,0.7476690988572525,,,,,
Argentina - urban,2002,,,,,,,,0.5185178724460303,,,,,
Argentina - urban,2003,,,,,,,,,0.5756879590030549,,,,
Argentina - urban,2004,,,,,,,,,0.5355741212332097,,,,
Argentina - urban,2005,,,,,,,,,0.596930970810805,,,,
Argentina - urban,2006,,,,,,,,,0.5035481946091391,,,,
Argentina - urban,2007,,,,,,,,,0.6423210616366771,,,,
Argentina - urban,2008,,,,,,,,,0.6236525253769206,,,,
Argentina - urban,2009,,,,,,,,,0.681068922739841,,,,
Argentina - urban,2010,,,,,,,,,0.7724986931762913,,,,
Argentina - urban,2011,,,,,,,,,0.6263066616057331,,,,
Argentina - urban,2012,,,,,,,,,0.6123141300081841,,,,
Argentina - urban,2013,,,,,,,,,0.7854357732562832,,,,
Argentina - urban,2014,,,,,,,,,0.7178558272459015,,,,
