Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,0.8264373478408147,,,,,,,,,,,,
Albania,2002,,0.8281720344837431,,,,,,,,,,,
Albania,2005,,1.0282412268172598,,,,,,,,,,,
Albania,2008,,0.9695746608501804,,,,,,,,,,,
Albania,2012,,1.072598195491116,,,,,,,,,,,
Albania,2014,,,1.2822881256220775,,,,,,,,,,
Albania,2015,,,1.3813595300031052,,,,,,,,,,
Albania,2016,,,1.574263668762783,,,,,,,,,,
Albania,2017,,,1.4907134427862732,,,,,,,,,,
Albania,2018,,,,1.8289593955491856,,,,,,,,,
Albania,2019,,,,1.767809683077161,,,,,,,,,
Algeria,1988,0.8522459360276154,,,,,,,,,,,,
Algeria,1995,,0.9174735865083204,,,,,,,,,,,
Algeria,2011,,,0.9386478380614148,,,,,,,,,,
Angola,2000,1.24631778365128,,,,,,,,,,,,
Angola,2008,,0.8781039782820056,,,,,,,,,,,
Angola,2018,,,0.7794126656289555,,,,,,,,,,
Argentina - urban,1980,,,,,,,5.185798081681448,,,,,,
Argentina - urban,1986,,,,,,,5.236357127717664,,,,,,
Argentina - urban,1987,,,,,,,4.9129444986523305,,,,,,
Argentina - urban,1991,,,,,,,,3.115993104271753,,,,,
Argentina - urban,1992,,,,,,,,3.4096455126583183,,,,,
Argentina - urban,1993,,,,,,,,3.670012077474561,,,,,
Argentina - urban,1994,,,,,,,,3.5001246186690467,,,,,
Argentina - urban,1995,,,,,,,,3.541996868450677,,,,,
Argentina - urban,1996,,,,,,,,3.4977839410664746,,,,,
Argentina - urban,1997,,,,,,,,3.7991671891479526,,,,,
Argentina - urban,1998,,,,,,,,3.40009869873584,,,,,
Argentina - urban,1999,,,,,,,,3.392162743494105,,,,,
Argentina - urban,2000,,,,,,,,3.2538890811172663,,,,,
Argentina - urban,2001,,,,,,,,3.297844487334152,,,,,
Argentina - urban,2002,,,,,,,,2.1694428182651087,,,,,
Argentina - urban,2003,,,,,,,,,2.9470526056929174,,,,
Argentina - urban,2004,,,,,,,,,3.3445615911337683,,,,
Argentina - urban,2005,,,,,,,,,3.667535365768821,,,,
Argentina - urban,2006,,,,,,,,,4.1778691324249895,,,,
Argentina - urban,2007,,,,,,,,,4.187290754367498,,,,
Argentina - urban,2008,,,,,,,,,4.380826633497472,,,,
Argentina - urban,2009,,,,,,,,,4.7039050094477535,,,,
