Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,16.83064689422899,,,,,,,,,,,,
Albania,2002,,20.623794334168693,,,,,,,,,,,
Albania,2005,,22.311050599332347,,,,,,,,,,,
Albania,2008,,24.5516640790118,,,,,,,,,,,
Albania,2012,,21.82713991099983,,,,,,,,,,,
Albania,2014,,,25.90528832297504,,,,,,,,,,
Albania,2015,,,29.872378426686268,,,,,,,,,,
Albania,2016,,,31.414877745033493,,,,,,,,,,
Albania,2017,,,30.547025922660023,,,,,,,,,,
Albania,2018,,,,30.284814105888906,,,,,,,,,
Albania,2019,,,,37.01806194344364,,,,,,,,,
Algeria,1988,24.49122833693448,,,,,,,,,,,,
Algeria,1995,,19.121047851045105,,,,,,,,,,,
Algeria,2011,,,21.091676119369502,,,,,,,,,,
Angola,2000,29.67851386860038,,,,,,,,,,,,
Angola,2008,,21.04706151480081,,,,,,,,,,,
Angola,2018,,,21.72270755941833,,,,,,,,,,
Argentina - urban,1980,,,,,,,97.98797932208096,,,,,,
Argentina - urban,1986,,,,,,,113.26794174784852,,,,,,
Argentina - urban,1987,,,,,,,110.10464772184798,,,,,,
Argentina - urban,1991,,,,,,,,83.50960157147195,,,,,
Argentina - urban,1992,,,,,,,,78.87566722337873,,,,,
Argentina - urban,1993,,,,,,,,76.53862670555782,,,,,
Argentina - urban,1994,,,,,,,,78.45005132604356,,,,,
Argentina - urban,1995,,,,,,,,79.99260225135714,,,,,
Argentina - urban,1996,,,,,,,,78.16091132594664,,,,,
Argentina - urban,1997,,,,,,,,80.77540128374739,,,,,
Argentina - urban,1998,,,,,,,,82.0531238851994,,,,,
Argentina - urban,1999,,,,,,,,76.15155268575212,,,,,
Argentina - urban,2000,,,,,,,,75.79661201718467,,,,,
Argentina - urban,2001,,,,,,,,73.08686934434263,,,,,
Argentina - urban,2002,,,,,,,,52.6779793557973,,,,,
Argentina - urban,2003,,,,,,,,,69.35768891458012,,,,
Argentina - urban,2004,,,,,,,,,69.9017061567805,,,,
Argentina - urban,2005,,,,,,,,,76.14178370880414,,,,
Argentina - urban,2006,,,,,,,,,81.52649662955372,,,,
Argentina - urban,2007,,,,,,,,,83.92739193585132,,,,
Argentina - urban,2008,,,,,,,,,82.68248146602937,,,,
Argentina - urban,2009,,,,,,,,,82.4996177962149,,,,
Argentina - urban,2010,,,,,,,,,86.24378272574569,,,,
Argentina - urban,2011,,,,,,,,,89.58774583117602,,,,
Argentina - urban,2012,,,,,,,,,85.1154404417352,,,,
Argentina - urban,2013,,,,,,,,,84.56398526432015,,,,
Argentina - urban,2014,,,,,,,,,80.63141811055212,,,,
Argentina - urban,2016,,,,,,,,,85.61351874402224,,,,
Argentina - urban,2017,,,,,,,,,87.79997798608272,,,,
Argentina - urban,2018,,,,,,,,,79.93368042610822,,,,
Argentina - urban,2019,,,,,,,,,80.93546016290524,,,,
Argentina - urban,2020,,,,,,,,,69.22240148482966,,,,
Armenia,1996,,,,,,,23.839120208191357,,,,,,
Armenia,1999,,15.112038185530247,,,,,,,,,,,
Armenia,2001,,14.102250770142918,,,,,,,,,,,
Armenia,2002,,14.74327054171162,,,,,,,,,,,
Armenia,2003,,14.7336301951343,,,,,,,,,,,
Armenia,2004,,20.52899263946204,,,,,,,,,,,
Armenia,2005,,21.969112910432692,,,,,,,,,,,
Armenia,2006,,16.84950356774779,,,,,,,,,,,
Armenia,2007,,19.280969914756835,,,,,,,,,,,
Armenia,2008,,18.584436948482335,,,,,,,,,,,
Armenia,2009,,15.979789249033225,,,,,,,,,,,
Armenia,2010,,17.820135320798915,,,,,,,,,,,
Armenia,2011,,17.415794381917845,,,,,,,,,,,
Armenia,2012,,18.47349463110501,,,,,,,,,,,
Armenia,2013,,19.281685495481383,,,,,,,,,,,
Armenia,2014,,20.62409957462248,,,,,,,,,,,
Armenia,2015,,22.960591123181384,,,,,,,,,,,
Armenia,2016,,22.85758355688522,,,,,,,,,,,
Armenia,2017,,24.954489464876797,,,,,,,,,,,
Armenia,2018,,25.67866797276847,,,,,,,,,,,
Armenia,2019,,,19.768621210973063,,,,,,,,,,
Armenia,2020,,,16.03980045974221,,,,,,,,,,
Australia,1981,,,,,,,89.3341976128539,,,,,,
Australia,1985,,,,,,,,96.22275375191268,,,,,
Australia,1989,,,,,,,,,100.4261849249156,,,,
Australia,1995,,,,,,,,,92.22899315388604,,,,
Australia,2001,,,,,,,,,108.26326860082678,,,,
Australia,2003,,,,,,,,,111.7256368393874,,,,
Australia,2004,,,,,,,,,,122.73107671133369,,,
Australia,2008,,,,,,,,,168.04792719787264,,,,
Australia,2010,,,,,,,,,,161.59462504775192,,,
Australia,2014,,,,,,,,,176.17976043461246,,,,
Australia,2016,,,,,,,,,164.61585529154596,,,,
Australia,2018,,,,,,,,,171.94816884454158,,,,
Austria,1987,,,,,,,93.43493055628642,,,,,,
Austria,1994,,,,,,,,130.22240713370255,,,,,
Austria,1995,,,,,,,101.175889390968,,,,,,
Austria,1997,,,,,,,,118.82485286244176,,,,,
Austria,2000,,,,,,,,122.09838411950976,,,,,
Austria,2003,,,,,,,,,129.4653264976935,,,,
Austria,2004,,,,,,,,,138.8028191726577,,,,
Austria,2005,,,,,,,,,127.1342176103992,,,,
Austria,2006,,,,,,,,,135.063189006745,,,,
Austria,2007,,,,,,,,,141.4812163833866,,,,
Austria,2008,,,,,,,,,145.4224555423012,,,,
Austria,2009,,,,,,,,,154.17444917487467,,,,
Austria,2010,,,,,,,,,148.69627023539655,,,,
Austria,2011,,,,,,,,,146.64473084240788,,,,
Austria,2012,,,,,,,,,141.85054708741086,,,,
Austria,2013,,,,,,,,,154.05056338539245,,,,
Austria,2014,,,,,,,,,150.37342003775024,,,,
Austria,2015,,,,,,,,,148.4100929143998,,,,
Austria,2016,,,,,,,,,155.17196823401457,,,,
Austria,2017,,,,,,,,,147.59672087160234,,,,
Austria,2018,,,,,,,,,155.14470590754672,,,,
Austria,2019,,,,,,,,,153.6008752656201,,,,
Azerbaijan,1995,14.164612651556558,,,,,,,,,,,,
Azerbaijan,2001,,19.05977526909509,,,,,,,,,,,
Azerbaijan,2002,,18.9013512450075,,,,,,,,,,,
Azerbaijan,2003,,20.03268959773015,,,,,,,,,,,
Azerbaijan,2004,,21.28367066639396,,,,,,,,,,,
Azerbaijan,2005,,23.503976792333944,,,,,,,,,,,
Bangladesh,1983,6.014341619484947,,,,,,,,,,,,
Bangladesh,1988,6.853885842367911,,,,,,,,,,,,
Bangladesh,1991,,6.347836127978923,,,,,,,,,,,
Bangladesh,1995,,9.293535553968711,,,,,,,,,,,
Bangladesh,2000,,,9.52220354270188,,,,,,,,,,
Bangladesh,2005,,,10.678911682979097,,,,,,,,,,
Bangladesh,2010,,,10.9932265265234,,,,,,,,,,
Bangladesh,2016,,,12.00791696530212,,,,,,,,,,
Belarus,1993,,,,,,,11.954650477102676,,,,,,
Belarus,1995,,,,,,,20.74064581665308,,,,,,
Belarus,1998,,9.828311932317506,,,,,,,,,,,
Belarus,1999,,10.059875998683776,,,,,,,,,,,
Belarus,2000,,11.169527776166476,,,,,,,,,,,
Belarus,2001,,13.838467317201529,,,,,,,,,,,
Belarus,2002,,15.218092410531288,,,,,,,,,,,
Belarus,2003,,14.79582513135616,,,,,,,,,,,
Belarus,2004,,15.673723223878463,,,,,,,,,,,
Belarus,2005,,19.684379446118715,,,,,,,,,,,
Belarus,2006,,23.386559815407622,,,,,,,,,,,
Belarus,2007,,28.277484107688537,,,,,,,,,,,
Belarus,2008,,27.838540000160457,,,,,,,,,,,
Belarus,2009,,28.424656288952352,,,,,,,,,,,
Belarus,2010,,32.46158048674296,,,,,,,,,,,
Belarus,2011,,31.79966289540489,,,,,,,,,,,
Belarus,2012,,35.51723128823766,,,,,,,,,,,
Belarus,2013,,40.07132205399467,,,,,,,,,,,
Belarus,2014,,42.68921731089159,,,,,,,,,,,
Belarus,2015,,35.94623781528379,,,,,,,,,,,
Belarus,2016,,34.627197869325684,,,,,,,,,,,
Belarus,2017,,35.57700084589268,,,,,,,,,,,
Belarus,2018,,38.84200224858639,,,,,,,,,,,
Belarus,2019,,40.79654013298787,,,,,,,,,,,
Belarus,2020,,39.93354769008414,,,,,,,,,,,
Belgium,1985,,,,,,,70.55398541280881,,,,,,
Belgium,1988,,,,,,,75.73528734616785,,,,,,
Belgium,1992,,,,,,,77.87503555731845,,,,,,
Belgium,1995,,,,,,,,105.88393770031352,,,,,
Belgium,1997,,,,,,,98.29310509394053,,,,,,
Belgium,2000,,,,,,,,154.83440744588952,,,,,
Belgium,2003,,,,,,,,,109.0439560325416,,,,
Belgium,2004,,,,,,,,,132.8518701263731,,,,
Belgium,2005,,,,,,,,,126.14734284923524,,,,
Belgium,2006,,,,,,,,,116.39288286106492,,,,
Belgium,2007,,,,,,,,,125.82731241266958,,,,
Belgium,2008,,,,,,,,,123.08642221045528,,,,
Belgium,2009,,,,,,,,,124.27747770207831,,,,
Belgium,2010,,,,,,,,,123.54011216324076,,,,
Belgium,2011,,,,,,,,,118.45946031219869,,,,
Belgium,2012,,,,,,,,,119.56452069481936,,,,
Belgium,2013,,,,,,,,,118.71596727450142,,,,
Belgium,2014,,,,,,,,,123.4019149301352,,,,
Belgium,2015,,,,,,,,,123.79266684420536,,,,
Belgium,2016,,,,,,,,,122.0703522383965,,,,
Belgium,2017,,,,,,,,,122.2472149578866,,,,
Belgium,2018,,,,,,,,,126.80613899738994,,,,
Belgium,2019,,,,,,,,,131.64803018357657,,,,
Belize,1993,,,,,,,53.84927967892703,,,,,,
Belize,1994,,,,,,,53.76036084082909,,,,,,
Belize,1995,,57.341887580003295,,,,,,,,,,,
Belize,1996,,,,,,,,,38.13950562888801,,,,
Belize,1997,,,,,,,42.65080010046814,,,,,,
Belize,1998,,,,,,,34.79543187170212,,,,,,
Belize,1999,,,,,,,35.179656166628085,,,,,,
Benin,2003,8.582463155786368,,,,,,,,,,,,
Benin,2011,,10.328875921462624,,,,,,,,,,,
Benin,2015,,11.301674902898704,,,,,,,,,,,
Benin,2018,,,13.89893512603487,,,,,,,,,,
Bhutan,2003,19.287340962476534,,,,,,,,,,,,
Bhutan,2007,,21.26411803298108,,,,,,,,,,,
Bhutan,2012,,30.4466806098602,,,,,,,,,,,
Bhutan,2017,,30.061819019693782,,,,,,,,,,,
