Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,7.32204153448975,,,,,,,,,,,,
Albania,2002,,6.73820399638601,,,,,,,,,,,
Albania,2005,,6.921182508870951,,,,,,,,,,,
Albania,2008,,6.98358425000762,,,,,,,,,,,
Albania,2012,,7.0307257426841,,,,,,,,,,,
Albania,2014,,,6.31159866084941,,,,,,,,,,
Albania,2015,,,6.57946473873904,,,,,,,,,,
Albania,2016,,,6.42376683827081,,,,,,,,,,
Albania,2017,,,6.5081229611609,,,,,,,,,,
Albania,2018,,,,7.07326201340143,,,,,,,,,
Albania,2019,,,,6.8372682760363706,,,,,,,,,
Algeria,1988,5.8678608486029,,,,,,,,,,,,
Algeria,1995,,6.32916643700506,,,,,,,,,,,
Algeria,2011,,,7.30645493850158,,,,,,,,,,
Angola,2000,4.49530732349786,,,,,,,,,,,,
Angola,2008,,5.30457038441269,,,,,,,,,,,
Angola,2018,,,4.3429294635279305,,,,,,,,,,
Argentina - urban,1980,,,,,,,5.697858511169549,,,,,,
Argentina - urban,1986,,,,,,,5.51864787906848,,,,,,
Argentina - urban,1987,,,,,,,5.19357856312331,,,,,,
Argentina - urban,1991,,,,,,,,5.00231117209885,,,,,
Argentina - urban,1992,,,,,,,,5.12403147586905,,,,,
Argentina - urban,1993,,,,,,,,5.217360488421511,,,,,
Argentina - urban,1994,,,,,,,,5.06835518709443,,,,,
Argentina - urban,1995,,,,,,,,4.7344923033223,,,,,
Argentina - urban,1996,,,,,,,,4.64174362189612,,,,,
Argentina - urban,1997,,,,,,,,4.6846156691141605,,,,,
Argentina - urban,1998,,,,,,,,4.4350714091922,,,,,
Argentina - urban,1999,,,,,,,,4.52204735066598,,,,,
Argentina - urban,2000,,,,,,,,4.32724037063785,,,,,
Argentina - urban,2001,,,,,,,,4.0743419236724,,,,,
Argentina - urban,2002,,,,,,,,4.04431457631899,,,,,
Argentina - urban,2003,,,,,,,,,4.37421628194056,,,,
Argentina - urban,2004,,,,,,,,,4.65252346984621,,,,
Argentina - urban,2005,,,,,,,,,4.77590450744813,,,,
Argentina - urban,2006,,,,,,,,,4.9552069723975,,,,
Argentina - urban,2007,,,,,,,,,4.94077387827195,,,,
Argentina - urban,2008,,,,,,,,,5.15790184647562,,,,
Argentina - urban,2009,,,,,,,,,5.32739946096467,,,,
Argentina - urban,2010,,,,,,,,,5.31238240392139,,,,
Argentina - urban,2011,,,,,,,,,5.4250966216001295,,,,
Argentina - urban,2012,,,,,,,,,5.57409352593139,,,,
Argentina - urban,2013,,,,,,,,,5.61956108786549,,,,
Argentina - urban,2014,,,,,,,,,5.4440794524648295,,,,
Argentina - urban,2016,,,,,,,,,5.4832894828901,,,,
Argentina - urban,2017,,,,,,,,,5.60146066086492,,,,
Argentina - urban,2018,,,,,,,,,5.5880518505527,,,,
Argentina - urban,2019,,,,,,,,,5.35019694578802,,,,
Argentina - urban,2020,,,,,,,,,5.33982008118651,,,,
Armenia,1996,,,,,,,5.18728937063055,,,,,,
Armenia,1999,,6.19175777239081,,,,,,,,,,,
Armenia,2001,,6.395345354199381,,,,,,,,,,,
Armenia,2002,,6.4304072968312,,,,,,,,,,,
Armenia,2003,,6.614369197544789,,,,,,,,,,,
Armenia,2004,,6.14609082606598,,,,,,,,,,,
Armenia,2005,,6.28087126844825,,,,,,,,,,,
Armenia,2006,,7.008476750544849,,,,,,,,,,,
Armenia,2007,,6.90910966257613,,,,,,,,,,,
Armenia,2008,,6.99150504134792,,,,,,,,,,,
Armenia,2009,,7.17080653014802,,,,,,,,,,,
Armenia,2010,,6.9739676009888205,,,,,,,,,,,
Armenia,2011,,7.064596262663859,,,,,,,,,,,
Armenia,2012,,7.06664159348788,,,,,,,,,,,
Armenia,2013,,6.9036816657561895,,,,,,,,,,,
Armenia,2014,,6.809862774235429,,,,,,,,,,,
Armenia,2015,,6.79484647236628,,,,,,,,,,,
Armenia,2016,,6.59722542419126,,,,,,,,,,,
Armenia,2017,,6.59174134345667,,,,,,,,,,,
Armenia,2018,,6.53502209925396,,,,,,,,,,,
Armenia,2019,,,7.089863453587101,,,,,,,,,,
Armenia,2020,,,7.55018499986513,,,,,,,,,,
Australia,1981,,,,,,,6.91575965624892,,,,,,
Australia,1985,,,,,,,,6.728570964245489,,,,,
Australia,1989,,,,,,,,,6.65199929929392,,,,
Australia,1995,,,,,,,,,6.699083228371159,,,,
Australia,2001,,,,,,,,,6.51763596873733,,,,
Australia,2003,,,,,,,,,6.53023359914286,,,,
Australia,2004,,,,,,,,,,6.556780922197129,,,
Australia,2008,,,,,,,,,6.26539879351245,,,,
Australia,2010,,,,,,,,,,6.34387029127277,,,
Australia,2014,,,,,,,,,6.55410073889833,,,,
Australia,2016,,,,,,,,,6.582604724276219,,,,
Australia,2018,,,,,,,,,6.538756570929991,,,,
Austria,1987,,,,,,,7.87224313034449,,,,,,
Austria,1994,,,,,,,,6.95233099519042,,,,,
Austria,1995,,,,,,,7.18449734146762,,,,,,
Austria,1997,,,,,,,,7.07539067714783,,,,,
Austria,2000,,,,,,,,7.19068041263633,,,,,
Austria,2003,,,,,,,,,7.2210204774403906,,,,
Austria,2004,,,,,,,,,7.092205549652469,,,,
Austria,2005,,,,,,,,,7.151549140628009,,,,
Austria,2006,,,,,,,,,7.102615596630909,,,,
Austria,2007,,,,,,,,,7.091423429419599,,,,
Austria,2008,,,,,,,,,7.1384238748802105,,,,
Austria,2009,,,,,,,,,7.0391160893122695,,,,
Austria,2010,,,,,,,,,7.11931864776552,,,,
Austria,2011,,,,,,,,,7.04944922356853,,,,
Austria,2012,,,,,,,,,7.151793693366031,,,,
Austria,2013,,,,,,,,,7.03056488642293,,,,
Austria,2014,,,,,,,,,7.10449422749478,,,,
Austria,2015,,,,,,,,,7.13071036495949,,,,
Austria,2016,,,,,,,,,7.11770914418508,,,,
Austria,2017,,,,,,,,,7.19271008176372,,,,
Austria,2018,,,,,,,,,7.03579886307959,,,,
Austria,2019,,,,,,,,,7.113975557202069,,,,
Azerbaijan,1995,6.54432679338396,,,,,,,,,,,,
Azerbaijan,2001,,6.21231172068926,,,,,,,,,,,
Azerbaijan,2002,,7.50875927077706,,,,,,,,,,,
Azerbaijan,2003,,7.3529891362296596,,,,,,,,,,,
Azerbaijan,2004,,7.363440478590499,,,,,,,,,,,
Azerbaijan,2005,,7.28963003441907,,,,,,,,,,,
Bangladesh,1983,7.61210202032009,,,,,,,,,,,,
Bangladesh,1988,7.12224862790584,,,,,,,,,,,,
Bangladesh,1991,,7.25538236622481,,,,,,,,,,,
Bangladesh,1995,,6.598462116686179,,,,,,,,,,,
Bangladesh,2000,,,6.4437174804361605,,,,,,,,,,
Bangladesh,2005,,,6.476411263100899,,,,,,,,,,
Bangladesh,2010,,,6.629740260338609,,,,,,,,,,
Bangladesh,2016,,,6.64227365530902,,,,,,,,,,
Belarus,1993,,,,,,,8.066034308890261,,,,,,
Belarus,1995,,,,,,,7.25012855002088,,,,,,
Belarus,1998,,6.79552948701393,,,,,,,,,,,
Belarus,1999,,6.860669592968841,,,,,,,,,,,
Belarus,2000,,6.974075933821081,,,,,,,,,,,
Belarus,2001,,7.02074979631903,,,,,,,,,,,
Belarus,2002,,7.0679709977332905,,,,,,,,,,,
Belarus,2003,,7.23112587819579,,,,,,,,,,,
Belarus,2004,,7.45334222036732,,,,,,,,,,,
Belarus,2005,,7.44527120416156,,,,,,,,,,,
Belarus,2006,,7.28906956492818,,,,,,,,,,,
Belarus,2007,,7.079737570670059,,,,,,,,,,,
Belarus,2008,,7.294862438112699,,,,,,,,,,,
Belarus,2009,,7.379924306149239,,,,,,,,,,,
Belarus,2010,,7.22455264685715,,,,,,,,,,,
Belarus,2011,,7.40588010429633,,,,,,,,,,,
Belarus,2012,,7.476009676423271,,,,,,,,,,,
Belarus,2013,,7.498327327589719,,,,,,,,,,,
Belarus,2014,,7.496084865058859,,,,,,,,,,,
Belarus,2015,,7.583568591811719,,,,,,,,,,,
Belarus,2016,,7.658641644000901,,,,,,,,,,,
Belarus,2017,,7.60641204451755,,,,,,,,,,,
Belarus,2018,,7.6277045918008195,,,,,,,,,,,
Belarus,2019,,7.58145478501601,,,,,,,,,,,
Belarus,2020,,7.67606189331559,,,,,,,,,,,
Belgium,1985,,,,,,,7.66381146777249,,,,,,
Belgium,1988,,,,,,,7.64454878709324,,,,,,
Belgium,1992,,,,,,,7.75812822359581,,,,,,
Belgium,1995,,,,,,,,7.456642867308121,,,,,
Belgium,1997,,,,,,,7.63690113215659,,,,,,
Belgium,2000,,,,,,,,6.856185018090109,,,,,
Belgium,2003,,,,,,,,,7.46191247073757,,,,
Belgium,2004,,,,,,,,,7.16313302587933,,,,
Belgium,2005,,,,,,,,,7.27882683995529,,,,
Belgium,2006,,,,,,,,,7.430384558162779,,,,
Belgium,2007,,,,,,,,,7.30616129252802,,,,
Belgium,2008,,,,,,,,,7.41525082487417,,,,
Belgium,2009,,,,,,,,,7.43901734227671,,,,
Belgium,2010,,,,,,,,,7.482055782316251,,,,
Belgium,2011,,,,,,,,,7.51634973104837,,,,
Belgium,2012,,,,,,,,,7.60797614862714,,,,
Belgium,2013,,,,,,,,,7.54523424931271,,,,
Belgium,2014,,,,,,,,,7.47017343298776,,,,
Belgium,2015,,,,,,,,,7.553303534803291,,,,
Belgium,2016,,,,,,,,,7.628167634883621,,,,
Belgium,2017,,,,,,,,,7.63042721399802,,,,
Belgium,2018,,,,,,,,,7.64938744822193,,,,
Belgium,2019,,,,,,,,,7.60919971904071,,,,
Belize,1993,,,,,,,3.66945565360589,,,,,,
Belize,1994,,,,,,,3.65811643173574,,,,,,
Belize,1995,,3.37936868740375,,,,,,,,,,,
Belize,1996,,,,,,,,,3.95793406537003,,,,
Belize,1997,,,,,,,3.56876511207924,,,,,,
Belize,1998,,,,,,,3.96166388698421,,,,,,
Belize,1999,,,,,,,4.28641072869637,,,,,,
Benin,2003,5.88439726144672,,,,,,,,,,,,
Benin,2011,,5.2146656627236405,,,,,,,,,,,
Benin,2015,,5.36624703189583,,,,,,,,,,,
Benin,2018,,,5.96988567408477,,,,,,,,,,
Bhutan,2003,5.41015269730065,,,,,,,,,,,,
Bhutan,2007,,5.89352316031252,,,,,,,,,,,
Bhutan,2012,,5.85671462471093,,,,,,,,,,,
Bhutan,2017,,5.89007283636131,,,,,,,,,,,
Bolivia,1997,,,,,,,,3.72055326478166,,,,,
Bolivia,1999,,,,,,,,,3.49285547624704,,,,
Bolivia,2000,,,,,,,,,3.24557099264074,,,,
Bolivia,2001,,,,,,,,,,3.84735732835238,,,
Bolivia,2002,,,,,,,,,,,3.61977836288662,,
Bolivia,2004,,,,,,,,,,,4.070163638617879,,
Bolivia,2005,,,,,,,,,,,3.5896479910386,,
Bolivia,2006,,,,,,,,,,,3.7457793977162894,,
Bolivia,2007,,,,,,,,,,,3.84565140595573,,
Bolivia,2008,,,,,,,,,,,4.54149496057045,,
Bolivia,2009,,,,,,,,,,,4.84107767452312,,
Bolivia,2011,,,,,,,,,,,5.21354740859176,,
Bolivia,2012,,,,,,,,,,,5.15181965088691,,
Bolivia,2013,,,,,,,,,,,5.00809857644814,,
Bolivia,2014,,,,,,,,,,,4.977156853564161,,
Bolivia,2015,,,,,,,,,,,5.0894647764747,,
Bolivia,2016,,,,,,,,,,,5.28799106550795,,
Bolivia,2017,,,,,,,,,,,5.33075326157056,,
Bolivia,2018,,,,,,,,,,,5.60416913600091,,
Bolivia,2019,,,,,,,,,,,5.65207474072212,,
Bolivia,2020,,,,,,,,,,,5.42773293743588,,
Bolivia - urban,1990,,,,,,,5.3672088107222,,,,,,
Bolivia - urban,1992,,,,,,,4.70839830854691,,,,,,
Bosnia and Herzegovina,2001,7.09040164419578,,,,,,,,,,,,
Bosnia and Herzegovina,2004,6.5462611191758295,,,,,,,,,,,,
Bosnia and Herzegovina,2007,,6.64227761222773,,,,,,,,,,,
Bosnia and Herzegovina,2011,,6.665088228707599,,,,,,,,,,,
Botswana,1985,3.90920376902514,,,,,,,,,,,,
Botswana,1993,3.33796624763188,,,,,,,,,,,,
Botswana,2002,,2.61661871422168,,,,,,,,,,,
Botswana,2009,,3.19232855114173,,,,,,,,,,,
Botswana,2015,,3.90398824247502,,,,,,,,,,,
Brazil,1981,,,,,,,3.52595502091584,,,,,,
Brazil,1982,,,,,,,3.4474810885600102,,,,,,
