Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,16944.0,,,,,,,,,,,,
Albania,2002,,33337.0,,,,,,,,,,,
Albania,2005,,17800.0,,,,,,,,,,,
Albania,2008,,5892.0,,,,,,,,,,,
Albania,2012,,18003.0,,,,,,,,,,,
Albania,2014,,,29558.0,,,,,,,,,,
Albania,2015,,,3475.0,,,,,,,,,,
Albania,2016,,,4006.0,,,,,,,,,,
Albania,2017,,,11280.0,,,,,,,,,,
Albania,2018,,,,1379.0,,,,,,,,,
Albania,2019,,,,0.0,,,,,,,,,
Algeria,1988,1569347.0,,,,,,,,,,,,
Algeria,1995,,1659487.0,,,,,,,,,,,
Algeria,2011,,,166981.0,,,,,,,,,,
Angola,2000,3510083.0,,,,,,,,,,,,
Angola,2008,,3174611.0,,,,,,,,,,,
Angola,2018,,,9588624.0,,,,,,,,,,
Argentina - urban,1980,,,,,,,71452.0,,,,,,
Argentina - urban,1986,,,,,,,293557.0,,,,,,
Argentina - urban,1987,,,,,,,317511.0,,,,,,
Argentina - urban,1991,,,,,,,,280792.0,,,,,
Argentina - urban,1992,,,,,,,,491272.0,,,,,
Argentina - urban,1993,,,,,,,,589233.0,,,,,
Argentina - urban,1994,,,,,,,,578379.0,,,,,
Argentina - urban,1995,,,,,,,,1183846.0,,,,,
Argentina - urban,1996,,,,,,,,1313596.0,,,,,
Argentina - urban,1997,,,,,,,,1189211.0,,,,,
Argentina - urban,1998,,,,,,,,1270520.0,,,,,
Argentina - urban,1999,,,,,,,,1358503.0,,,,,
Argentina - urban,2000,,,,,,,,1639510.0,,,,,
Argentina - urban,2001,,,,,,,,2742016.0,,,,,
Argentina - urban,2002,,,,,,,,4198292.0,,,,,
Argentina - urban,2003,,,,,,,,,1803369.0,,,,
Argentina - urban,2004,,,,,,,,,1318876.0,,,,
Argentina - urban,2005,,,,,,,,,921325.0,,,,
