Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,3250.0,,,,,,,,,,,,
Albania,2002,,32093.0,,,,,,,,,,,
Albania,2005,,34410.0,,,,,,,,,,,
Albania,2008,,43938.0,,,,,,,,,,,
Albania,2012,,26871.0,,,,,,,,,,,
Albania,2014,,,54925.0,,,,,,,,,,
Albania,2015,,,108604.0,,,,,,,,,,
Albania,2016,,,123823.0,,,,,,,,,,
Albania,2017,,,113977.0,,,,,,,,,,
Albania,2018,,,,106720.0,,,,,,,,,
Albania,2019,,,,216275.0,,,,,,,,,
Algeria,1988,313180.0,,,,,,,,,,,,
Algeria,1995,,208080.0,,,,,,,,,,,
Algeria,2011,,,378432.0,,,,,,,,,,
Angola,2000,416941.0,,,,,,,,,,,,
Angola,2008,,283640.0,,,,,,,,,,,
Angola,2018,,,351319.0,,,,,,,,,,
Argentina - urban,1980,,,,,,,9184285.0,,,,,,
Argentina - urban,1986,,,,,,,10851028.0,,,,,,
Argentina - urban,1987,,,,,,,9715071.0,,,,,,
Argentina - urban,1991,,,,,,,,5862738.0,,,,,
Argentina - urban,1992,,,,,,,,6602948.0,,,,,
Argentina - urban,1993,,,,,,,,6780814.0,,,,,
Argentina - urban,1994,,,,,,,,6637394.0,,,,,
Argentina - urban,1995,,,,,,,,5835818.0,,,,,
Argentina - urban,1996,,,,,,,,5925617.0,,,,,
Argentina - urban,1997,,,,,,,,6624472.0,,,,,
Argentina - urban,1998,,,,,,,,6332479.0,,,,,
Argentina - urban,1999,,,,,,,,5928303.0,,,,,
Argentina - urban,2000,,,,,,,,6243417.0,,,,,
Argentina - urban,2001,,,,,,,,5546281.0,,,,,
Argentina - urban,2002,,,,,,,,3169121.0,,,,,
Argentina - urban,2003,,,,,,,,,5494583.0,,,,
Argentina - urban,2004,,,,,,,,,6471701.0,,,,
Argentina - urban,2005,,,,,,,,,7479231.0,,,,
Argentina - urban,2006,,,,,,,,,9001463.0,,,,
Argentina - urban,2007,,,,,,,,,9366876.0,,,,
Argentina - urban,2008,,,,,,,,,10180184.0,,,,
Argentina - urban,2009,,,,,,,,,10950726.0,,,,
Argentina - urban,2010,,,,,,,,,11279165.0,,,,
Argentina - urban,2011,,,,,,,,,12588780.0,,,,
Argentina - urban,2012,,,,,,,,,13097103.0,,,,
Argentina - urban,2013,,,,,,,,,13464839.0,,,,
Argentina - urban,2014,,,,,,,,,12183333.0,,,,
Argentina - urban,2016,,,,,,,,,12947751.0,,,,
Argentina - urban,2017,,,,,,,,,14365064.0,,,,
Argentina - urban,2018,,,,,,,,,12641009.0,,,,
Argentina - urban,2019,,,,,,,,,12117945.0,,,,
Argentina - urban,2020,,,,,,,,,10043347.0,,,,
Armenia,1996,,,,,,,53050.0,,,,,,
Armenia,1999,,17431.0,,,,,,,,,,,
Armenia,2001,,10940.0,,,,,,,,,,,
Armenia,2002,,15673.0,,,,,,,,,,,
Armenia,2003,,15535.0,,,,,,,,,,,
Armenia,2004,,41472.0,,,,,,,,,,,
Armenia,2005,,46783.0,,,,,,,,,,,
Armenia,2006,,17952.0,,,,,,,,,,,
Armenia,2007,,20771.0,,,,,,,,,,,
Armenia,2008,,13387.0,,,,,,,,,,,
Armenia,2009,,10761.0,,,,,,,,,,,
Armenia,2010,,16540.0,,,,,,,,,,,
Armenia,2011,,18536.0,,,,,,,,,,,
Armenia,2012,,25947.0,,,,,,,,,,,
Armenia,2013,,18840.0,,,,,,,,,,,
Armenia,2014,,38202.0,,,,,,,,,,,
Armenia,2015,,53383.0,,,,,,,,,,,
Armenia,2016,,24788.0,,,,,,,,,,,
Armenia,2017,,44086.0,,,,,,,,,,,
Armenia,2018,,64360.0,,,,,,,,,,,
Armenia,2019,,,21920.0,,,,,,,,,,
Armenia,2020,,,11666.0,,,,,,,,,,
Australia,1981,,,,,,,8210842.0,,,,,,
Australia,1985,,,,,,,,8771769.0,,,,,
Australia,1989,,,,,,,,,9668381.0,,,,
Australia,1995,,,,,,,,,9487892.0,,,,
Australia,2001,,,,,,,,,11697771.0,,,,
Australia,2003,,,,,,,,,12442293.0,,,,
Australia,2004,,,,,,,,,,13888265.0,,,
Australia,2008,,,,,,,,,17068823.0,,,,
Australia,2010,,,,,,,,,,17843146.0,,,
Australia,2014,,,,,,,,,20013499.0,,,,
Australia,2016,,,,,,,,,20444270.0,,,,
Australia,2018,,,,,,,,,21173814.0,,,,
