Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,80.22637929516266,,,,,,,,,,,,
Albania,2002,,80.05450064552109,,,,,,,,,,,
Albania,2005,,77.61802012762547,,,,,,,,,,,
Albania,2008,,75.83295338375679,,,,,,,,,,,
Albania,2012,,76.50663543478338,,,,,,,,,,,
Albania,2014,,,75.1262951076514,,,,,,,,,,
Albania,2015,,,70.85176508287445,,,,,,,,,,
Albania,2016,,,69.95220768968865,,,,,,,,,,
Albania,2017,,,69.96970330031755,,,,,,,,,,
Albania,2018,,,,67.53805784440067,,,,,,,,,
Albania,2019,,,,63.30008612916049,,,,,,,,,
Algeria,1988,83.01591909830677,,,,,,,,,,,,
Algeria,1995,,99.9990014578458,,,,,,,,,,,
Algeria,2011,,,77.08871787880611,,,,,,,,,,
Angola,2000,84.27449486786472,,,,,,,,,,,,
Angola,2008,,84.46702508289397,,,,,,,,,,,
Angola,2018,,,87.75495551152025,,,,,,,,,,
Argentina - urban,1980,,,,,,,49.51173360734473,,,,,,
Argentina - urban,1986,,,,,,,48.618051062048345,,,,,,
Argentina - urban,1987,,,,,,,52.61133176267215,,,,,,
Argentina - urban,1991,,,,,,,,61.59895149731879,,,,,
Argentina - urban,1992,,,,,,,,60.50885690260597,,,,,
Argentina - urban,1993,,,,,,,,59.53285121182022,,,,,
Argentina - urban,1994,,,,,,,,60.72969304307064,,,,,
Argentina - urban,1995,,,,,,,,64.09615525878637,,,,,
Argentina - urban,1996,,,,,,,,64.80003719066056,,,,,
Argentina - urban,1997,,,,,,,,63.64777365348751,,,,,
Argentina - urban,1998,,,,,,,,65.15504005227186,,,,,
Argentina - urban,1999,,,,,,,,65.38553179469132,,,,,
Argentina - urban,2000,,,,,,,,66.57524910930557,,,,,
Argentina - urban,2001,,,,,,,,69.16111904307549,,,,,
Argentina - urban,2002,,,,,,,,75.7468122798602,,,,,
