Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,3.4648829861108354,,,,,,,,,,,,
Albania,2002,,3.323764494335,,,,,,,,,,,
Albania,2005,,3.87621424506334,,,,,,,,,,,
Albania,2008,,4.174595534510064,,,,,,,,,,,
Albania,2012,,4.095173462966483,,,,,,,,,,,
Albania,2014,,,4.122502047362326,,,,,,,,,,
Albania,2015,,,4.913672194384565,,,,,,,,,,
Albania,2016,,,5.109967318981403,,,,,,,,,,
Albania,2017,,,5.062903586801244,,,,,,,,,,
Albania,2018,,,,5.78464749836736,,,,,,,,,
Albania,2019,,,,6.498987732579384,,,,,,,,,
Algeria,1988,2.965695463635506,,,,,,,,,,,,
Algeria,1995,,3.071627467796329,,,,,,,,,,,
Algeria,2011,,,4.29511540811169,,,,,,,,,,
Angola,2000,1.556191998755991,,,,,,,,,,,,
Angola,2008,,1.5661091369648656,,,,,,,,,,,
Angola,2018,,,1.141172721578288,,,,,,,,,,
Argentina - urban,1980,,,,,,,10.526286689847376,,,,,,
Argentina - urban,1986,,,,,,,10.75376330248025,,,,,,
Argentina - urban,1987,,,,,,,9.478731981509007,,,,,,
Argentina - urban,1991,,,,,,,,6.407423137220841,,,,,
Argentina - urban,1992,,,,,,,,6.701153763994992,,,,,
Argentina - urban,1993,,,,,,,,6.848951908913927,,,,,
Argentina - urban,1994,,,,,,,,6.622673392806203,,,,,
Argentina - urban,1995,,,,,,,,6.121953126068829,,,,,
Argentina - urban,1996,,,,,,,,5.87328525032791,,,,,
Argentina - urban,1997,,,,,,,,6.289170624989285,,,,,
Argentina - urban,1998,,,,,,,,5.753836609788761,,,,,
Argentina - urban,1999,,,,,,,,5.714300553690021,,,,,
Argentina - urban,2000,,,,,,,,5.434810453688901,,,,,
Argentina - urban,2001,,,,,,,,4.850281223417665,,,,,
Argentina - urban,2002,,,,,,,,3.3272048225009234,,,,,
Argentina - urban,2003,,,,,,,,,4.9139547600935485,,,,
Argentina - urban,2004,,,,,,,,,5.700626398905637,,,,
Argentina - urban,2005,,,,,,,,,6.330114489565834,,,,
Argentina - urban,2006,,,,,,,,,7.235574904253883,,,,
Argentina - urban,2007,,,,,,,,,7.47443795427536,,,,
Argentina - urban,2008,,,,,,,,,7.811586209848416,,,,
Argentina - urban,2009,,,,,,,,,8.340676112212998,,,,
Argentina - urban,2010,,,,,,,,,8.5776920037875,,,,
