Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,1.8882521489971344,,,,,,,,,,,,
Albania,2002,,2.0896860986547083,,,,,,,,,,,
Albania,2005,,1.97948717948718,,,,,,,,,,,
Albania,2008,,1.9571428571428573,,,,,,,,,,,
Albania,2012,,1.941747572815534,,,,,,,,,,,
Albania,2014,,,2.299155609167672,,,,,,,,,,
Albania,2015,,,2.230535894843276,,,,,,,,,,
Albania,2016,,,2.252918287937743,,,,,,,,,,
Albania,2017,,,2.2318271119842827,,,,,,,,,,
Albania,2018,,,,2.0034364261168385,,,,,,,,,
Albania,2019,,,,2.1085626911314983,,,,,,,,,
Algeria,1988,2.2738738738738737,,,,,,,,,,,,
Algeria,1995,,2.2817391304347825,,,,,,,,,,,
Algeria,2011,,,1.8731343283582087,,,,,,,,,,
Angola,2000,3.100642398286938,,,,,,,,,,,,
Angola,2008,,2.6737739872068227,,,,,,,,,,,
Angola,2018,,,3.1345029239766085,,,,,,,,,,
Argentina - urban,1980,,,,,,,2.5583735909822867,,,,,,
Argentina - urban,1986,,,,,,,2.752565114443568,,,,,,
Argentina - urban,1987,,,,,,,2.864816472694718,,,,,,
Argentina - urban,1991,,,,,,,,2.8968253968253967,,,,,
Argentina - urban,1992,,,,,,,,2.9962073324905183,,,,,
Argentina - urban,1993,,,,,,,,2.8929455445544554,,,,,
Argentina - urban,1994,,,,,,,,2.93213828425096,,,,,
Argentina - urban,1995,,,,,,,,3.2295988934993085,,,,,
Argentina - urban,1996,,,,,,,,3.229768786127168,,,,,
Argentina - urban,1997,,,,,,,,3.2523616734143053,,,,,
Argentina - urban,1998,,,,,,,,3.384955752212389,,,,,
Argentina - urban,1999,,,,,,,,3.285185185185185,,,,,
Argentina - urban,2000,,,,,,,,3.4140625,,,,,
Argentina - urban,2001,,,,,,,,3.642732049036778,,,,,
Argentina - urban,2002,,,,,,,,3.584183673469388,,,,,
Argentina - urban,2003,,,,,,,,,3.349137931034483,,,,
Argentina - urban,2004,,,,,,,,,3.146359583952452,,,,
Argentina - urban,2005,,,,,,,,,3.039544235924933,,,,
Argentina - urban,2006,,,,,,,,,2.895662368112544,,,,
Argentina - urban,2007,,,,,,,,,2.908626560726447,,,,
Argentina - urban,2008,,,,,,,,,2.820304017372421,,,,
Argentina - urban,2009,,,,,,,,,2.710873983739837,,,,
Argentina - urban,2010,,,,,,,,,2.7101879327398617,,,,
Argentina - urban,2011,,,,,,,,,2.711234911792015,,,,
Argentina - urban,2012,,,,,,,,,2.5960658737419946,,,,
Argentina - urban,2013,,,,,,,,,2.5696942446043165,,,,
Argentina - urban,2014,,,,,,,,,2.66256157635468,,,,
Argentina - urban,2016,,,,,,,,,2.648305084745763,,,,
Argentina - urban,2017,,,,,,,,,2.58635961027458,,,,
Argentina - urban,2018,,,,,,,,,2.587463556851312,,,,
Argentina - urban,2019,,,,,,,,,2.6822381930184807,,,,
Argentina - urban,2020,,,,,,,,,2.676914153132251,,,,
Armenia,1996,,,,,,,2.6893617021276595,,,,,,
Armenia,1999,,2.2111959287531806,,,,,,,,,,,
Armenia,2001,,2.2917771883289126,,,,,,,,,,,
Armenia,2002,,2.230379746835443,,,,,,,,,,,
Armenia,2003,,2.009592326139089,,,,,,,,,,,
Armenia,2004,,2.260869565217391,,,,,,,,,,,
Armenia,2005,,2.161764705882353,,,,,,,,,,,
Armenia,2006,,1.9245283018867925,,,,,,,,,,,
Armenia,2007,,2.046875,,,,,,,,,,,
Armenia,2008,,1.9579579579579576,,,,,,,,,,,
Armenia,2009,,1.953020134228188,,,,,,,,,,,
Armenia,2010,,1.9864864864864864,,,,,,,,,,,
Armenia,2011,,1.9385113268608416,,,,,,,,,,,
Armenia,2012,,1.9246467817896389,,,,,,,,,,,
Armenia,2013,,1.987878787878788,,,,,,,,,,,
Armenia,2014,,1.9583952451708768,,,,,,,,,,,
Armenia,2015,,1.918424753867792,,,,,,,,,,,
Armenia,2016,,1.953307392996109,,,,,,,,,,,
