Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,8.842898718621327e-07,,,,,,,,,,,,
Albania,2002,,8.92856600075322e-05,,,,,,,,,,,
Albania,2005,,0.0,,,,,,,,,,,
Albania,2008,,0.0,,,,,,,,,,,
Albania,2012,,6.869646519214125e-06,,,,,,,,,,,
Albania,2014,,,0.0,,,,,,,,,,
Albania,2015,,,0.0,,,,,,,,,,
Albania,2016,,,0.0,,,,,,,,,,
Albania,2017,,,0.0,,,,,,,,,,
Albania,2018,,,,0.0,,,,,,,,,
Albania,2019,,,,0.0,,,,,,,,,
Algeria,1988,0.0,,,,,,,,,,,,
Algeria,1995,,0.0004060405310454,,,,,,,,,,,
Algeria,2011,,,0.0007166292696225,,,,,,,,,,
Angola,2000,0.0161971571017112,,,,,,,,,,,,
Angola,2008,,0.0007838146467048,,,,,,,,,,,
Angola,2018,,,0.0126776712778328,,,,,,,,,,
Argentina - urban,1980,,,,,,,0.0012394360351562,,,,,,
Argentina - urban,1986,,,,,,,0.011022474564092,,,,,,
Argentina - urban,1987,,,,,,,0.007880117956374,,,,,,
Argentina - urban,1991,,,,,,,,0.0045805055725053,,,,,
Argentina - urban,1992,,,,,,,,0.00845987393807,,,,,
Argentina - urban,1993,,,,,,,,0.0084192145169148,,,,,
Argentina - urban,1994,,,,,,,,0.0115719586819824,,,,,
Argentina - urban,1995,,,,,,,,0.0152683440600938,,,,,
Argentina - urban,1996,,,,,,,,0.020530217521643,,,,,
Argentina - urban,1997,,,,,,,,0.0152459667572851,,,,,
Argentina - urban,1998,,,,,,,,0.0122109617517462,,,,,
Argentina - urban,1999,,,,,,,,0.0153374353826883,,,,,
Argentina - urban,2000,,,,,,,,0.0152464581160106,,,,,
Argentina - urban,2001,,,,,,,,0.0263462052520026,,,,,
Argentina - urban,2002,,,,,,,,0.0138205813863142,,,,,
Argentina - urban,2003,,,,,,,,,0.0055052511946387,,,,
Argentina - urban,2004,,,,,,,,,0.0032277416785084,,,,
Argentina - urban,2005,,,,,,,,,0.0026683944607204,,,,
Argentina - urban,2006,,,,,,,,,0.00200691299623,,,,
Argentina - urban,2007,,,,,,,,,0.0025818029867786,,,,
Argentina - urban,2008,,,,,,,,,0.0020984032951841,,,,
Argentina - urban,2009,,,,,,,,,0.0018718543377097,,,,
Argentina - urban,2010,,,,,,,,,0.0013865788059129,,,,
Argentina - urban,2011,,,,,,,,,0.0012204073626429,,,,
Argentina - urban,2012,,,,,,,,,0.0011865554805664,,,,
Argentina - urban,2013,,,,,,,,,0.0015496809624412,,,,
Argentina - urban,2014,,,,,,,,,0.0013873577302514,,,,
Argentina - urban,2016,,,,,,,,,0.0012642356909007,,,,
Argentina - urban,2017,,,,,,,,,0.0013165422959944,,,,
Argentina - urban,2018,,,,,,,,,0.0011126297837685,,,,
Argentina - urban,2019,,,,,,,,,0.0013395940443411,,,,
Argentina - urban,2020,,,,,,,,,0.0018934567846835,,,,
Armenia,1996,,,,,,,0.0010903702462052,,,,,,
Armenia,1999,,0.0001934049413126,,,,,,,,,,,
Armenia,2001,,0.0009738249814009,,,,,,,,,,,
Armenia,2002,,0.0002451568619113,,,,,,,,,,,
Armenia,2003,,7.505617664765249e-05,,,,,,,,,,,
Armenia,2004,,0.0003112107041736,,,,,,,,,,,
Armenia,2005,,2.5995605153297947e-05,,,,,,,,,,,
Armenia,2006,,1.9871522987652405e-05,,,,,,,,,,,
Armenia,2007,,4.856401946976954e-05,,,,,,,,,,,
Armenia,2008,,3.384753003998375e-05,,,,,,,,,,,
Armenia,2009,,2.9335422059530875e-06,,,,,,,,,,,
Armenia,2010,,2.3188774134506023e-05,,,,,,,,,,,
Armenia,2011,,7.207227473028291e-07,,,,,,,,,,,
Armenia,2012,,6.914657667010558e-06,,,,,,,,,,,
Armenia,2013,,1.481308770742966e-05,,,,,,,,,,,
Armenia,2014,,2.244835943851983e-05,,,,,,,,,,,
Armenia,2015,,1.652068662922341e-05,,,,,,,,,,,
Armenia,2016,,3.789885751926302e-05,,,,,,,,,,,
Armenia,2017,,1.4131466919756898e-06,,,,,,,,,,,
Armenia,2018,,8.096044972431803e-07,,,,,,,,,,,
Armenia,2019,,,0.0,,,,,,,,,,
Armenia,2020,,,0.0,,,,,,,,,,
Australia,1981,,,,,,,0.0019184955697195,,,,,,
Australia,1985,,,,,,,,0.0025082906360774,,,,,
Australia,1989,,,,,,,,,0.0024606453335266,,,,
Australia,1995,,,,,,,,,0.0044245003912508,,,,
Australia,2001,,,,,,,,,0.0043358721880802,,,,
Australia,2003,,,,,,,,,0.0056076211767589,,,,
Australia,2004,,,,,,,,,,0.0032081826641134,,,
Australia,2008,,,,,,,,,0.0017172121842933,,,,
Australia,2010,,,,,,,,,,0.0015832754428537,,,
Australia,2014,,,,,,,,,0.002419886299562,,,,
Australia,2016,,,,,,,,,0.0018292021180871,,,,
Australia,2018,,,,,,,,,0.0025099763378363,,,,
Austria,1987,,,,,,,0.0,,,,,,
Austria,1994,,,,,,,,0.0021147430835282,,,,,
Austria,1995,,,,,,,0.0084222102006555,,,,,,
Austria,1997,,,,,,,,0.0011900497185723,,,,,
Austria,2000,,,,,,,,0.0,,,,,
Austria,2003,,,,,,,,,0.00156226001302,,,,
Austria,2004,,,,,,,,,0.0005096001363736,,,,
Austria,2005,,,,,,,,,0.0006334316351378,,,,
Austria,2006,,,,,,,,,8.914980776294367e-05,,,,
Austria,2007,,,,,,,,,0.0018471216480984,,,,
Austria,2008,,,,,,,,,0.0010336261057325,,,,
Austria,2009,,,,,,,,,0.0033631410709878,,,,
Austria,2010,,,,,,,,,0.0020442079288507,,,,
Austria,2011,,,,,,,,,0.0020019742834773,,,,
Austria,2012,,,,,,,,,0.0027614785106388,,,,
Austria,2013,,,,,,,,,0.0011618336548336,,,,
Austria,2014,,,,,,,,,0.0009458744964431,,,,
Austria,2015,,,,,,,,,0.0048141023869257,,,,
Austria,2016,,,,,,,,,0.0045246571507041,,,,
Austria,2017,,,,,,,,,0.0017165998679998,,,,
Austria,2018,,,,,,,,,0.0036162727787906,,,,
Austria,2019,,,,,,,,,0.0030585363794318,,,,
Azerbaijan,1995,0.0030498576483115,,,,,,,,,,,,
Azerbaijan,2001,,0.0001121638248749,,,,,,,,,,,
Azerbaijan,2002,,0.0,,,,,,,,,,,
Azerbaijan,2003,,0.0,,,,,,,,,,,
Azerbaijan,2004,,0.0,,,,,,,,,,,
Azerbaijan,2005,,0.0,,,,,,,,,,,
Bangladesh,1983,0.0025462265491593,,,,,,,,,,,,
Bangladesh,1985,0.0004128868496975,,,,,,,,,,,,
Bangladesh,1988,0.0004787431386314,,,,,,,,,,,,
Bangladesh,1991,,0.0008239443889514,,,,,,,,,,,
Bangladesh,1995,,0.0003685577526201,,,,,,,,,,,
Bangladesh,2000,,,0.000308631961753,,,,,,,,,,
Bangladesh,2005,,,0.0001090839013059,,,,,,,,,,
Bangladesh,2010,,,8.191729738797287e-05,,,,,,,,,,
Bangladesh,2016,,,6.030881628957394e-05,,,,,,,,,,
Belarus,1993,,,,,,,3.5489774952455165e-05,,,,,,
Belarus,1995,,,,,,,0.0027065299195402,,,,,,
Belarus,1998,,0.0012689887666268,,,,,,,,,,,
Belarus,1999,,0.0014333191767203,,,,,,,,,,,
Belarus,2000,,0.0011299368434242,,,,,,,,,,,
Belarus,2001,,0.0002952471165562,,,,,,,,,,,
Belarus,2002,,0.0002654477999671,,,,,,,,,,,
Belarus,2003,,0.0001837022268406,,,,,,,,,,,
Belarus,2004,,8.084794938132531e-06,,,,,,,,,,,
Belarus,2005,,0.0,,,,,,,,,,,
Belarus,2006,,6.712549706091184e-05,,,,,,,,,,,
Belarus,2007,,0.0,,,,,,,,,,,
Belarus,2008,,0.0,,,,,,,,,,,
Belarus,2009,,4.163581192696623e-06,,,,,,,,,,,
Belarus,2010,,0.0,,,,,,,,,,,
Belarus,2011,,0.0,,,,,,,,,,,
Belarus,2012,,0.0,,,,,,,,,,,
Belarus,2013,,0.0,,,,,,,,,,,
Belarus,2014,,0.0,,,,,,,,,,,
Belarus,2015,,0.0,,,,,,,,,,,
Belarus,2016,,0.0,,,,,,,,,,,
Belarus,2017,,0.0,,,,,,,,,,,
Belarus,2018,,0.0,,,,,,,,,,,
Belarus,2019,,0.0,,,,,,,,,,,
Belarus,2020,,0.0,,,,,,,,,,,
Belgium,1985,,,,,,,0.0008061494449233,,,,,,
Belgium,1988,,,,,,,0.0042374377570505,,,,,,
Belgium,1992,,,,,,,0.0069567882775287,,,,,,
Belgium,1995,,,,,,,,0.0029138597764347,,,,,
Belgium,1997,,,,,,,0.0015885281582164,,,,,,
Belgium,2000,,,,,,,,0.0028862758784733,,,,,
Belgium,2003,,,,,,,,,0.001083851955246,,,,
Belgium,2004,,,,,,,,,0.0001472512161375,,,,
Belgium,2005,,,,,,,,,0.0009223667913021,,,,
Belgium,2006,,,,,,,,,0.0008397264469193,,,,
Belgium,2007,,,,,,,,,0.0005664323096576,,,,
Belgium,2008,,,,,,,,,0.0005265519001108,,,,
Belgium,2009,,,,,,,,,0.0003787712980887,,,,
