Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6
Albania,1996,99.91246507775932,,,,,
Albania,2002,,99.63838560500017,,,,
Albania,2005,,99.4344584351572,,,,
Albania,2008,,99.0158642448724,,,,
Albania,2012,,99.61829859921708,,,,
Albania,2014,,,99.12648854074304,,,
Albania,2015,,,98.35724035400422,,,
Albania,2016,,,97.88307666824616,,,
Albania,2017,,,98.275043101787,,,
Albania,2018,,,,98.34705795318143,,
Albania,2019,,,,95.80728326378272,,
Algeria,1988,99.02948164020016,,,,,
Algeria,1995,,99.6575140552302,,,,
Algeria,2011,,,99.3888816445744,,,
Angola,2000,99.07764923342076,,,,,
Angola,2008,,99.71062656435812,,,,
Angola,2018,,,99.64931395418476,,,
Armenia,1999,,99.6329370514436,,,,
Armenia,2001,,99.73055750109212,,,,
Armenia,2002,,99.65560425798373,,,,
Armenia,2003,,99.58402662229616,,,,
Armenia,2004,,99.0353584958608,,,,
Armenia,2005,,98.76930623758813,,,,
Armenia,2006,,99.67619435158848,,,,
Armenia,2007,,99.43184209883316,,,,
Armenia,2008,,99.63913655978348,,,,
Armenia,2009,,99.82692212702028,,,,
Armenia,2010,,99.66200274700304,,,,
Armenia,2011,,99.5902181449931,,,,
Armenia,2012,,99.3182187351982,,,,
Armenia,2013,,99.60308137610764,,,,
Armenia,2014,,98.96194144173452,,,,
Armenia,2015,,98.59429213296563,,,,
Armenia,2016,,99.49424165774798,,,,
Armenia,2017,,98.7966373572616,,,,
Armenia,2018,,98.26598174502205,,,,
Armenia,2019,,,99.5320794571435,,,
Armenia,2020,,,99.7965521091558,,,
Azerbaijan,1995,99.66861757517424,,,,,
Azerbaijan,2001,,98.78965262030404,,,,
Azerbaijan,2002,,99.02539703406072,,,,
Azerbaijan,2003,,98.8589315343524,,,,
Azerbaijan,2004,,98.53247419326448,,,,
Azerbaijan,2005,,98.26106352596574,,,,
Bangladesh,1983,99.999,,,,,
Bangladesh,1985,99.999,,,,,
Bangladesh,1988,99.999,,,,,
Bangladesh,1991,,99.98792607844376,,,,
Bangladesh,1995,,99.91299117027616,,,,
Bangladesh,2000,,,99.96514179552244,,,
Bangladesh,2005,,,99.9199998345986,,,
Bangladesh,2010,,,99.87636378548991,,,
Bangladesh,2016,,,99.8255283937494,,,
Belarus,1998,,99.87555107947976,,,,
Belarus,1999,,99.93687370008408,,,,
Belarus,2000,,99.85309726355742,,,,
Belarus,2001,,99.71476974371863,,,,
Belarus,2002,,99.61950177403776,,,,
Belarus,2003,,99.77161855778476,,,,
Belarus,2004,,99.69986246207264,,,,
Belarus,2005,,98.98844638321891,,,,
Belarus,2006,,98.31172617585716,,,,
Belarus,2007,,96.47964299802784,,,,
Belarus,2008,,96.5305628415038,,,,
Belarus,2009,,96.20690115014908,,,,
Belarus,2010,,93.04538846553989,,,,
Belarus,2011,,93.98767839716592,,,,
Belarus,2012,,91.34087272135588,,,,
Belarus,2013,,87.78698630367936,,,,
Belarus,2014,,85.89526118772442,,,,
Belarus,2015,,89.79242673480377,,,,
Belarus,2016,,91.51764762768214,,,,
Belarus,2017,,90.16390378782896,,,,
Belarus,2018,,87.61365389446122,,,,
Belarus,2019,,85.2543397620413,,,,
Belarus,2020,,85.27941736365929,,,,
Belize,1995,,90.1513756399396,,,,
Benin,2003,99.86903624389298,,,,,
Benin,2011,,99.91556783250154,,,,
Benin,2015,,99.87610681243984,,,,
Benin,2018,,,99.7153824522604,,,
Bhutan,2003,99.26636031996892,,,,,
Bhutan,2007,,99.47354777369756,,,,
Bhutan,2012,,98.1412673357694,,,,
Bhutan,2017,,98.80505089605548,,,,
Bosnia and Herzegovina,2001,97.56264381365588,,,,,
Bosnia and Herzegovina,2004,86.48845198298012,,,,,
Bosnia and Herzegovina,2007,,82.6862303499157,,,,
Bosnia and Herzegovina,2011,,84.76714987744872,,,,
Botswana,1985,98.99336170770768,,,,,
Botswana,1993,98.78039034616712,,,,,
Botswana,2002,,94.30385497271752,,,,
Botswana,2009,,94.40316844027106,,,,
Botswana,2015,,96.72322714638511,,,,
Bulgaria,1989,82.43444443607446,,,,,
Bulgaria,1994,97.47250433518133,,,,,
Bulgaria,1995,,,,96.6528640441684,,
Bulgaria,1997,,,99.70028077837112,,,
Bulgaria,2001,,,,98.33757876390936,,
Bulgaria,2003,,,,,99.03281096923328,
Bulgaria,2007,,,,,97.95283328570618,
Burkina Faso,1994,99.93677768539914,,,,,
Burkina Faso,1998,,99.8619832071002,,,,
Burkina Faso,2003,,99.91846909786788,,,,
Burkina Faso,2009,,,99.89654462119694,,,
Burkina Faso,2014,,,,99.92305583126856,,
Burkina Faso,2018,,,,,99.51128853621708,
Burundi,1992,99.999,,,,,
Burundi,1998,,99.98689865838276,,,,
Burundi,2006,,100.0,,,,
Burundi,2013,,99.98108570490072,,,,
Cameroon,1996,99.76837662985145,,,,,
Cameroon,2001,,99.49022089818568,,,,
Cameroon,2007,,99.70695022124852,,,,
Cameroon,2014,,99.26948313955192,,,,
