Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6
Albania,1996,13.73725733855936,,,,,
Albania,2002,,14.300068579635235,,,,
Albania,2005,,19.447331270394244,,,,
Albania,2008,,23.164843269723605,,,,
Albania,2012,,22.548458922070157,,,,
Albania,2014,,,27.54080308729138,,,
Albania,2015,,,36.18186008500212,,,
Albania,2016,,,38.0840638881643,,,
Albania,2017,,,37.794613643477554,,,
Albania,2018,,,,45.60016084077445,,
Albania,2019,,,,51.96323687053978,,
Algeria,1988,12.112570725104874,,,,,
Algeria,1995,,14.147869232969938,,,,
Algeria,2011,,,22.699102561693365,,,
Angola,2000,6.010684622628517,,,,,
Angola,2008,,4.109142970048325,,,,
Angola,2018,,,2.7958030442523523,,,
Armenia,1999,,4.810168191530167,,,,
Armenia,2001,,5.137270748866996,,,,
Armenia,2002,,5.08244625339178,,,,
Armenia,2003,,4.1493344425956735,,,,
Armenia,2004,,8.029325101725831,,,,
Armenia,2005,,9.252602666039536,,,,
Armenia,2006,,9.380635617431622,,,,
Armenia,2007,,14.22744779220207,,,,
Armenia,2008,,14.56682921613816,,,,
Armenia,2009,,10.452166614598411,,,,
Armenia,2010,,10.381912838040703,,,,
Armenia,2011,,11.591521250353368,,,,
Armenia,2012,,11.47316900809686,,,,
Armenia,2013,,14.892615040259926,,,,
Armenia,2014,,13.816114144364391,,,,
Armenia,2015,,15.557490928623835,,,,
Armenia,2016,,22.443744138387032,,,,
Armenia,2017,,16.751776376694522,,,,
Armenia,2018,,15.359605271748237,,,,
Armenia,2019,,,12.688227929376367,,,
Armenia,2020,,,10.74197072108032,,,
Azerbaijan,1995,9.698348012820247,,,,,
Azerbaijan,2001,,15.025761099812712,,,,
Azerbaijan,2002,,23.08678232758064,,,,
Azerbaijan,2003,,27.52834718508406,,,,
Azerbaijan,2004,,26.76365620012237,,,,
Azerbaijan,2005,,35.826003016749105,,,,
Bangladesh,1983,0.2492971007373654,,,,,
Bangladesh,1985,0.7877334469483088,,,,,
Bangladesh,1988,0.7508349395651663,,,,,
Bangladesh,1991,,0.3504501978714103,,,,
Bangladesh,1995,,1.8386273416313517,,,,
Bangladesh,2000,,,1.860633018206812,,,
Bangladesh,2005,,,2.475387444489201,,,
Bangladesh,2010,,,2.508079276023849,,,
Bangladesh,2016,,,2.988495801836791,,,
Belarus,1998,,4.062509264262033,,,,
Belarus,1999,,4.655614709918453,,,,
Belarus,2000,,6.564577856365176,,,,
Belarus,2001,,12.57206147480818,,,,
Belarus,2002,,15.870075920870208,,,,
Belarus,2003,,18.46158774260488,,,,
Belarus,2004,,23.98087247120921,,,,
Belarus,2005,,38.95017668537656,,,,
Belarus,2006,,50.01598235167869,,,,
Belarus,2007,,57.59728116881453,,,,
Belarus,2008,,62.51165425748193,,,,
Belarus,2009,,63.70613735683388,,,,
Belarus,2010,,66.57784737758898,,,,
Belarus,2011,,71.64691144732271,,,,
Belarus,2012,,76.32448789481796,,,,
Belarus,2013,,77.74648500051067,,,,
Belarus,2014,,76.87564685780356,,,,
Belarus,2015,,77.50540483277045,,,,
Belarus,2016,,78.33324299073048,,,,
Belarus,2017,,78.66662465993812,,,,
Belarus,2018,,79.08606540357326,,,,
Belarus,2019,,78.49190566779535,,,,
Belarus,2020,,80.45831223473738,,,,
Belize,1995,,29.96943022356452,,,,
Benin,2003,1.372002667956096,,,,,
Benin,2011,,2.67342114875558,,,,
Benin,2015,,3.029757518680995,,,,
Benin,2018,,,5.0693320795855215,,,
Bhutan,2003,7.67397340743473,,,,,
Bhutan,2007,,11.831905511103557,,,,
Bhutan,2012,,20.309813139723147,,,,
Bhutan,2017,,27.79701760347093,,,,
Bosnia and Herzegovina,2001,51.919918527279904,,,,,
Bosnia and Herzegovina,2004,63.5157903180646,,,,,
Bosnia and Herzegovina,2007,,64.20906050155946,,,,
Bosnia and Herzegovina,2011,,64.45953892630467,,,,
Botswana,1985,6.608584065344914,,,,,
Botswana,1993,9.58032599600716,,,,,
Botswana,2002,,14.912435333989336,,,,
Botswana,2009,,18.23202269110361,,,,
Botswana,2015,,18.832792281321872,,,,
Bulgaria,1989,78.67763535404322,,,,,
Bulgaria,1994,63.50933538986883,,,,,
Bulgaria,1995,,,,45.97998619737751,,
Bulgaria,1997,,,12.287371424720462,,,
Bulgaria,2001,,,,34.17348169995978,,
Bulgaria,2003,,,,,27.95053862245041,
Bulgaria,2007,,,,,54.09433335846676,
Burkina Faso,1994,0.637560130143072,,,,,
Burkina Faso,1998,,1.2935826452818588,,,,
Burkina Faso,2003,,1.4312910666894822,,,,
Burkina Faso,2009,,,1.4797625496448603,,,
Burkina Faso,2014,,,,1.7208331722901562,,
Burkina Faso,2018,,,,,7.426272142131978,
Burundi,1992,0.0,,,,,
Burundi,1998,,0.4025549110603208,,,,
Burundi,2006,,0.2968027531678388,,,,
Burundi,2013,,0.5886022526775605,,,,
Cameroon,1996,3.4212402439460874,,,,,
Cameroon,2001,,5.088273230627124,,,,
Cameroon,2007,,5.322263868967397,,,,
Cameroon,2014,,10.006283619097232,,,,
Cape Verde,2001,13.342199805815769,,,,,
Cape Verde,2007,,18.059930358759743,,,,
Cape Verde,2015,,,25.679150716985237,,,
Central African Republic,1992,1.0328508037386823,,,,,
Central African Republic,2008,,2.420698031443422,,,,
Chad,2003,0.9486748037205928,,,,,
Chad,2011,3.257108284751027,,,,,
Chad,2018,,2.8898886675516167,,,,
China,1990,,0.2007379502596791,,,,
China,1993,,0.5910848584698698,,,,
China,1996,,1.42197238470294,,,,
China,1999,,2.3394807832239195,,,,
China,2002,,4.518102554563839,,,,
China,2005,,8.69005678751536,,,,
China,2008,,13.99866557294699,,,,
China,2010,,18.66929778638027,,,,
China,2011,,20.959412249607965,,,,
China,2012,,24.48757754830652,,,,
China,2013,,,28.69654003552067,,,
China,2014,,,32.39784545348641,,,
China,2015,,,35.558400584144884,,,
China,2016,,,38.26431903554508,,,
China,2017,,,40.01189350588391,,,
China,2018,,,43.06104042369577,,,
China,2019,,,45.45139980394776,,,
China - rural,1990,,0.2728975098994084,,,,
China - rural,1993,,0.2685009765624784,,,,
China - rural,1996,,0.8995986425046851,,,,
China - rural,1999,,1.0269258835146644,,,,
China - rural,2002,,1.591212436142186,,,,
China - rural,2005,,2.6454905903141537,,,,
China - rural,2008,,4.057388071901883,,,,
China - rural,2010,,5.319195379263164,,,,
China - rural,2011,,6.18447882005421,,,,
China - rural,2012,,7.938332546164162,,,,
China - rural,2013,,,11.940396825666724,,,
China - rural,2014,,,14.8778781716872,,,
China - rural,2015,,,17.750153807492282,,,
China - rural,2016,,,20.35335516573824,,,
China - rural,2017,,,22.884401637872017,,,
China - rural,2018,,,27.4660743756488,,,
China - rural,2019,,,30.885138098869945,,,
China - urban,1990,,0.0,,,,
China - urban,1993,,1.376922383618492,,,,
China - urban,1996,,2.5363129619627927,,,,
China - urban,1999,,4.791603637588807,,,,
China - urban,2002,,9.208363037109365,,,,
China - urban,2005,,16.86064086914064,,,,
China - urban,2008,,25.418563662915304,,,,
China - urban,2010,,32.43921815828064,,,,
China - urban,2011,,35.43540124544996,,,,
China - urban,2012,,39.90828326641579,,,,
China - urban,2013,,,43.54800857088217,,,
China - urban,2014,,,47.16739196887116,,,
China - urban,2015,,,49.83708493659605,,,
China - urban,2016,,,51.922312933127394,,,
China - urban,2017,,,52.434939712426704,,,
China - urban,2018,,,53.83029883434146,,,
China - urban,2019,,,55.038254929497526,,,
Comoros,2004,11.163433517165458,,,,,
Comoros,2014,,11.86879058050613,,,,
Congo,2005,2.633753665997588,,,,,
Congo,2011,4.512444111418944,,,,,
Cote d'Ivoire,1985,21.711765055379544,,,,,
Cote d'Ivoire,1986,17.51118247440816,,,,,
Cote d'Ivoire,1987,13.238648523603416,,,,,
Cote d'Ivoire,1988,7.677245334500711,,,,,
Cote d'Ivoire,1992,,5.345319583320844,,,,
Cote d'Ivoire,1995,,6.080213647998477,,,,
Cote d'Ivoire,1998,,4.92136050750635,,,,
Cote d'Ivoire,2002,,,5.119573939740604,,,
Cote d'Ivoire,2008,,,5.179386941152416,,,
Cote d'Ivoire,2015,,,4.539810701919578,,,
Cote d'Ivoire,2018,,,,9.913773048361591,,
Croatia,1998,,49.96373460366056,,,,
Croatia,1999,,,73.70351806640625,,,
Croatia,2000,,,68.37515330767343,,,
Croatia,2001,,,66.55434732743836,,,
Croatia,2004,,62.362425090309735,,,,
Croatia,2008,,65.65413941060619,,,,
Croatia,2009,,64.89018086014786,,,,
Croatia,2010,,73.2853542326673,,,,
Democratic Republic of Congo,2004,0.0445708995573852,,,,,
Democratic Republic of Congo,2012,0.3640256982866106,,,,,
Djibouti,2002,5.75557913159345,,,,,
Djibouti,2012,,10.01143752241721,,,,
Djibouti,2013,,,7.485782510189338,,,
Djibouti,2017,,,,8.207392607878091,,
Egypt,1990,4.395883461386532,,,,,
Egypt,1995,3.4734806545186245,,,,,
Egypt,1999,,5.983126624632376,,,,
Egypt,2004,,,5.161803008291855,,,
Egypt,2008,,,4.824742774717322,,,
Egypt,2010,,,,6.317218022950854,,
Egypt,2012,,,,6.380159144994366,,
Egypt,2015,,,,7.9006167597546835,,
Egypt,2017,,,,5.7849855361277065,,
Estonia,1995,,36.54357834976622,,,,
Estonia,1998,,40.83858279398001,,,,
Estonia,2000,,,39.661629772494734,,,
Estonia,2001,,,37.35537024032006,,,
Estonia,2002,,,38.79541635147383,,,
Estonia,2003,,,41.63814739779336,,,
Estonia,2004,,,49.11277427429326,,,
Eswatini,1994,0.7571712024734722,,,,,
Eswatini,2000,,5.619842094748037,,,,
Eswatini,2009,,6.467826079196016,,,,
Eswatini,2016,,12.521729457215455,,,,
Ethiopia,1995,,1.0407030383872922,,,,
Ethiopia,1999,,0.5053855355435672,,,,
Ethiopia,2004,,0.9237684354323648,,,,
Ethiopia,2010,,1.3024105953794276,,,,
Ethiopia,2015,,2.1728344645608217,,,,
Ethiopia - rural,1981,0.387136947964791,,,,,
