Entity,Year,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,2016,,,,,8.242950169068417,,
Albania,2017,,,,,8.623163821282038,,
Albania,2018,,,,,9.025892178681692,,
Argentina - urban,1980,22.94324651235494,,,,,,
Argentina - urban,1986,24.84716358484572,,,,,,
Argentina - urban,1987,22.71202192820593,,,,,,
Argentina - urban,1991,,16.116835528571066,,,,,
Argentina - urban,1992,,16.253492738345674,,,,,
Argentina - urban,1993,,16.287674958188088,,,,,
Argentina - urban,1994,,16.09094655163961,,,,,
Argentina - urban,1995,,15.28513358962214,,,,,
Argentina - urban,1996,,14.973600555752492,,,,,
Argentina - urban,1997,,15.689876667853364,,,,,
Argentina - urban,1998,,15.23561021715455,,,,,
Argentina - urban,1999,,14.522638212458354,,,,,
Argentina - urban,2000,,14.204878487220324,,,,,
Argentina - urban,2001,,13.080539495845215,,,,,
Argentina - urban,2002,,9.18845290794586,,,,,
Argentina - urban,2003,,,13.00340366215568,,,,
Argentina - urban,2004,,,14.016382400701678,,,,
Argentina - urban,2005,,,15.417122696881792,,,,
Argentina - urban,2006,,,17.07481110682144,,,,
Argentina - urban,2007,,,17.610273510696224,,,,
Argentina - urban,2008,,,18.02608080453232,,,,
Argentina - urban,2009,,,18.652777236888635,,,,
Argentina - urban,2010,,,19.22213843277404,,,,
Argentina - urban,2011,,,20.44669092485504,,,,
Argentina - urban,2012,,,20.259638621498304,,,,
Argentina - urban,2013,,,20.34174730675139,,,,
Argentina - urban,2014,,,19.03970834783642,,,,
Argentina - urban,2016,,,19.88508533943744,,,,
Argentina - urban,2017,,,20.88372757140482,,,,
Argentina - urban,2018,,,18.93251025515153,,,,
Argentina - urban,2019,,,18.43774392669135,,,,
Argentina - urban,2020,,,16.13980282235518,,,,
Armenia,1996,5.925693197544996,,,,,,
Australia,1981,34.31292222765377,,,,,,
Australia,1985,,35.45543261173014,,,,,
Australia,1989,,,36.438422999343445,,,,
Australia,1995,,,33.55279588391381,,,,
Australia,2001,,,38.657066298059576,,,,
Australia,2003,,,39.86590739489941,,,,
Australia,2004,,,,43.38959072748175,,,
Australia,2008,,,54.86082071837734,,,,
Australia,2010,,,,54.66336604442497,,,
Australia,2014,,,58.43655323686174,,,,
Australia,2016,,,57.08720450291023,,,,
Australia,2018,,,57.826076629688856,,,,
Austria,1987,42.83241504775496,,,,,,
Austria,1994,,46.82498050286827,,,,,
Austria,1995,39.92146938631782,,,,,,
Austria,1997,,44.81936155856357,,,,,
Austria,2000,,47.53092958581321,,,,,
Austria,2003,,,48.77710212544528,,,,
Austria,2004,,,51.47504776163672,,,,
Austria,2005,,,49.19667690428416,,,,
Austria,2006,,,50.36496359276928,,,,
Austria,2007,,,52.45567027088892,,,,
Austria,2008,,,53.3329443026156,,,,
Austria,2009,,,55.22894596272072,,,,
Austria,2010,,,55.78731591787421,,,,
Austria,2011,,,54.74118174101103,,,,
Austria,2012,,,53.48976893190903,,,,
Austria,2013,,,56.11050193374421,,,,
Austria,2014,,,55.245484245076725,,,,
Austria,2015,,,55.038492154591374,,,,
Austria,2016,,,57.531590654317824,,,,
Austria,2017,,,56.76196434896684,,,,
Austria,2018,,,57.35662341389376,,,,
Austria,2019,,,58.506880312391615,,,,
Belarus,1993,6.84359122626508,,,,,,
Belarus,1995,10.217356296357169,,,,,,
Belgium,1985,30.125045104498863,,,,,,
Belgium,1988,31.6777360663034,,,,,,
Belgium,1992,34.08683861141782,,,,,,
Belgium,1995,,40.84870778982786,,,,,
Belgium,1997,40.16625481528759,,,,,,
Belgium,2000,,48.197113187428194,,,,,
Belgium,2003,,,43.20295800829187,,,,
Belgium,2004,,,46.61823175718921,,,,
Belgium,2005,,,46.56487985099094,,,,
Belgium,2006,,,45.776410193357286,,,,
Belgium,2007,,,47.106692783644746,,,,
Belgium,2008,,,47.738593238177934,,,,
Belgium,2009,,,48.23317777539636,,,,
Belgium,2010,,,47.87716049261126,,,,
Belgium,2011,,,46.710611327449584,,,,
Belgium,2012,,,48.0377921197756,,,,
Belgium,2013,,,47.93789739951822,,,,
Belgium,2014,,,48.51284984308699,,,,
Belgium,2015,,,49.08702989575507,,,,
Belgium,2016,,,48.55640215165653,,,,
Belgium,2017,,,49.09336504082464,,,,
Belgium,2018,,,50.24460202853292,,,,
Belgium,2019,,,51.988494268985214,,,,
Belize,1993,11.293785386532264,,,,,,
Belize,1994,10.979262979113424,,,,,,
Belize,1996,,,8.788462691152027,,,,
Belize,1997,9.09353228586986,,,,,,
Belize,1998,8.538395864787155,,,,,,
Belize,1999,8.891527252231313,,,,,,
Bolivia,1997,,9.424787709618949,,,,,
Bolivia,1999,,,8.251679113158659,,,,
Bolivia,2000,,,7.704934473453923,,,,
Bolivia,2001,,,,7.991732932613707,,,
Bolivia,2002,,,,,7.987510732700984,,
Bolivia,2004,,,,,9.189799712987554,,
Bolivia,2005,,,,,9.776209770041802,,
Bolivia,2006,,,,,10.414182410716188,,
Bolivia,2007,,,,,10.374454518540812,,
Bolivia,2008,,,,,10.879141773228378,,
Bolivia,2009,,,,,11.500387130695165,,
Bolivia,2011,,,,,12.634040201574631,,
Bolivia,2012,,,,,12.929600140810765,,
Bolivia,2013,,,,,14.254659485869482,,
Bolivia,2014,,,,,14.332410167738807,,
Bolivia,2015,,,,,13.815100985453222,,
Bolivia,2016,,,,,13.163640573417776,,
