Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,0.2042268087564853,,,,,,,,,,,,
Albania,2002,,0.5350893206609989,,,,,,,,,,,
Albania,2005,,0.0083281801733321,,,,,,,,,,,
Albania,2008,,,,,,,,,,,,,
Albania,2012,,0.1074167405008934,,,,,,,,,,,
Albania,2014,,,,,,,,,,,,,
Albania,2015,,,,,,,,,,,,,
Albania,2016,,,,,,,,,,,,,
Albania,2017,,,,,,,,,,,,,
Albania,2018,,,,,,,,,,,,,
Albania,2019,,,,,,,,,,,,,
Algeria,1988,,,,,,,,,,,,,
Algeria,1995,,0.2594547667109105,,,,,,,,,,,
Algeria,2011,,,0.7418520026410392,,,,,,,,,,
Angola,2000,0.4272420149752845,,,,,,,,,,,,
Angola,2008,,0.2629210622573036,,,,,,,,,,,
Angola,2018,,,0.3579668470691083,,,,,,,,,,
Argentina - urban,1980,,,,,,,0.8577278372551794,,,,,,
Argentina - urban,1986,,,,,,,0.9884753104633752,,,,,,
Argentina - urban,1987,,,,,,,0.8951031164478102,,,,,,
Argentina - urban,1991,,,,,,,,0.6596416708496734,,,,,
Argentina - urban,1992,,,,,,,,0.7885678157068009,,,,,
Argentina - urban,1993,,,,,,,,0.7911058990345999,,,,,
Argentina - urban,1994,,,,,,,,0.8170222619049372,,,,,
Argentina - urban,1995,,,,,,,,0.6982629991948356,,,,,
Argentina - urban,1996,,,,,,,,0.7775256258433599,,,,,
Argentina - urban,1997,,,,,,,,0.7294998641706392,,,,,
Argentina - urban,1998,,,,,,,,0.6308732243346632,,,,,
Argentina - urban,1999,,,,,,,,0.6787068579324133,,,,,
Argentina - urban,2000,,,,,,,,0.6147803643927092,,,,,
Argentina - urban,2001,,,,,,,,0.6301288870844722,,,,,
Argentina - urban,2002,,,,,,,,0.4110979658970958,,,,,
Argentina - urban,2003,,,,,,,,,0.4283544526928833,,,,
Argentina - urban,2004,,,,,,,,,0.3932281048222052,,,,
Argentina - urban,2005,,,,,,,,,0.4541685352076089,,,,
Argentina - urban,2006,,,,,,,,,0.4189805004138335,,,,
Argentina - urban,2007,,,,,,,,,0.5173301194958811,,,,
Argentina - urban,2008,,,,,,,,,0.4931795657825717,,,,
Argentina - urban,2009,,,,,,,,,0.4574814070061224,,,,
Argentina - urban,2010,,,,,,,,,0.5105896104465404,,,,
Argentina - urban,2011,,,,,,,,,0.4832669261178444,,,,
Argentina - urban,2012,,,,,,,,,0.539036445783015,,,,
Argentina - urban,2013,,,,,,,,,0.6367504028660519,,,,
Argentina - urban,2014,,,,,,,,,0.5518068974933216,,,,
Argentina - urban,2016,,,,,,,,,0.5263986630930704,,,,
Argentina - urban,2017,,,,,,,,,0.694215511325289,,,,
Argentina - urban,2018,,,,,,,,,0.4632144595478074,,,,
Argentina - urban,2019,,,,,,,,,0.5429574351865872,,,,
Argentina - urban,2020,,,,,,,,,0.676331673424653,,,,
Armenia,1996,,,,,,,0.2180682340834239,,,,,,
Armenia,1999,,0.147020145891965,,,,,,,,,,,
Armenia,2001,,0.2877730916804927,,,,,,,,,,,
Armenia,2002,,0.1726343358295315,,,,,,,,,,,
Armenia,2003,,0.1535186939254481,,,,,,,,,,,
