Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,9.35490252453835,,,,,,,,,,,,
Albania,2002,,8.83945948667871,,,,,,,,,,,
Albania,2005,,9.0370685301544,,,,,,,,,,,
Albania,2008,,8.92413264193258,,,,,,,,,,,
Albania,2012,,9.25694260687266,,,,,,,,,,,
Albania,2014,,,8.932859602769689,,,,,,,,,,
Albania,2015,,,8.88623649491796,,,,,,,,,,
Albania,2016,,,8.896662927744769,,,,,,,,,,
Albania,2017,,,8.90839714576123,,,,,,,,,,
Albania,2018,,,,9.34527834400207,,,,,,,,,
Albania,2019,,,,9.01354097324365,,,,,,,,,
Algeria,1988,8.03499264412895,,,,,,,,,,,,
Algeria,1995,,8.756290801615469,,,,,,,,,,,
Algeria,2011,,,9.23191432628605,,,,,,,,,,
Angola,2000,7.048757987921859,,,,,,,,,,,,
Angola,2008,,7.92035649958277,,,,,,,,,,,
Angola,2018,,,6.98136252592568,,,,,,,,,,
Argentina - urban,1980,,,,,,,8.39456404455205,,,,,,
Argentina - urban,1986,,,,,,,7.9798047538372305,,,,,,
Argentina - urban,1987,,,,,,,7.72362009494258,,,,,,
Argentina - urban,1991,,,,,,,,7.238356972638529,,,,,
Argentina - urban,1992,,,,,,,,7.65194383259074,,,,,
Argentina - urban,1993,,,,,,,,7.89791747753662,,,,,
Argentina - urban,1994,,,,,,,,7.716030394900359,,,,,
Argentina - urban,1995,,,,,,,,7.35717410797604,,,,,
Argentina - urban,1996,,,,,,,,7.30271711076896,,,,,
Argentina - urban,1997,,,,,,,,7.3079845690362,,,,,
Argentina - urban,1998,,,,,,,,7.0649376584355705,,,,,
Argentina - urban,1999,,,,,,,,7.29116093011819,,,,,
Argentina - urban,2000,,,,,,,,7.175251978344099,,,,,
Argentina - urban,2001,,,,,,,,6.91613940400178,,,,,
Argentina - urban,2002,,,,,,,,6.8465601220520895,,,,,
Argentina - urban,2003,,,,,,,,,7.133440570599089,,,,
Argentina - urban,2004,,,,,,,,,7.57478257969917,,,,
Argentina - urban,2005,,,,,,,,,7.64767346269111,,,,
Argentina - urban,2006,,,,,,,,,7.902273856542701,,,,
Argentina - urban,2007,,,,,,,,,7.89687936957397,,,,
Argentina - urban,2008,,,,,,,,,8.048678378117529,,,,
