Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,5.774804976851393,,,,,,,,,,,,
Albania,2002,,5.539607490558332,,,,,,,,,,,
Albania,2005,,6.460357075105566,,,,,,,,,,,
Albania,2008,,6.957659224183439,,,,,,,,,,,
Albania,2012,,6.8252891049441375,,,,,,,,,,,
Albania,2014,,,6.870836745603878,,,,,,,,,,
Albania,2015,,,8.18945365730761,,,,,,,,,,
Albania,2016,,,8.516612198302338,,,,,,,,,,
Albania,2017,,,8.43817264466874,,,,,,,,,,
Albania,2018,,,,9.6410791639456,,,,,,,,,
Albania,2019,,,,10.83164622096564,,,,,,,,,
Algeria,1988,4.942825772725843,,,,,,,,,,,,
Algeria,1995,,5.119379112993882,,,,,,,,,,,
Algeria,2011,,,7.15852568018615,,,,,,,,,,
Angola,2000,2.593653331259985,,,,,,,,,,,,
Angola,2008,,2.6101818949414426,,,,,,,,,,,
Angola,2018,,,1.9019545359638133,,,,,,,,,,
Argentina - urban,1980,,,,,,,17.543811149745625,,,,,,
Argentina - urban,1986,,,,,,,17.922938837467083,,,,,,
Argentina - urban,1987,,,,,,,15.797886635848345,,,,,,
Argentina - urban,1991,,,,,,,,10.679038562034735,,,,,
Argentina - urban,1992,,,,,,,,11.16858960665832,,,,,
Argentina - urban,1993,,,,,,,,11.414919848189877,,,,,
Argentina - urban,1994,,,,,,,,11.03778898801034,,,,,
Argentina - urban,1995,,,,,,,,10.203255210114715,,,,,
Argentina - urban,1996,,,,,,,,9.788808750546515,,,,,
Argentina - urban,1997,,,,,,,,10.481951041648808,,,,,
Argentina - urban,1998,,,,,,,,9.58972768298127,,,,,
Argentina - urban,1999,,,,,,,,9.523834256150034,,,,,
Argentina - urban,2000,,,,,,,,9.058017422814835,,,,,
Argentina - urban,2001,,,,,,,,8.083802039029441,,,,,
Argentina - urban,2002,,,,,,,,5.545341370834873,,,,,
Argentina - urban,2003,,,,,,,,,8.189924600155914,,,,
Argentina - urban,2004,,,,,,,,,9.501043998176062,,,,
Argentina - urban,2005,,,,,,,,,10.550190815943058,,,,
Argentina - urban,2006,,,,,,,,,12.059291507089805,,,,
Argentina - urban,2007,,,,,,,,,12.457396590458933,,,,
Argentina - urban,2008,,,,,,,,,13.01931034974736,,,,
Argentina - urban,2009,,,,,,,,,13.901126853688332,,,,
Argentina - urban,2010,,,,,,,,,14.296153339645834,,,,
Argentina - urban,2011,,,,,,,,,15.219711406787258,,,,
Argentina - urban,2012,,,,,,,,,15.450691857046635,,,,
Argentina - urban,2013,,,,,,,,,15.711652425027603,,,,
