Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7
Albania,1996,1.233137489872118,,,,,,,,,,,,
Albania,2002,,1.2615992766794584,,,,,,,,,,,
Albania,2005,,1.1301035821316077,,,,,,,,,,,
Albania,2008,,1.0363024376527443,,,,,,,,,,,
Albania,2012,,1.0750370934822315,,,,,,,,,,,
Albania,2014,,,1.0770306703565546,,,,,,,,,,
Albania,2015,,,0.8898351468212745,,,,,,,,,,
Albania,2016,,,0.8665250847288264,,,,,,,,,,
Albania,2017,,,0.8669665778019258,,,,,,,,,,
Albania,2018,,,,0.7682220214823305,,,,,,,,,
Albania,2019,,,,0.6356543691273854,,,,,,,,,
Algeria,1988,1.4050325075849768,,,,,,,,,,,,
Algeria,1995,,1.375291827064398,,,,,,,,,,,
Algeria,2011,,,1.0305608568239932,,,,,,,,,,
Angola,2000,2.106810264253617,,,,,,,,,,,,
Angola,2008,,2.0229982094111896,,,,,,,,,,,
Angola,2018,,,2.363311235016693,,,,,,,,,,
Argentina - urban,1980,,,,,,,0.39465749280455,,,,,,
Argentina - urban,1986,,,,,,,0.3384752810889474,,,,,,
Argentina - urban,1987,,,,,,,0.4406700237925135,,,,,,
Argentina - urban,1991,,,,,,,,0.699968539102677,,,,,
Argentina - urban,1992,,,,,,,,0.6748612703292267,,,,,
Argentina - urban,1993,,,,,,,,0.6683750398127499,,,,,
Argentina - urban,1994,,,,,,,,0.6810790347353437,,,,,
Argentina - urban,1995,,,,,,,,0.7774935055232542,,,,,
Argentina - urban,1996,,,,,,,,0.8010814774459512,,,,,
Argentina - urban,1997,,,,,,,,0.7704286232264284,,,,,
Argentina - urban,1998,,,,,,,,0.8310599213730396,,,,,
Argentina - urban,1999,,,,,,,,0.8447096378593136,,,,,
Argentina - urban,2000,,,,,,,,0.8995360932893811,,,,,
Argentina - urban,2001,,,,,,,,0.9953175937635812,,,,,
Argentina - urban,2002,,,,,,,,1.3336474862130128,,,,,
Argentina - urban,2003,,,,,,,,,0.9923601953581376,,,,
Argentina - urban,2004,,,,,,,,,0.882939978794883,,,,
Argentina - urban,2005,,,,,,,,,0.7912582177715353,,,,
Argentina - urban,2006,,,,,,,,,0.6935524609114122,,,,
Argentina - urban,2007,,,,,,,,,0.6593958687266166,,,,
Argentina - urban,2008,,,,,,,,,0.6245345510317565,,,,
Argentina - urban,2009,,,,,,,,,0.5812702624508695,,,,
Argentina - urban,2010,,,,,,,,,0.5504091155613645,,,,
Argentina - urban,2011,,,,,,,,,0.4931040828298864,,,,
Argentina - urban,2012,,,,,,,,,0.4816429558945055,,,,
Argentina - urban,2013,,,,,,,,,0.4703802159967471,,,,
Argentina - urban,2014,,,,,,,,,0.5210047082625948,,,,
Argentina - urban,2016,,,,,,,,,0.5000174589702483,,,,
Argentina - urban,2017,,,,,,,,,0.4548205271964535,,,,
Argentina - urban,2018,,,,,,,,,0.5238485609244283,,,,
Argentina - urban,2019,,,,,,,,,0.5673274185214126,,,,
Argentina - urban,2020,,,,,,,,,0.6493358712885119,,,,
Armenia,1996,,,,,,,1.5772419001034017,,,,,,
Armenia,1999,,1.7221486601064926,,,,,,,,,,,
Armenia,2001,,1.7591816164997545,,,,,,,,,,,
Armenia,2002,,1.706240503241382,,,,,,,,,,,
Armenia,2003,,1.661776555679661,,,,,,,,,,,
Armenia,2004,,1.507913541062344,,,,,,,,,,,
Armenia,2005,,1.393089888597845,,,,,,,,,,,
Armenia,2006,,1.3484280888021558,,,,,,,,,,,
Armenia,2007,,1.2562148073835953,,,,,,,,,,,
Armenia,2008,,1.2126925373513422,,,,,,,,,,,
Armenia,2009,,1.3169113165254736,,,,,,,,,,,
Armenia,2010,,1.3195107134448614,,,,,,,,,,,
Armenia,2011,,1.29158965022369,,,,,,,,,,,
Armenia,2012,,1.2615311504682687,,,,,,,,,,,
Armenia,2013,,1.234975766402696,,,,,,,,,,,
Armenia,2014,,1.2221656365496396,,,,,,,,,,,
Armenia,2015,,1.1682448561370775,,,,,,,,,,,
Armenia,2016,,1.1158256179376744,,,,,,,,,,,
Armenia,2017,,1.1588414010067756,,,,,,,,,,,
Armenia,2018,,1.172114992676993,,,,,,,,,,,
Armenia,2019,,,1.2213417257737864,,,,,,,,,,
Armenia,2020,,,1.2246807508432076,,,,,,,,,,
Australia,1981,,,,,,,0.115337012965521,,,,,,
Australia,1985,,,,,,,,0.1161742014045172,,,,,
Australia,1989,,,,,,,,,0.1178048002626887,,,,
Australia,1995,,,,,,,,,0.1158889633586519,,,,
Australia,2001,,,,,,,,,0.088921915967656,,,,
Australia,2003,,,,,,,,,0.0963344778142293,,,,
Australia,2004,,,,,,,,,,0.0736514411139684,,,
Australia,2008,,,,,,,,,0.0444245424488948,,,,
Australia,2010,,,,,,,,,,0.0468587357371537,,,
Australia,2014,,,,,,,,,0.0517716267131824,,,,
Australia,2016,,,,,,,,,0.0434104099088025,,,,
Australia,2018,,,,,,,,,0.0537585727287751,,,,
Austria,1987,,,,,,,0.0123080299915068,,,,,,
Austria,1994,,,,,,,,0.0537664871462515,,,,,
Austria,1995,,,,,,,0.0878876088541791,,,,,,
Austria,1997,,,,,,,,0.0503556519575762,,,,,
Austria,2000,,,,,,,,0.0306062258085488,,,,,
Austria,2003,,,,,,,,,0.0398803920295837,,,,
Austria,2004,,,,,,,,,0.0243916733827556,,,,
Austria,2005,,,,,,,,,0.0282734295376852,,,,
