country_name,reporting_year,reporting_level,welfare_type,survey_year,survey_acronym,survey_comparability,comparable_spell,poverty_line,headcount,requested_p
Angola,2000,national,consumption,2000.21,HBS,0,2000,0.9469208734282414,0.1599106829440977,16
Angola,2008,national,consumption,2008.5,IBEP-MICS,1,2008,1.268183737192368,0.1599787958704902,16
Angola,2018,national,consumption,2018.17,IDREA,2,2018,0.7695716773342945,0.1598117912320993,16
Albania,1996,national,consumption,1996.0,EWS,0,1996,3.556623077567425,0.1587841556549132,16
Albania,2002,national,consumption,2002.0,LSMS,1,2002 - 2012,3.321253441432675,0.1596757042698387,16
Albania,2005,national,consumption,2005.0,LSMS,1,2002 - 2012,3.835353585061775,0.1597690138763268,16
Albania,2008,national,consumption,2008.0,LSMS,1,2002 - 2012,4.340816757854393,0.1591653417175169,16
Albania,2012,national,consumption,2012.0,LSMS,1,2002 - 2012,4.197466573415717,0.1598507512397803,16
Albania,2014,national,consumption,2014.0,HBS,2,2014 - 2017,3.5821236441298003,0.1599528491877005,16
Albania,2015,national,consumption,2015.0,HBS,2,2014 - 2017,4.6976776891452845,0.1598802499319674,16
Albania,2016,national,consumption,2016.0,HBS,2,2014 - 2017,4.6609930564998825,0.1599278463645867,16
Albania,2016,national,income,2016.0,SILC-C,4,2016 - 2018,2.982398346588287,0.1597501645723103,16
Albania,2017,national,consumption,2017.0,HBS,2,2014 - 2017,4.678745003741179,0.1599761525473559,16
Albania,2017,national,income,2017.0,SILC-C,4,2016 - 2018,3.267693084750305,0.1597688532545026,16
Albania,2018,national,consumption,2018.0,HBS,3,2018 - 2019,5.394216972695797,0.1598848281998514,16
Albania,2018,national,income,2018.0,SILC-C,4,2016 - 2018,3.6487521612304414,0.1598666175502824,16
Albania,2019,national,consumption,2019.0,HBS,3,2018 - 2019,6.447502342421145,0.1597124996962834,16
United Arab Emirates,2013,national,income,2013.42,HIES,0,2013 - 2018,30.62154274109155,0.16,16
United Arab Emirates,2018,national,income,2018.0,HIES,0,2013 - 2018,44.4207596721368,0.159980126953125,16
Argentina,1980,urban,income,1980.0,EPH,0,1980 - 1987,7.886054633335124,0.159980126953125,16
Argentina,1986,urban,income,1986.0,EPH,0,1980 - 1987,8.554129899700198,0.158625661342656,16
Argentina,1987,urban,income,1987.0,EPH,0,1980 - 1987,7.26339615441303,0.1575116214523131,16
Argentina,1991,urban,income,1991.0,EPH,1,1991 - 2002,5.134153217654936,0.159908889538687,16
Argentina,1992,urban,income,1992.0,EPH,1,1991 - 2002,4.984329120236231,0.1597761730032106,16
Argentina,1993,urban,income,1993.0,EPH,1,1991 - 2002,5.086862815805411,0.1592357105051728,16
Argentina,1994,urban,income,1994.0,EPH,1,1991 - 2002,4.85662715472455,0.1568235195038992,16
Argentina,1995,urban,income,1995.0,EPH,1,1991 - 2002,4.201340380635471,0.1594194660251198,16
Argentina,1996,urban,income,1996.0,EPH,1,1991 - 2002,3.847754481733358,0.1596083257461578,16
Argentina,1997,urban,income,1997.0,EPH,1,1991 - 2002,3.970436121792639,0.1586454536520262,16
Argentina,1998,urban,income,1998.0,EPH,1,1991 - 2002,3.769917516651113,0.1596687135305739,16
Argentina,1999,urban,income,1999.0,EPH,1,1991 - 2002,3.655613148825265,0.1599253859325779,16
Argentina,2000,urban,income,2000.0,EPH,1,1991 - 2002,3.33015346427016,0.1589194741608147,16
Argentina,2001,urban,income,2001.0,EPH,1,1991 - 2002,2.69460067967648,0.1565292850356417,16
Argentina,2002,urban,income,2002.0,EPH,1,1991 - 2002,1.7688489221163868,0.1485122247739483,16
Argentina,2003,urban,income,2003.0,EPHC-S2,2,2003 - 2020,3.0116943428220373,0.1599789483204425,16
Argentina,2004,urban,income,2004.0,EPHC-S2,2,2003 - 2020,3.47066432511612,0.1599860559509315,16
Argentina,2005,urban,income,2005.0,EPHC-S2,2,2003 - 2020,4.059477430076679,0.159973578351192,16
Argentina,2006,urban,income,2006.0,EPHC-S2,2,2003 - 2020,4.7096901339081,0.1599921749331566,16
Argentina,2007,urban,income,2007.0,EPHC-S2,2,2003 - 2020,4.902489489995295,0.1598710952392657,16
Argentina,2008,urban,income,2008.0,EPHC-S2,2,2003 - 2020,5.261532082477371,0.1599723581380125,16
Argentina,2009,urban,income,2009.0,EPHC-S2,2,2003 - 2020,5.568044239007041,0.159770816382711,16
Argentina,2010,urban,income,2010.0,EPHC-S2,2,2003 - 2020,5.975458970025242,0.1599838639919776,16
Argentina,2011,urban,income,2011.0,EPHC-S2,2,2003 - 2020,6.5574294014475925,0.1597322361735179,16
Argentina,2012,urban,income,2012.0,EPHC-S2,2,2003 - 2020,6.827500367866027,0.1599894599169285,16
Argentina,2013,urban,income,2013.0,EPHC-S2,2,2003 - 2020,6.836797391524477,0.159920952768418,16
Argentina,2014,urban,income,2014.0,EPHC-S2,2,2003 - 2020,6.355062370566445,0.1599933637224447,16
Argentina,2016,urban,income,2016.0,EPHC-S2,2,2003 - 2020,6.47720450532503,0.1599809944754472,16
Argentina,2017,urban,income,2017.0,EPHC-S2,2,2003 - 2020,7.085524750129146,0.159903792714519,16
Argentina,2018,urban,income,2018.0,EPHC-S2,2,2003 - 2020,6.3005550837490505,0.1597917576424118,16
