Entity,Year,unvaccinated,vaccinated_with,vaccinated_without
12-17,281,0.0744200031,,0.0
18-29,281,0.2617268915,,0.0
30-49,281,2.872804024,,0.0823711614
50-64,281,12.19225683,,0.566003248
65-79,281,51.07945294,,2.177020608
80+,281,71.51908478,,8.895907058
All ages,281,11.94369704,,0.7356291661
12-17,288,0.0375715127,,0.0
18-29,288,0.2938982031,,0.0185165314
30-49,288,2.173110659,,0.0908528925
50-64,288,11.20206538,,0.5505649595
65-79,288,48.54939236,,1.877315885
80+,288,64.33660249,,8.811593488
All ages,288,10.93509618,,0.7024864166
12-17,295,0.0757697879,,0.0
18-29,295,0.2474052386,,0.01824212
30-49,295,1.982535042,,0.0803197937
50-64,295,9.279340124,,0.3990614948
65-79,295,41.7104597,,1.89097504
80+,295,54.33042793,,7.806203449
All ages,295,9.34049884,,0.6321639321
12-17,302,0.0,,0.0210261652
18-29,302,0.1999516717,,0.0
30-49,302,1.64417918,,0.0655096018
50-64,302,8.340922554,,0.3152186762
65-79,302,41.06852604,,1.841230811
80+,302,61.55472248,,8.189124384
All ages,302,9.247426383,,0.6200031045
12-17,309,0.038468781,,0.0
18-29,309,0.26258409,,0.0
30-49,309,1.806417709,,0.1067328571
50-64,309,9.490224028,,0.4218169115
65-79,309,42.11695582,,1.806502765
80+,309,60.68920971,,9.460365012
All ages,309,9.614430954,,0.6996273789
12-17,316,0.0583269271,,0.0
18-29,316,0.2142513248,,0.0
30-49,316,2.025668997,,0.0829123115
50-64,316,9.822084009,,0.511322648
65-79,316,45.27623688,,1.891081282
80+,316,72.61454334,,10.20093049
All ages,316,10.58323108,,0.746359622
12-17,323,0.0393936063,,0.0
18-29,323,0.361047773,,0.0087625132
30-49,323,2.067361407,,0.1280862731
50-64,323,11.74297398,,0.5947573586
65-79,323,59.49597643,,2.131913119
80+,323,87.49216384,,10.65843959
All ages,323,13.16911878,,0.8253112055
12-17,330,0.0,,0.0
18-29,330,0.3657449928,,0.0086981096
30-49,330,2.213388825,,0.0545520231
50-64,330,12.0739453,,0.6510708515
65-79,330,55.75189945,,2.380476252
80+,330,82.14771066,,9.842092168
All ages,330,12.64402288,,0.8033956809
12-17,337,0.0,,0.0
18-29,337,0.3167233408,,0.0
30-49,337,2.512694399,,0.1310588211
50-64,337,15.27058566,,0.6697299904
65-79,337,76.8702108,,2.705995765
80+,337,106.2537351,,10.60872037
All ages,337,16.66657661,,0.9007698902
12-17,344,0.081283086,,0.0
18-29,344,0.2035107751,,0.0257389679
30-49,344,2.612015535,,0.0898892645
5-11,344,0.0192111296,,0.0
50-64,344,15.37261255,,0.6777701658
65-79,344,77.9364864,,2.53750671
80+,344,116.7750217,,9.408584372
All ages,344,17.25169088,,0.8247526902
12-17,351,0.041076576,,0.0197851413
18-29,351,0.3258890498,,0.0085354558
30-49,351,2.536820514,,0.1118739372
5-11,351,0.0196632318,,0.0
50-64,351,14.67148847,,0.6228283809
65-79,351,73.35925432,,2.160120273
80+,351,89.25049561,,8.368542648
All ages,351,15.49402172,,0.7373807591
12-17,358,0.0,,0.0195724784
18-29,358,0.3207672576,,0.0169544573
30-49,358,2.343545169,,0.0756411881
5-11,358,0.0100937589,,0.0
50-64,358,13.78451181,,0.8041994137
65-79,358,69.56283328,,2.414699918
80+,358,103.1734522,,7.776005334
All ages,358,15.39102033,,0.7631852266
12-17,365,0.042092033,,0.0
18-29,365,0.3478976377,,0.0757917395
30-49,365,3.101795989,,0.2346307454
5-11,365,0.010262196,,0.0
50-64,365,17.25684166,,1.492684119
65-79,365,94.94566791,,4.904177418
80+,365,165.5485507,,19.33992825
All ages,365,21.67198835,,1.70114891
12-17,372,0.1015091363,,0.0182518455
18-29,372,0.4627210906,,0.0796524096
30-49,372,3.623194592,,0.3619369434
5-11,372,0.0099303071,,0.0
50-64,372,21.12508835,,2.172996541
65-79,372,120.5094158,,7.323690294
80+,372,210.5632398,,29.87155466
All ages,372,27.27723104,,2.569807902
12-17,379,0.0413201797,,0.0362589075
18-29,379,0.4821159631,,0.1109556323
30-49,379,2.91090747,,0.3606523429
5-11,379,0.0202676464,,0.0
50-64,379,19.08318527,,2.152692733
65-79,379,120.7286632,,8.11455875
80+,379,241.6367947,,34.56923825
All ages,379,27.9179154,,2.851572174
12-17,386,0.0630779783,,0.0
18-29,386,0.4337567281,,0.0788099943
30-49,386,2.584172796,,0.4009779351
5-11,386,0.0103195341,,0.0
50-64,386,17.66565472,,2.102170546
65-79,386,126.596628,,7.590177112
80+,386,237.1975017,,34.50755727
All ages,386,28.01389516,,2.785948044
12-17,393,0.1064636646,,0.0178038711
