country,series_code,indicator_name,year_1993,value_1993,year_2018,value_2018,pipwelfare_1993,pipwelfare_2018,pipreportinglevel_1993,pipreportinglevel_2018,region,population_1993,population_1993_total,weight_1993,weightedvalue_1993,population_2018,population_2018_total,weight_2018,weightedvalue_2018
Albania,gini_pip_disposable_perCapita,gini,1996,0.27010342478752136,2018,0.30148282647132874,consumption,consumption,national,national,EE & CA,3300715,4931067831,0.0006693712423198666,0.00018079946500487384,2877019,6706199961,0.00042900883014693035,0.00012933879469385475
Argentina,gini_pip_disposable_perCapita,gini,1993,0.4485628604888916,2018,0.4172038435935974,income,income,urban,urban,LAC,34027240,4931067831,0.006900582422752724,0.003095344990589328,44413592,6706199961,0.006622765837327826,0.0027630433625535386
Australia,gini_pip_disposable_perCapita,gini,1995,0.3258199095726013,2018,0.34333762526512146,income,income,national,national,W. Eur and Offshoots,17631514,4931067831,0.0035755975387636073,0.0011650008667479744,24979228,6706199961,0.003724796180440048,0.001278862675188881
Austria,gini_pip_disposable_perCapita,gini,1994,0.30828019976615906,2018,0.3084878921508789,income,income,national,national,W. Eur and Offshoots,7905280,4931067831,0.0016031578292843808,0.0004942218158684709,8840518,6706199961,0.0013182604234010552,0.0004066673793209167
Bangladesh,gini_pip_disposable_perCapita,gini,1991,0.27570804953575134,2016,0.3238527178764343,consumption,consumption,national,national,S & SE Asia,113418760,4931067831,0.023000851719575544,0.006341519965265206,163683952,6706199961,0.024407854366393235,0.007904549974088643
Belarus,gini_pip_disposable_perCapita,gini,1998,0.32018348574638367,2018,0.2524052560329437,consumption,consumption,national,national,EE & CA,10480485,4931067831,0.0021253986680354795,0.0006805175541323208,9695573,6706199961,0.0014457625863208287,0.0003649180757631597
Belgium,gini_pip_disposable_perCapita,gini,1992,0.2495187669992447,2018,0.2721441388130188,income,income,national,national,W. Eur and Offshoots,10043738,4931067831,0.0020368281971013106,0.0005082268603300136,11448598,6706199961,0.0017071662143359103,0.0004645952792111278
Bolivia,gini_pip_disposable_perCapita,gini,1997,0.5816442966461182,2018,0.42579758167266846,income,income,national,national,LAC,7544494,4931067831,0.0015299919324918327,0.0008899110814484471,11606906,6706199961,0.0017307724296173877,0.0007369587149568124
Botswana,gini_pip_disposable_perCapita,gini,1993,0.6079065203666687,2015,0.5332502722740173,consumption,consumption,national,national,SS Africa,1462267,4931067831,0.00029654165185220307,0.00018026960372125687,2451411,6706199961,0.0003655439763586256,0.00019492642492136404
Brazil,gini_pip_disposable_perCapita,gini,1993,0.6011882424354553,2018,0.5389237403869629,income,income,national,national,LAC,158440864,4931067831,0.03213114672727364,0.019316867628405374,210166592,6706199961,0.031339147836662605,0.016889410772674206
Bulgaria,gini_pip_disposable_perCapita,gini,1992,0.30714309215545654,2018,0.41284099221229553,income,income,national,national,EE & CA,8611541,4931067831,0.0017463846158963941,0.0005363899710191378,7117424,6706199961,0.0010613199787348243,0.0004381563930756173
Burkina Faso,gini_pip_disposable_perCapita,gini,1994,0.48072493076324463,2018,0.4301673173904419,consumption,consumption,national,national,SS Africa,9840080,4931067831,0.001995527203689768,0.0009592996768299349,20392730,6706199961,0.003040877116488355,0.001308085951713778
Burundi,gini_pip_disposable_perCapita,gini,1992,0.3333381116390228,2020,0.37456509470939636,consumption,consumption,national,national,SS Africa,5555227,4931067831,0.0011265768775428552,0.00037553100897632204,11493476,6706199961,0.0017138582307179135,0.0006419514705073337
Cameroon,gini_pip_disposable_perCapita,gini,1996,0.44446757435798645,2021,0.4217607378959656,consumption,consumption,national,national,SS Africa,12486776,4931067831,0.002532266119216562,0.001125510179637097,25076752,6706199961,0.003739338544307388,0.0015771061836899096
Canada,gini_pip_disposable_perCapita,gini,1993,0.3168276250362396,2018,0.32509270310401917,income,income,national,national,W. Eur and Offshoots,28668168,4931067831,0.005813784961499143,0.0018419676818231794,37035260,6706199961,0.005522540367925066,0.0017953375762098241
Central African Republic,gini_pip_disposable_perCapita,gini,1992,0.6133074760437012,2021,0.4304642379283905,consumption,consumption,national,national,SS Africa,3089148,4931067831,0.0006264663366785473,0.00038421648777466343,5094795,6706199961,0.00075971414953757,0.00032702977242410537
Chile,gini_pip_disposable_perCapita,gini,1992,0.5481448769569397,2017,0.4527154862880707,income,income,national,national,LAC,13998387,4931067831,0.002838814528568589,0.0015560816404658019,18701452,6706199961,0.0027886809383493717,0.001262479047107109
China,gini_pip_disposable_perCapita,gini,1993,0.33877798914909363,2018,0.38497641682624817,consumption,consumption,national,national,East Asia,1195855616,4931067831,0.24251453376529308,0.08215858608843596,1417069440,6706199961,0.2113073645642819,0.08134835205895496
Colombia,gini_pip_disposable_perCapita,gini,1992,0.5145367383956909,2018,0.5041870474815369,income,income,national,national,LAC,34614732,4931067831,0.00701972335127669,0.0036119055576059773,49276968,6706199961,0.007347971770387238,0.0037047521918892232
Costa Rica,gini_pip_disposable_perCapita,gini,1993,0.4600316286087036,2018,0.47972404956817627,income,income,national,national,LAC,3405376,4931067831,0.0006905960568198884,0.0003176960287296021,5040738,6706199961,0.0007516533997367335,0.00036058621279339297
Cote d'Ivoire,gini_pip_disposable_perCapita,gini,1992,0.3938576579093933,2018,0.37168875336647034,consumption,consumption,national,national,SS Africa,13316449,4931067831,0.002700520344961363,0.0010636206182031494,25493990,6706199961,0.0038015552993141653,0.001412995350055781
Czechia,gini_pip_disposable_perCapita,gini,1993,0.2660479247570038,2018,0.24990341067314148,income,income,national,national,EE & CA,10318915,4931067831,0.002092632945571825,0.0005567406524475201,10534598,6706199961,0.0015708744238561484,0.00039256687626085756
Denmark,gini_pip_disposable_perCapita,gini,1992,0.24693810939788818,2018,0.28166335821151733,income,income,national,national,W. Eur and Offshoots,5193776,4931067831,0.0010532761215224905,0.00026009401412270414,5766689,6706199961,0.0008599041235776238,0.00024220348318680513
Dominican Republic,gini_pip_disposable_perCapita,gini,1992,0.5135976076126099,2018,0.4368666112422943,income,income,national,national,LAC,7576083,4931067831,0.0015363980500068689,0.0007890903628242068,10765532,6706199961,0.00160531031919822,0.0007013064791404121
Ecuador,gini_pip_disposable_perCapita,gini,1994,0.5336896181106567,2018,0.45440298318862915,income,income,national,national,LAC,11132833,4931067831,0.0022576921229944444,0.001204906846932343,17015672,6706199961,0.00253730459857369,0.001152958778850112
Egypt,gini_pip_disposable_perCapita,gini,1995,0.3012695908546448,2019,0.3189355731010437,consumption,consumption,national,national,MENA,61382204,4931067831,0.01244805508740121,0.0037502204631174423,103740768,6706199961,0.015469381856089275,0.00493373616779072
El Salvador,gini_pip_disposable_perCapita,gini,1991,0.5395189523696899,2018,0.3861057162284851,income,income,national,national,LAC,5630994,4931067831,0.0011419421092932031,0.000616099410472703,6276340,6706199961,0.0009359011118815639,0.0003613567691220668
Estonia,gini_pip_disposable_perCapita,gini,1993,0.3950344920158386,2018,0.30321452021598816,income,income,national,national,EE & CA,1504446,4931067831,0.00030509537722073974,0.00012052319735677559,1322146,6706199961,0.00019715278513747855,5.977958715470636e-05
Eswatini,gini_pip_disposable_perCapita,gini,1994,0.6045472621917725,2016,0.5457979440689087,consumption,consumption,national,national,SS Africa,953454,4931067831,0.00019335649653933954,0.00011689314060985065,1160430,6706199961,0.00017303838339872014,9.444399390402903e-05
Ethiopia,gini_pip_disposable_perCapita,gini,1995,0.44564512372016907,2015,0.3499312400817871,consumption,consumption,national,national,SS Africa,53791672,4931067831,0.010908726840427842,0.0048614209224319945,111129440,6706199961,0.016571149182290242,0.005798762782939117
