country,series_code,indicator_name,year_1993,value_1993,year_2018,value_2018,pipwelfare_1993,pipwelfare_2018,pipreportinglevel_1993,pipreportinglevel_2018,region,population_1993,population_2018
Albania,gini_pip_disposable_perCapita,gini,1996,0.2701034247875213,2018,0.3014828264713287,consumption,consumption,national,national,EE & CA,3300715,2877019
Australia,gini_pip_disposable_perCapita,gini,1995,0.3258199095726013,2018,0.3433376252651214,income,income,national,national,W. Eur and Offshoots,17631514,24979228
Bangladesh,gini_pip_disposable_perCapita,gini,1991,0.2757080495357513,2016,0.3238527178764343,consumption,consumption,national,national,S & SE Asia,113418760,163683952
Belarus,gini_pip_disposable_perCapita,gini,1998,0.3201834857463836,2018,0.2524052560329437,consumption,consumption,national,national,EE & CA,10480485,9695573
Belgium,gini_pip_disposable_perCapita,gini,1992,0.2495187669992447,2018,0.2721441388130188,income,income,national,national,W. Eur and Offshoots,10043738,11448598
Botswana,gini_pip_disposable_perCapita,gini,1993,0.6079065203666687,2015,0.5332502722740173,consumption,consumption,national,national,SS Africa,1462267,2451411
Bulgaria,gini_pip_disposable_perCapita,gini,1992,0.3071430921554565,2018,0.4128409922122955,income,income,national,national,EE & CA,8611541,7117424
Burkina Faso,gini_pip_disposable_perCapita,gini,1994,0.4807249307632446,2018,0.4301673173904419,consumption,consumption,national,national,SS Africa,9840080,20392730
Burundi,gini_pip_disposable_perCapita,gini,1992,0.3333381116390228,2020,0.3745650947093963,consumption,consumption,national,national,SS Africa,5555227,11493476
Cameroon,gini_pip_disposable_perCapita,gini,1996,0.4444675743579864,2021,0.4217607378959656,consumption,consumption,national,national,SS Africa,12486776,25076752
Canada,gini_pip_disposable_perCapita,gini,1993,0.3168276250362396,2018,0.3250927031040191,income,income,national,national,W. Eur and Offshoots,28668168,37035260
China,gini_pip_disposable_perCapita,gini,1993,0.3387779891490936,2018,0.3849764168262481,consumption,consumption,national,national,East Asia,1195855616,1417069440
Cote d'Ivoire,gini_pip_disposable_perCapita,gini,1992,0.3938576579093933,2018,0.3716887533664703,consumption,consumption,national,national,SS Africa,13316449,25493990
Czechia,gini_pip_disposable_perCapita,gini,1993,0.2660479247570038,2018,0.2499034106731414,income,income,national,national,EE & CA,10318915,10534598
Denmark,gini_pip_disposable_perCapita,gini,1992,0.2469381093978881,2018,0.2816633582115173,income,income,national,national,W. Eur and Offshoots,5193776,5766689
Egypt,gini_pip_disposable_perCapita,gini,1995,0.3012695908546448,2019,0.3189355731010437,consumption,consumption,national,national,MENA,61382204,103740768
Estonia,gini_pip_disposable_perCapita,gini,1993,0.3950344920158386,2018,0.3032145202159881,income,income,national,national,EE & CA,1504446,1322146
Eswatini,gini_pip_disposable_perCapita,gini,1994,0.6045472621917725,2016,0.5457979440689087,consumption,consumption,national,national,SS Africa,953454,1160430
Ethiopia,gini_pip_disposable_perCapita,gini,1995,0.445645123720169,2015,0.3499312400817871,consumption,consumption,national,national,SS Africa,53791672,111129440
Finland,gini_pip_disposable_perCapita,gini,1991,0.2287976145744323,2018,0.2732977271080017,income,income,national,national,W. Eur and Offshoots,5066609,5515465
France,gini_pip_disposable_perCapita,gini,1990,0.3211906254291534,2018,0.323806881904602,income,income,national,national,W. Eur and Offshoots,57053728,64277812
Gambia,gini_pip_disposable_perCapita,gini,1998,0.4851946532726288,2020,0.3875720500946045,consumption,consumption,national,national,SS Africa,1168317,2444916
Georgia,gini_pip_disposable_perCapita,gini,1996,0.3713270723819732,2018,0.3641136288642883,consumption,consumption,national,national,EE & CA,5127512,3772323
Germany,gini_pip_disposable_perCapita,gini,1993,0.2854154109954834,2018,0.3179068863391876,income,income,national,national,W. Eur and Offshoots,80573496,82896696
Ghana,gini_pip_disposable_perCapita,gini,1991,0.3843722939491272,2016,0.435208797454834,consumption,consumption,national,national,SS Africa,16643639,30870648
Greece,gini_pip_disposable_perCapita,gini,1995,0.3697557151317596,2018,0.3289120495319366,income,income,national,national,W. Eur and Offshoots,10563442,10633275
Hungary,gini_pip_disposable_perCapita,gini,1993,0.2794097363948822,2018,0.2961204349994659,income,income,national,national,EE & CA,10357423,9776361
India,gini_pip_disposable_perCapita,gini,1993,0.3155753910541534,2018,0.3454484343528747,consumption,consumption,national,national,S & SE Asia,926351296,1369003264
Indonesia,gini_pip_disposable_perCapita,gini,1993,0.3316279947757721,2018,0.384103775024414,consumption,consumption,national,national,S & SE Asia,191737280,267066848
Iran,gini_pip_disposable_perCapita,gini,1994,0.4299837052822113,2018,0.3741990625858307,consumption,consumption,national,national,MENA,59755432,85617560
Ireland,gini_pip_disposable_perCapita,gini,1994,0.3691420555114746,2018,0.3060292601585388,income,income,national,national,W. Eur and Offshoots,3545700,4834506
Israel,gini_pip_disposable_perCapita,gini,1992,0.355072557926178,2018,0.3857717514038086,income,income,national,national,MENA,5213005,8456487
Italy,gini_pip_disposable_perCapita,gini,1993,0.3509064614772796,2018,0.3522257208824157,income,income,national,national,W. Eur and Offshoots,56869456,59877432
Kazakhstan,gini_pip_disposable_perCapita,gini,1996,0.3537830710411072,2018,0.277928739786148,consumption,consumption,national,national,EE & CA,16979700,18538100
Kenya,gini_pip_disposable_perCapita,gini,1992,0.574609637260437,2020,0.36246457695961,consumption,consumption,national,national,SS Africa,25391832,49953300
Laos,gini_pip_disposable_perCapita,gini,1992,0.3430977463722229,2018,0.3880243301391601,consumption,consumption,national,national,S & SE Asia,4685293,7105008
Latvia,gini_pip_disposable_perCapita,gini,1993,0.2699313163757324,2018,0.3509615063667297,income,income,national,national,EE & CA,2638889,1935632
Lesotho,gini_pip_disposable_perCapita,gini,1994,0.6324036717414856,2017,0.4487970173358917,consumption,consumption,national,national,SS Africa,1885486,2198030
Lithuania,gini_pip_disposable_perCapita,gini,1993,0.3364113569259643,2018,0.3570780754089355,income,income,national,national,EE & CA,3788532,2876128
Luxembourg,gini_pip_disposable_perCapita,gini,1993,0.2704790532588959,2018,0.3536809384822845,income,income,national,national,W. Eur and Offshoots,396705,607920
Malawi,gini_pip_disposable_perCapita,gini,1997,0.6575556993484497,2019,0.3854317367076874,consumption,consumption,national,national,SS Africa,10257232,18367886
Malaysia,gini_pip_disposable_perCapita,gini,1992,0.4765372574329376,2018,0.4117677509784698,income,income,national,national,S & SE Asia,19050074,32399270
Mauritania,gini_pip_disposable_perCapita,gini,1993,0.5005155801773071,2019,0.3199683725833893,consumption,consumption,national,national,SS Africa,2237070,4270717
Moldova,gini_pip_disposable_perCapita,gini,1997,0.3694214522838592,2018,0.256616473197937,consumption,consumption,national,national,EE & CA,4493699,3141839
Mongolia,gini_pip_disposable_perCapita,gini,1995,0.3319534063339233,2018,0.3274098932743072,consumption,consumption,national,national,East Asia,2270313,3163994
Mozambique,gini_pip_disposable_perCapita,gini,1996,0.535598635673523,2019,0.5045397877693176,consumption,consumption,national,national,SS Africa,14206253,29423882
Netherlands,gini_pip_disposable_perCapita,gini,1993,0.304349809885025,2018,0.2812108099460602,income,income,national,national,W. Eur and Offshoots,15251088,17286042
Niger,gini_pip_disposable_perCapita,gini,1992,0.360975444316864,2018,0.3725942373275757,consumption,consumption,national,national,SS Africa,9193081,22577060
Nigeria,gini_pip_disposable_perCapita,gini,1992,0.4498405456542969,2018,0.3512774407863617,consumption,consumption,national,national,SS Africa,102775472,198387616
Norway,gini_pip_disposable_perCapita,gini,1991,0.2522758543491363,2018,0.275608628988266,income,income,national,national,W. Eur and Offshoots,4312138,5312321
Pakistan,gini_pip_disposable_perCapita,gini,1990,0.3324865996837616,2018,0.2958926558494568,consumption,consumption,national,national,S & SE Asia,125546624,219731488
Philippines,gini_pip_disposable_perCapita,gini,1994,0.4288838803768158,2018,0.3781170547008514,consumption,consumption,national,national,S & SE Asia,66083324,108568832
