"country","year","HO_rate"
"United States",1900,46.5
"Germany",1910,24
"United States",1910,45.9
"Australia",1911,49
"United Kingdom",1918,23
"New Zealand",1919,53
"Canada",1920,65.8
"Iceland",1920,47.3
"Norway",1920,53
"United States",1920,45.6
"Australia",1921,53
"Armenia",1922,77.7777777777778
"Azerbaijan",1922,65.7142857142857
"Belarus",1922,73.7704918032787
"Georgia",1922,80
"Kazakhstan",1922,86.2068965517241
"Kyrgyzstan",1922,85.7142857142857
"Moldova",1922,66.6666666666667
"Russia",1922,58.1521739130435
"Tajikistan",1922,100
"Turkmenistan",1922,55.5555555555556
"Uzbekistan",1922,86.4864864864865
"Russia",1926,52.3
"Germany",1927,23
"Canada",1930,60.5
"Finland",1930,21.9
"United States",1930,47.8
"Italy",1936,44.2
"New Zealand",1936,50.2
"United Kingdom",1939,32
"Armenia",1940,61.9047619047619
"Azerbaijan",1940,30.7692307692308
"Belarus",1940,41.8604651162791
"Canada",1940,56.7
"Estonia",1940,52.7272727272727
"Georgia",1940,50
"Iceland",1940,56.2
"Kyrgyzstan",1940,56.25
"Latvia",1940,56.3025210084034
"Lithuania",1940,35.5263157894737
"Moldova",1940,45
"Russia",1940,36.5795724465558
"Tajikistan",1940,53.3333333333333
"Turkmenistan",1940,43.4782608695652
"United States",1940,43.6
"Uzbekistan",1940,66.3551401869159
"Belgium",1945,39
"New Zealand",1945,56.7
"Sweden",1945,42
"France",1946,29.3
"Ireland",1946,52.6
"Argentina",1947,37.3
"Australia",1947,53.4
"Belgium",1947,38.9
"Luxembourg",1947,49.4
"Netherlands",1947,28
"Honduras",1949,82.6
"Hungary",1949,57.8
"Bermuda",1950,37.9
"Finland",1950,56
"France",1950,35
"Germany",1950,26.7
"Iceland",1950,63.9
"Portugal",1950,50.5
"Spain",1950,45.9
"Switzerland",1950,37
"United States",1950,55
"Venezuela",1950,68.2
"Austria",1951,35.6
"Canada",1951,65.6
"Colombia",1951,67.1
"Greece",1951,71
"Italy",1951,40
"New Zealand",1951,61.2
"Chile",1952,32
"Jordan",1952,60.8
"United Kingdom",1952,32
"Australia",1954,63.3
"France",1954,35.5
"Denmark",1955,43
"Germany",1956,29
"Iraq",1956,83
"Netherlands",1956,29
"New Zealand",1956,66.2
"Congo",1958,57.8
"Argentina",1960,58.9
"Armenia",1960,59.7
"Azerbaijan",1960,38
"Belarus",1960,48
"Brunei",1960,20.6
"Cayman Islands",1960,82
"Chile",1960,38.8
"Cyprus",1960,48.5
"Denmark",1960,44.9
"Estonia",1960,24.7
"Finland",1960,60
"Georgia",1960,54.2
"Iceland",1960,70.3
"India",1960,85.2
"Jamaica",1960,56
"Kazakhstan",1960,50.7
"Kyrgyzstan",1960,57.9
"Latvia",1960,24.7
"Lithuania",1960,37.7
"Luxembourg",1960,54.7
"Mexico",1960,54.1
"Moldova",1960,54.1
"Morocco",1960,37
"Norway",1960,64
"Pakistan",1960,85.5
"Panama",1960,59.3
"Philippines",1960,87.9
"Portugal",1960,44.5
"Russia",1960,39.1
"Singapore",1960,22
"South Korea",1960,79.5
"Sweden",1960,41
"Switzerland",1960,33.7
"Tajikistan",1960,52.6
"Turkey",1960,49.3
"Turkmenistan",1960,46.2
"Ukraine",1960,50
"United States",1960,61.9
"Uzbekistan",1960,63.7
"Australia",1961,69.9
"Canada",1961,66
"Czechoslovakia",1961,50.4
"Ethiopia",1961,28.1
