Entity,Year,Top-5 Accuracy
Without extra training data,2012,0.846
Without extra training data,2013,0.868
Without extra training data,2014,0.92
Without extra training data,2015,0.944
Without extra training data,2016,0.963
Without extra training data,2017,0.962
Without extra training data,2018,0.972
Without extra training data,2019,0.973
Without extra training data,2020,0.976
Without extra training data,2021,0.979
With extra training data,2012,0.846
With extra training data,2015,0.9395
With extra training data,2017,0.947
With extra training data,2018,0.976
With extra training data,2019,0.9846
With extra training data,2020,0.987
With extra training data,2021,0.9902
