Entity,Year,share_race_ethnicity_new_cs_phds
Amer Indian or Alaska Native,2010,0.004439511653718091
Amer Indian or Alaska Native,2011,0.004597701149425287
Amer Indian or Alaska Native,2012,0.0021691973969631237
Amer Indian or Alaska Native,2013,0.0035294117647058825
Amer Indian or Alaska Native,2014,0.0036719706242350062
Amer Indian or Alaska Native,2015,0.0027662517289073307
Amer Indian or Alaska Native,2016,0.0013698630136986301
Amer Indian or Alaska Native,2017,0
Amer Indian or Alaska Native,2018,0.004316546762589928
Amer Indian or Alaska Native,2019,0.0028169014084507044
Amer Indian or Alaska Native,2020,0.001394700139470014
Asian,2010,0.2297447280799112
Asian,2011,0.23103448275862068
Asian,2012,0.24620390455531455
Asian,2013,0.19411764705882353
Asian,2014,0.19583843329253367
Asian,2015,0.15214384508990317
Asian,2016,0.18493150684931506
Asian,2017,0.20871862615587847
Asian,2018,0.1381294964028777
Asian,2019,0.24366197183098592
Asian,2020,0.2482566248256625
Black or African American (non-Hispanic),2010,0.023307436182019976
Black or African American (non-Hispanic),2011,0.026436781609195402
Black or African American (non-Hispanic),2012,0.03796095444685466
Black or African American (non-Hispanic),2013,0.02823529411764706
Black or African American (non-Hispanic),2014,0.033047735618115054
Black or African American (non-Hispanic),2015,0.034578146611341634
Black or African American (non-Hispanic),2016,0.03287671232876712
Black or African American (non-Hispanic),2017,0.023778071334214
Black or African American (non-Hispanic),2018,0.04028776978417266
Black or African American (non-Hispanic),2019,0.02535211267605634
Black or African American (non-Hispanic),2020,0.03626220362622036
Native Hawaiian/Pac Islander,2010,0.00776914539400666
Native Hawaiian/Pac Islander,2011,0.004597701149425287
Native Hawaiian/Pac Islander,2012,0.005422993492407809
Native Hawaiian/Pac Islander,2013,0.0035294117647058825
Native Hawaiian/Pac Islander,2014,0.004895960832313341
Native Hawaiian/Pac Islander,2015,0.008298755186721992
Native Hawaiian/Pac Islander,2016,0.00821917808219178
Native Hawaiian/Pac Islander,2017,0.002642007926023778
Native Hawaiian/Pac Islander,2018,0
Native Hawaiian/Pac Islander,2019,0.005633802816901409
Native Hawaiian/Pac Islander,2020,0.001394700139470014
White (non-Hispanic),2010,0.6592674805771365
White (non-Hispanic),2011,0.6425287356321839
White (non-Hispanic),2012,0.6420824295010846
White (non-Hispanic),2013,0.5941176470588235
White (non-Hispanic),2014,0.620563035495716
White (non-Hispanic),2015,0.673582295988935
White (non-Hispanic),2016,0.6383561643835617
White (non-Hispanic),2017,0.5852047556142669
White (non-Hispanic),2018,0.6273381294964029
White (non-Hispanic),2019,0.5887323943661972
White (non-Hispanic),2020,0.5746164574616457
Multiracial (non-Hispanic),2010,0.005549389567147614
Multiracial (non-Hispanic),2011,0.0034482758620689655
Multiracial (non-Hispanic),2012,0.005422993492407809
Multiracial (non-Hispanic),2013,0.002352941176470588
Multiracial (non-Hispanic),2014,0.008567931456548347
Multiracial (non-Hispanic),2015,0.016597510373443983
Multiracial (non-Hispanic),2016,0.00821917808219178
Multiracial (non-Hispanic),2017,0.009247027741083224
Multiracial (non-Hispanic),2018,0.011510791366906475
Multiracial (non-Hispanic),2019,0.016901408450704224
Multiracial (non-Hispanic),2020,0.01813110181311018
"Hispanic, any race",2010,0.03107658157602664
"Hispanic, any race",2011,0.03103448275862069
"Hispanic, any race",2012,0.027114967462039046
"Hispanic, any race",2013,0.02823529411764706
"Hispanic, any race",2014,0.023255813953488372
"Hispanic, any race",2015,0.04149377593360996
"Hispanic, any race",2016,0.031506849315068496
"Hispanic, any race",2017,0.043593130779392336
"Hispanic, any race",2018,0.041726618705035974
"Hispanic, any race",2019,0.0323943661971831
"Hispanic, any race",2020,0.04184100418410042
Unknown,2010,0.038845726970033294
Unknown,2011,0.05632183908045977
Unknown,2012,0.033622559652928416
Unknown,2013,0.14588235294117646
Unknown,2014,0.11015911872705018
Unknown,2015,0.07053941908713693
Unknown,2016,0.09452054794520548
Unknown,2017,0.12681638044914134
Unknown,2018,0.1366906474820144
Unknown,2019,0.08450704225352113
Unknown,2020,0.07810320781032078
