,country,year,percentile,p,threshold,average,share,inv_paretolorenz,age,pop,country_year
63500,CL,2016,p0p1,0,0,0,0,,992,j,CL2016
63501,CL,2016,p1p2,0.01,0,0,0,,992,j,CL2016
63502,CL,2016,p2p3,0.02,0,228.9970803,0.0001,,992,j,CL2016
63503,CL,2016,p3p4,0.03,573.6469586,745.0323601,0.0002,,992,j,CL2016
63504,CL,2016,p4p5,0.04,878.1177616,993.2355231,0.0003,,992,j,CL2016
63505,CL,2016,p5p6,0.05,1072.730414,1204.926034,0.0003,,992,j,CL2016
63506,CL,2016,p6p7,0.06,1285.479075,1410.073723,0.0004,,992,j,CL2016
63507,CL,2016,p7p8,0.07,1533.618735,1581.452311,0.0004,,992,j,CL2016
63508,CL,2016,p8p9,0.08,1638.627251,1800.107543,0.0005,,992,j,CL2016
63509,CL,2016,p9p10,0.09,1928.198297,1980.350608,0.0006,,992,j,CL2016
63510,CL,2016,p10p11,0.1,2069.345499,2212.091484,0.0006,,992,j,CL2016
63511,CL,2016,p11p12,0.11,2348.011922,2460.083698,0.0007,,992,j,CL2016
63512,CL,2016,p12p13,0.12,2571.742822,2724.960584,0.0008,,992,j,CL2016
63513,CL,2016,p13p14,0.13,2860.509246,3053.787835,0.0009,,992,j,CL2016
63514,CL,2016,p14p15,0.14,3213.489781,3304.946229,0.0009,,992,j,CL2016
63515,CL,2016,p15p16,0.15,3427.582968,3680.417032,0.001,,992,j,CL2016
63516,CL,2016,p16p17,0.16,3821.284185,4009.455474,0.0011,,992,j,CL2016
63517,CL,2016,p17p18,0.17,4209.09927,4389.569586,0.0012,,992,j,CL2016
63518,CL,2016,p18p19,0.18,4596.29781,4783.824574,0.0014,,992,j,CL2016
63519,CL,2016,p19p20,0.19,4927.717275,5079.727007,0.0014,,992,j,CL2016
63520,CL,2016,p20p21,0.2,5261.872993,5383.016302,0.0015,,992,j,CL2016
63521,CL,2016,p21p22,0.21,5513.336983,5657.390754,0.0016,,992,j,CL2016
