Original Name,Our World In Data Name
Aruba,Aruba
Angola,Angola
Anguilla,Anguilla
Albania,Albania
United Arab Emirates,United Arab Emirates
Argentina,Argentina
Armenia,Armenia
Antigua and Barbuda,Antigua and Barbuda
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Burundi,Burundi
Belgium,Belgium
Benin,Benin
Burkina Faso,Burkina Faso
Bangladesh,Bangladesh
Bulgaria,Bulgaria
Bahrain,Bahrain
Bahamas,Bahamas
Bosnia and Herzegovina,Bosnia and Herzegovina
Belarus,Belarus
Belize,Belize
Bermuda,Bermuda
Bolivia (Plurinational State of),Bolivia
Brazil,Brazil
Barbados,Barbados
Brunei Darussalam,Brunei
Bhutan,Bhutan
Botswana,Botswana
Central African Republic,Central African Republic
Canada,Canada
Switzerland,Switzerland
Chile,Chile
China,China
Côte d'Ivoire,Cote d'Ivoire
Cameroon,Cameroon
D.R. of the Congo,Democratic Republic of Congo
Congo,Congo
Colombia,Colombia
Comoros,Comoros
Cabo Verde,Cape Verde
Costa Rica,Costa Rica
Curaçao,Curacao
Cayman Islands,Cayman Islands
Cyprus,Cyprus
Czech Republic,Czechia
Germany,Germany
Djibouti,Djibouti
Dominica,Dominica
Denmark,Denmark
Dominican Republic,Dominican Republic
Algeria,Algeria
Ecuador,Ecuador
Egypt,Egypt
Spain,Spain
Estonia,Estonia
Ethiopia,Ethiopia
Finland,Finland
Fiji,Fiji
France,France
Gabon,Gabon
United Kingdom,United Kingdom
Georgia,Georgia
Ghana,Ghana
Guinea,Guinea
Gambia,Gambia
Guinea-Bissau,Guinea-Bissau
Equatorial Guinea,Equatorial Guinea
Greece,Greece
Grenada,Grenada
Guatemala,Guatemala
Guyana,Guyana
"China, Hong Kong SAR",Hong Kong
Honduras,Honduras
Croatia,Croatia
Haiti,Haiti
Hungary,Hungary
Indonesia,Indonesia
India,India
Ireland,Ireland
Iran (Islamic Republic of),Iran
Iraq,Iraq
Iceland,Iceland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Jordan,Jordan
Japan,Japan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kyrgyzstan,Kyrgyzstan
Cambodia,Cambodia
Saint Kitts and Nevis,Saint Kitts and Nevis
Republic of Korea,South Korea
Kuwait,Kuwait
Lao People's DR,Laos
Lebanon,Lebanon
Liberia,Liberia
Saint Lucia,Saint Lucia
Sri Lanka,Sri Lanka
Lesotho,Lesotho
Lithuania,Lithuania
Luxembourg,Luxembourg
Latvia,Latvia
"China, Macao SAR",Macao
Morocco,Morocco
Republic of Moldova,Moldova
Madagascar,Madagascar
Maldives,Maldives
Mexico,Mexico
North Macedonia,North Macedonia
Mali,Mali
Malta,Malta
Myanmar,Myanmar
Montenegro,Montenegro
Mongolia,Mongolia
Mozambique,Mozambique
Mauritania,Mauritania
Montserrat,Montserrat
Mauritius,Mauritius
Malawi,Malawi
Malaysia,Malaysia
Namibia,Namibia
Niger,Niger
Nigeria,Nigeria
Nicaragua,Nicaragua
Netherlands,Netherlands
Norway,Norway
Nepal,Nepal
New Zealand,New Zealand
Oman,Oman
Pakistan,Pakistan
Panama,Panama
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Paraguay,Paraguay
State of Palestine,Palestine
Qatar,Qatar
Romania,Romania
Russian Federation,Russia
Rwanda,Rwanda
Saudi Arabia,Saudi Arabia
Sudan,Sudan
Senegal,Senegal
Singapore,Singapore
Sierra Leone,Sierra Leone
El Salvador,El Salvador
Serbia,Serbia
Sao Tome and Principe,Sao Tome and Principe
Suriname,Suriname
Slovakia,Slovakia
Slovenia,Slovenia
Sweden,Sweden
Eswatini,Eswatini
Sint Maarten (Dutch part),Sint Maarten (Dutch part)
Seychelles,Seychelles
Syrian Arab Republic,Syria
Turks and Caicos Islands,Turks and Caicos Islands
Chad,Chad
Togo,Togo
Thailand,Thailand
Tajikistan,Tajikistan
Turkmenistan,Turkmenistan
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Taiwan,Taiwan
U.R. of Tanzania: Mainland,Tanzania
Uganda,Uganda
Ukraine,Ukraine
Uruguay,Uruguay
United States,United States
Uzbekistan,Uzbekistan
St. Vincent and the Grenadines,Saint Vincent and the Grenadines
Venezuela (Bolivarian Republic of),Venezuela
British Virgin Islands,British Virgin Islands
Viet Nam,Vietnam
Yemen,Yemen
South Africa,South Africa
Zambia,Zambia
Zimbabwe,Zimbabwe
