Entity,Code,Year,LE_Female
Sweden,SWE,1841,47.24
Iceland,ISL,1842,45.2
Denmark,DNK,1843,45.16
Sweden,SWE,1844,46.91
Sweden,SWE,1845,48.5
Norway,NOR,1846,49.67
Norway,NOR,1847,46.08
Sweden,SWE,1848,47.29
Norway,NOR,1849,49.82
Norway,NOR,1850,51.28
Norway,NOR,1851,51.49
Norway,NOR,1852,49.94
Iceland,ISL,1853,52.31
Norway,NOR,1854,53.3
Norway,NOR,1855,52.26
Norway,NOR,1856,51.84
Norway,NOR,1857,51.6
Norway,NOR,1858,53.09
Norway,NOR,1859,51.28
Norway,NOR,1860,51.3
Denmark,DNK,1861,49.01
Sweden,SWE,1861,49.01
Denmark,DNK,1862,48.5
Denmark,DNK,1863,48.52
Norway,NOR,1864,49.95
Norway,NOR,1865,51.85
Norway,NOR,1866,51.47
Norway,NOR,1867,49.55
Norway,NOR,1868,48.95
Norway,NOR,1869,50.99
Norway,NOR,1870,52.55
Norway,NOR,1871,51.4
Sweden,SWE,1872,51.88
Norway,NOR,1873,51.16
Norway,NOR,1874,49.23
Norway,NOR,1875,49.17
Norway,NOR,1876,48.31
Norway,NOR,1877,51.2
Norway,NOR,1878,53.18
Norway,NOR,1879,54.36
Norway,NOR,1880,53.27
Norway,NOR,1881,51.85
Sweden,SWE,1882,50.03
Norway,NOR,1883,50.7
Norway,NOR,1884,52
Norway,NOR,1885,52.3
Norway,NOR,1886,52.88
Sweden,SWE,1887,52.84
Sweden,SWE,1888,53.5
Iceland,ISL,1889,54.36
Sweden,SWE,1890,51.77
Sweden,SWE,1891,52.5
Iceland,ISL,1892,55.59
Iceland,ISL,1893,57.13
Sweden,SWE,1894,53.05
Sweden,SWE,1895,55.29
Iceland,ISL,1896,55.89
Norway,NOR,1897,55.64
Sweden,SWE,1898,56.03
Iceland,ISL,1899,53.45
Norway,NOR,1900,55.14
Norway,NOR,1901,56.43
Norway,NOR,1902,57.98
Norway,NOR,1903,56.45
Denmark,DNK,1904,57.43
Norway,NOR,1905,56.17
Iceland,ISL,1906,59.11
Sweden,SWE,1907,58.05
